ft_sigma_c,zi_alpha,zi_delta,p_zi,zi_mu,D,dKS,dV,dACF1,dACF2,dHill,ret_std,ret_kurtosis,acf_r_1,acf_r_5,acf_r_10,acf_r_20,acf_absr_1,acf_absr_5,acf_absr_10,acf_absr_20,hill_tail_index,ks_stat
0.25,0.08,0.32,0.38,0.0125,34.87165778739126,20.713197640032156,1.4016152279222118,4.487541193067424,4.469271740952771,3.800031985416694,0.0020433723694109327,40.68826512829066,-0.08884940126557189,0.008675311365583376,0.005327682325472966,0.0008453369234410115,0.30632796815848135,0.13510792676364894,0.06325488644438639,0.05004244188553728,2.466071100524295,0.18472068847282996
0.25,0.08,0.32,0.38,0.058333333333333334,24.63252616497887,14.125209911521415,2.1273701630523933,4.149229104027089,3.3820254163228007,0.8486915700551749,0.0021576907351004656,12.599790123396435,-0.080044225519146,0.012352773279006036,0.00204529831373701,0.0035083638468614772,0.2523513593578981,0.12799807574962266,0.09256605997746802,0.07356293485211941,3.019400420031719,0.1259688892571889
0.25,0.08,0.32,0.38,0.10416666666666666,21.506219277454107,11.453932689573868,2.259170020427309,4.310963543471127,3.377428519803727,0.10472450417807702,0.0021784513852371556,8.41884559736455,-0.07981724642453457,0.015413181854000035,0.001954202611551043,0.006147202585339237,0.2328112644085875,0.1225318692568187,0.0949683720081302,0.0949096570399568,3.198150748125709,0.10214638844802976
0.25,0.08,0.32,0.38,0.15,21.04915021111556,10.892125032245763,2.3141786671685844,3.659145371711416,3.2577362539947954,0.9259648859949984,0.0021871161538661523,8.034100924319608,-0.07565040369471389,0.009861511249119048,-0.0018104978342643114,0.0022046864767555096,0.22859605199685543,0.12969469528371194,0.10037657158854364,0.10010349948750526,3.3521202391602127,0.09713617712988998
0.25,0.2,0.02,0.08,0.0125,15.36335648513078,7.786325673525539,1.6362140805269108,2.3428173848672698,1.0940081570290565,2.503991189182005,0.0020803255558437582,6.237233173794957,-0.04136744562181928,0.0028077512655886438,-0.004801103680161137,0.012324537536832986,0.3100138583819012,0.2296975789189082,0.22512548079848207,0.2141674417085456,3.6479750365134773,0.06943859968330202
0.25,0.2,0.02,0.08,0.058333333333333334,14.984940147402629,7.479063806920662,1.6779552772919426,2.284400428256237,1.0219630885370048,2.5215575463967808,0.0020869004823997144,4.696473428813657,-0.040002889387662534,0.0031210556163683185,-0.005358712063947026,0.011099848589293049,0.3089079555567158,0.23327315257431688,0.21727557586306748,0.21302849478412142,3.651268448697746,0.06669843254314956
0.25,0.2,0.02,0.08,0.10416666666666666,15.101630727434598,7.374907641411032,1.835893637169807,2.567291318297198,1.1502519493805758,2.1732861811759876,0.0021117783775499335,8.944225590371003,-0.046597309492134927,0.004047516702279067,-0.0018071299531974994,0.013894676821754208,0.3234794648472537,0.20911383515590765,0.20852352379259154,0.19099272556293698,3.5859731149170315,0.06576956588837268
0.25,0.2,0.02,0.08,0.15,15.141274537005389,7.7182994459596825,1.8424335296904293,2.4268599388371586,0.8251582705770785,2.328523351941041,0.00211280851842608,7.034261253811289,-0.04405121937336825,0.00263415267925507,-0.004496745245694351,0.011934277789881738,0.3093082094575336,0.21486022850965528,0.20340796250436302,0.19579318586373326,3.615077611848187,0.06883194049873032
0.25,0.2,0.02,0.18,0.0125,15.7987666893953,5.920342229858529,1.9332171208478934,2.9795620505281226,1.8023817074178687,3.163263580742886,0.002127108430517875,6.191150886866147,-0.05919058547710274,0.0020868285469860417,-0.0021039779004126094,0.012097113124789373,0.3579527557430673,0.24327921774773562,0.22334378140649724,0.21681930389052181,3.771578109169442,0.05279772402599153
0.25,0.2,0.02,0.18,0.058333333333333334,15.934618821725975,6.011624064408191,1.977603898479571,3.0106603421549725,1.5888840059501668,3.345846510733073,0.0021341000796703097,5.7174920713633774,-0.05658207833868436,0.002486847527987621,0.0015346635245916257,0.010678808319409268,0.348394786115611,0.24717874285606953,0.22038221078288467,0.2086995494908732,3.8058095003974057,0.05361177715366933
0.25,0.2,0.02,0.18,0.10416666666666666,16.092511636088677,6.00681975732663,2.011446752894917,2.907625487020881,1.5293631818325495,3.637256457013702,0.0021394308871092384,3.721388181094479,-0.05663061354680015,0.004295179835073937,-0.00011695983284684859,0.007805791268810578,0.3405468906009332,0.2433745122221139,0.22152485170354605,0.2132060538365189,3.8604442238043983,0.0535689322522126
0.25,0.2,0.02,0.18,0.15,15.206790725856763,5.866304717025599,2.7196014016188546,3.233649240883821,1.4123379331817876,1.9748974331467015,0.002250976917565159,7.485266539796596,-0.0652405213304461,0.0009066547912949804,-0.0017451449812962948,0.012585899564220187,0.3430305010774222,0.22159808546919912,0.21073022038451739,0.18613001087567324,3.5487783845587146,0.052315816464091655
