fund,im_regime,c,n,drawdown,client_def_mean,client_def_med,client_def_p90,cm_def_mean,nbcm_def_mean,deepest_mean,deepest_max,frac_l3,frac_l4,df_mean,ccp_used_mean
kalman,flat12,1.0,40,-18.760976192786412,1.675,1.0,4.0,0.0,0.0,0.0,0,0.0,0.0,539724253.3266575,0.0
kalman,flat12,1.25,40,-22.883129514439656,6.525,6.0,10.0,0.0,0.0,0.0,0,0.0,0.0,570998863.9747846,0.0
kalman,flat12,1.5,40,-26.790915091150982,13.1,13.0,17.0,0.05,0.05,0.1,2,0.0,0.0,589070937.0905828,1022518.1770876646
kalman,flat12,1.75,40,-30.479529594795157,17.75,18.0,20.0,0.175,0.175,0.225,2,0.0,0.0,610788517.8610814,-129656.00151081085
kalman,flat12,2.0,40,-33.98943370991599,20.575,21.0,23.0,0.1,0.1,0.125,2,0.0,0.0,606579320.7289385,-2499291.7884589196
kalman,flat12,2.25,40,-37.3363213573213,22.325,22.0,25.0,0.125,0.125,0.175,2,0.0,0.0,613410056.5469229,-511886.90466907027
kalman,flat12,2.5,40,-40.492176630504744,26.0,26.0,29.1,0.25,0.25,0.4,3,0.05,0.0,606167525.4639609,-4627.255381727218
kalman,flat12,2.75,40,-43.51046527555518,33.35,33.0,38.0,0.3,0.3,0.575,3,0.075,0.0,634480227.8132204,3845880.7874034643
kalman,flat12,3.0,40,-46.35890584263864,40.75,41.0,46.1,0.525,0.525,0.85,3,0.125,0.0,626397519.9440295,3021163.714952922
kalman,flat12,3.5,40,-51.64579799620104,46.275,46.0,51.0,1.825,1.825,2.025,3,0.475,0.0,653481277.6941462,-32829997.379017472
kalman,flat12,4.0,40,-56.4129269968099,50.675,50.5,55.1,2.425,2.425,2.575,4,0.675,0.05,682164077.7333729,-154889182.74676567
kalman,reactive,1.0,40,-18.761425201963103,1.8,1.0,4.0,0.0,0.0,0.0,0,0.0,0.0,689567439.2343855,0.0
kalman,reactive,1.25,40,-22.884131603039684,6.225,6.0,10.100000000000001,0.025,0.025,0.05,2,0.0,0.0,928799504.523522,8793.920945882797
kalman,reactive,1.5,40,-26.77309083201838,12.975,13.0,17.1,0.175,0.175,0.15,1,0.0,0.0,1186806675.364005,-744478.125
kalman,reactive,1.75,40,-30.47336037125232,17.3,18.0,21.0,0.325,0.325,0.3,2,0.0,0.0,1441854140.3633838,-3641797.6276214123
kalman,reactive,2.0,40,-33.99548831902761,20.675,20.5,23.0,0.4,0.4,0.35,2,0.0,0.0,1697190531.8935485,-6766356.96688435
kalman,reactive,2.25,40,-37.333296377323656,23.45,23.0,27.1,0.55,0.55,0.45,3,0.025,0.0,1921424462.7342649,-7091633.258750295
kalman,reactive,2.5,40,-40.497448614161705,26.775,26.5,31.0,0.675,0.675,0.525,2,0.0,0.0,2233976157.622018,-4655002.026418829
kalman,reactive,2.75,40,-43.509458006427366,33.875,33.0,39.0,1.125,1.125,0.8,2,0.0,0.0,2502092218.718399,3252348.149359369
kalman,reactive,3.0,40,-46.36440116848409,40.675,40.0,46.1,1.2,1.2,1.075,3,0.075,0.0,2644109206.814562,11415409.852339815
kalman,reactive,3.5,40,-51.63188692166593,47.05,47.0,52.1,2.7,2.7,2.05,3,0.275,0.0,3312512365.7402864,-47365935.3290015
kalman,reactive,4.0,40,-56.407212178656756,50.325,50.0,55.1,3.35,3.35,2.15,4,0.325,0.025,4045781693.539523,-109044926.17785199
kalman,static,1.0,40,-18.76288433588112,2.0,1.5,4.100000000000001,0.0,0.0,0.0,0,0.0,0.0,567562622.7240905,0.0
kalman,static,1.25,40,-22.877515938391948,6.7,7.0,10.0,0.025,0.025,0.0,0,0.0,0.0,606255956.4634017,0.0
kalman,static,1.5,40,-26.77398867471347,12.475,13.0,16.1,0.075,0.075,0.125,2,0.0,0.0,607635678.1049114,-2170975.1145787
kalman,static,1.75,40,-30.48031113907635,17.75,18.0,21.0,0.125,0.125,0.15,2,0.0,0.0,625578242.4197979,-3086219.7632896425
kalman,static,2.0,40,-33.99425269464599,20.25,20.0,23.0,0.1,0.1,0.1,1,0.0,0.0,630926873.0222803,-1790128.125
kalman,static,2.25,40,-37.33542454340942,22.925,23.0,25.0,0.1,0.1,0.1,1,0.0,0.0,637174818.1724026,-884371.875
kalman,static,2.5,40,-40.497784475504076,26.775,26.5,31.0,0.225,0.225,0.3,3,0.025,0.0,641930491.3636409,-2361741.475958705
kalman,static,2.75,40,-43.51034907052549,33.35,33.0,40.2,0.375,0.375,0.475,3,0.075,0.0,655080072.344734,-1555626.3008324862
kalman,static,3.0,40,-46.366083776771966,40.55,41.5,46.0,0.575,0.575,0.85,3,0.125,0.0,663103668.2127237,2297518.175939393
kalman,static,3.5,40,-51.647588487753794,46.575,46.5,51.0,1.95,1.95,2.5,3,0.625,0.0,696044445.6251919,-59918404.06340866
kalman,static,4.0,40,-56.41987863485805,50.0,50.0,54.0,2.275,2.275,2.525,4,0.7,0.025,741224968.3293492,-129989306.59175411
