family,fund,regime,mode,im_regime,im_mode,im_flat,reanchor,scenario,c,seed,drawdown,client_defaults,cm_defaults,bcm_defaults,nbcm_defaults,deepest_waterfall,mutualised_l3,mutualised_l4,total_df,ccp_cash_used,im_open,im_peak,im_trough,im_mean,im_peak_to_trough,im_max_jump_pct,im_responsiveness,error
H2,kalman,stressed,tiered,static,static,0.05,1,gapped,2.5,42,-40.501277854997085,23,0,0,0,0,0,0,662314761.9663081,0.0,6204403037.965769,12292201573.781393,6204403037.965769,10167583630.38367,1.9812061690002047,0.3243809047394641,0.779426784647684,
H2,kalman,stressed,tiered,static,static,0.05,1,gapped,2.75,42,-43.50535802358427,33,0,0,0,0,0,0,716076211.2747427,0.0,6367478572.884675,11689755191.67934,6367478572.884675,10226178577.359053,1.8358530865669644,0.2921398342757566,0.6639647245232468,
H2,kalman,stressed,tiered,static,static,0.05,1,gapped,3.0,42,-46.36147603461418,42,0,0,0,0,0,0,746952167.5581692,0.0,5997415860.37647,11616765907.920475,5997415860.37647,9951541371.082808,1.9369618813112066,0.41147706587529265,0.7442810793087118,
H2,kalman,stressed,tiered,static,static,0.05,1,gapped,3.5,42,-51.638792987490476,45,0,0,0,0,0,0,722068195.4018394,0.0,6066900979.349875,12115382804.033226,6066900979.349875,10138485080.23471,1.9969639928640308,0.42633493504265574,0.7919441030006059,
H2,kalman,stressed,tiered,flat12,flat,0.12,1,gapped,2.75,42,-43.50535802358427,32,0,0,0,0,0,0,625229970.3010633,0.0,6453310500.0,11765855880.0,6453310500.0,10377941815.90909,1.8232279199954813,0.2921398342757566,0.6539358505746868,
H2,kalman,stressed,tiered,flat12,flat,0.12,1,gapped,3.0,42,-46.33905752589338,38,0,0,0,0,0,0,703899354.6713244,0.0,6078259440.0,11377033920.0,6078259440.0,10193310632.727272,1.8717585243449233,0.41147706587529265,0.6924864162969113,
H2,kalman,stressed,tiered,flat12,flat,0.12,1,gapped,3.5,42,-51.64776039097879,46,1,0,1,3,1,0,641593542.6318357,60343192.28756523,6148681200.0,12795084000.0,6148681200.0,10145710472.045454,2.0809476998091885,0.42633493504265596,0.8586570454332415,
H2,kalman,stressed,tiered,flat12,flat,0.12,1,gapped,4.0,42,-56.40945164327669,48,2,0,2,3,1,0,664876334.9914471,-6538337.309456825,5888952000.0,11568422700.0,5888952000.0,9886092653.181818,1.9644280849971267,0.40125261336821905,0.7660990167633943,
H2,kalman,stressed,tiered,flat12,flat,0.12,1,gapped,1.75,42,-30.49813926377617,23,0,0,0,0,0,0,680492684.0791571,0.0,7068619800.0,12090753180.0,7068619800.0,10461601550.454546,1.7104828838014459,0.29063236644868073,0.5643761802199385,
H2,kalman,stressed,tiered,flat12,flat,0.12,1,gapped,2.0,42,-34.004394027709274,24,0,0,0,0,0,0,676179117.1745728,0.0,6862855140.0,11990981340.0,6862855140.0,10621128227.727272,1.7472292646992984,0.2813509349404686,0.593565880015483,
