fund,im_regime,c,im_mean,im_peak,im_peak_to_trough,im_max_jump_pct,im_responsiveness
gbm,static,1.0,11122268843.925755,12560052856.826265,1.668577363467827,0.4079470630660073,0.900739228358794
gbm,static,1.25,10839988144.985151,12325701071.659817,1.7123409408432138,0.41649428226149066,0.959699601636857
gbm,static,1.5,10637504491.673891,12160305599.382925,1.746377224884461,0.42469437867811155,1.0055549026068082
gbm,static,1.75,10386457631.962244,11847315512.229298,1.778135943589249,0.4487420668396682,1.048341759211461
gbm,static,2.0,10237846236.057539,11963423883.344576,1.8341215167389506,0.44938421463821376,1.122357716011968
gbm,static,2.25,9969711769.118208,11788543158.266817,1.8673337133286363,0.45272588211057474,1.148289656936626
gbm,static,2.5,9796754649.96442,11880356165.215511,1.9251444610503725,0.46502241300684083,1.2082748820913065
gbm,static,2.75,9503695503.99679,11619699762.338848,1.9611093734937417,0.4733610591289567,1.2159489355231743
gbm,static,3.0,9346973489.772354,11573833502.145714,1.983084583359443,0.4656891456036164,1.2416080995746772
gbm,static,3.5,9279772027.673634,11758082504.32582,2.0575569154491467,0.4828871094613789,1.3839883630863101
gbm,static,4.0,9116381740.074156,11547027651.670607,2.123443434450869,0.49211162547820625,1.4075577199457576
kalman,flat05,1.0,4733636663.59375,5201262707.8125,1.6799249693288634,0.276048308620601,0.5401023244540573
kalman,flat05,1.25,4665890575.525568,5161756050.0,1.6977480753555632,0.2787534615997351,0.5542602116155091
kalman,flat05,1.5,4592955977.407671,5131822505.15625,1.7392408269782245,0.2940572870478707,0.587220218396132
kalman,flat05,1.75,4530341097.755682,5133463056.5625,1.7684962724294386,0.29554288750777735,0.6104594503760024
kalman,flat05,2.0,4470156967.130682,5083060693.125,1.7805781091694854,0.3132864947590909,0.620056727136429
kalman,flat05,2.25,4414465791.178977,5066409530.625,1.8312283212647873,0.3369136625025856,0.6602910155076389
kalman,flat05,2.5,4392521095.901988,5160611031.09375,1.920749012183267,0.3496602292285351,0.7314022931233581
kalman,flat05,2.75,4357644912.052557,5123781376.875,1.9317496419848788,0.3530909388497536,0.7401407069106524
kalman,flat05,3.0,4298188791.40625,5066238330.46875,1.9479478676437485,0.37676773351693416,0.7530078609718167
