exp,regime,seed,direct,margin,netting,decouple,drawdown,client_defaults,cm_defaults,nbcm_defaults,deepest_waterfall,mutualised_l3,survivor_l4,total_df,ccp_cash_used,client_loss_absorbed,im_mean,im_peak
H1,calm,80,True,reactive,gross,False,-0.5938182002740655,0,0,0,0,False,False,6894481503.937501,0.0,0.0,11265239604.24812,14312541645.0
H1,calm,81,True,reactive,gross,False,-0.5734003146090183,0,0,0,0,False,False,6670372654.687501,0.0,0.0,10951328618.458647,14321296226.25
H1,stressed,42,False,reactive,gross,False,-18.791194009774472,7,0,0,0,False,False,672799588.0256681,0.0,4040919.7877639085,12675902587.532753,15484090508.435242
H1,stressed,43,False,reactive,gross,False,-18.747478370018378,2,0,0,0,False,False,761220987.9692456,0.0,358151.8194462955,13117161970.204247,16704146953.695839
H1,stressed,44,False,reactive,gross,False,-18.772692635259315,3,0,0,0,False,False,694523264.792502,0.0,1228634.4668463245,13006662255.52307,14670004824.84627
H1,stressed,45,False,reactive,gross,False,-18.756165366334855,2,0,0,0,False,False,588246846.3680075,0.0,1143490.6982113197,12675242774.383402,15677582009.79953
H1,stressed,46,False,reactive,gross,False,-18.76849941698807,1,0,0,0,False,False,788679836.8489945,0.0,710934.6143695675,12441564172.8254,15574500577.221468
H1,stressed,47,False,reactive,gross,False,-18.774100977490804,2,0,0,0,False,False,860565204.4435703,0.0,320744.386245206,12992260779.406185,15965834038.321245
H1,stressed,48,False,reactive,gross,False,-18.841553554629755,2,0,0,0,False,False,530195139.17742115,0.0,1192690.0126621276,12652980524.679434,16166929024.478395
H1,stressed,49,False,reactive,gross,False,-18.835125448028677,0,1,1,0,False,False,514563358.49718165,0.0,0.0,12605156930.582695,15146596363.630547
H1,stressed,50,False,reactive,gross,False,-18.794564778689626,2,0,0,0,False,False,689786720.3876702,0.0,453959.2761896327,12770221258.819498,16021241600.463245
H1,stressed,51,False,reactive,gross,False,-18.77523553162853,1,0,0,0,False,False,589378348.7008634,0.0,544311.6449290663,11877210842.285213,14298403438.972261
H1,stressed,52,False,reactive,gross,False,-18.783911035379575,6,0,0,0,False,False,773761810.2215852,0.0,1596850.4635667726,12818794591.586288,16541389844.053173
H1,stressed,53,False,reactive,gross,False,-18.771575879847568,3,0,0,0,False,False,599834441.8345188,0.0,1258521.799201537,12719479241.150127,15516187261.728195
H1,stressed,54,False,reactive,gross,False,-18.714394653030098,0,0,0,0,False,False,665171871.8292696,0.0,0.0,12208665506.839521,15596998576.722862
H1,stressed,55,False,reactive,gross,False,-18.84161922266553,0,0,0,0,False,False,784032979.2224164,0.0,0.0,12095039261.92752,15320661817.181318
H1,stressed,56,False,reactive,gross,False,-18.79847567809908,2,0,0,0,False,False,704663641.9356157,0.0,852497.5186821297,13492677631.332132,16433061036.998404
H1,stressed,57,False,reactive,gross,False,-18.72729718821472,3,0,0,0,False,False,495202033.1328768,0.0,886337.6187832505,11314910705.099422,13264961275.217577
H1,stressed,58,False,reactive,gross,False,-18.782522878162567,2,0,0,0,False,False,824896733.1447595,0.0,1168957.3998048082,12865436185.933823,15359220548.796719
H1,stressed,59,False,reactive,gross,False,-18.73346190070413,5,0,0,0,False,False,666851815.4439934,0.0,1305891.3596164882,12169144856.358286,15355531053.745676
H1,stressed,60,False,reactive,gross,False,-18.81498745069917,4,0,0,0,False,False,575046410.2166736,0.0,2149057.2303992063,11925361209.578844,14903824723.84438
H1,stressed,61,False,reactive,gross,False,-18.666367310282894,1,0,0,0,False,False,556683316.7256144,0.0,363538.1934475638,11741452518.06131,14377101180.786745
H1,stressed,62,False,reactive,gross,False,-18.674266223857828,3,0,0,0,False,False,752451319.4303696,0.0,2847535.6573565826,13237169792.417665,16576297086.218113
H1,stressed,63,False,reactive,gross,False,-18.749719718373026,3,0,0,0,False,False,497225549.7816866,0.0,3254770.679932207,11103683142.290604,12842278041.095678
H1,stressed,64,False,reactive,gross,False,-18.730941704035875,0,0,0,0,False,False,823473305.9659934,0.0,0.0,14338956296.443695,18459558222.823544
H1,stressed,65,False,reactive,gross,False,-18.76401470983945,0,0,0,0,False,False,496412838.76535213,0.0,0.0,11326019163.359985,13411104066.773342
H1,stressed,66,False,reactive,gross,False,-18.6792961034297,0,0,0,0,False,False,728552352.4044971,0.0,0.0,12772729253.229982,15113484931.243635
H1,stressed,67,False,reactive,gross,False,-18.74691662555501,4,0,0,0,False,False,979185754.1218879,0.0,1256603.8422795534,12895907354.902088,16939927851.144106
H1,stressed,68,False,reactive,gross,False,-18.83817799077351,1,0,0,0,False,False,753974115.9311603,0.0,8793.696331009269,11704416987.019941,13743709691.26184
H1,stressed,69,False,reactive,gross,False,-18.771024893473875,6,0,0,0,False,False,691567060.4676604,0.0,3926460.402220279,12953561352.32626,15707561702.779682
H1,stressed,70,False,reactive,gross,False,-18.68097333213612,1,0,0,0,False,False,775417317.4892269,0.0,188932.76793326437,11147936803.885057,13121195380.550625
H1,stressed,71,False,reactive,gross,False,-18.66696588868941,2,0,0,0,False,False,603390008.1691389,0.0,571880.7792427242,13299799978.034979,16296889101.866417
H1,stressed,72,False,reactive,gross,False,-18.74691662555501,0,0,0,0,False,False,897718626.954616,0.0,0.0,12943821416.30337,18843305122.33185
H1,stressed,73,False,reactive,gross,False,-18.743554100712977,0,0,0,0,False,False,606670829.1987143,0.0,0.0,11546356441.259256,13441254199.23566
H1,stressed,74,False,reactive,gross,False,-18.812457987900512,1,0,0,0,False,False,752808084.4213647,0.0,508128.9958802685,12211202417.257727,15093037398.626322
H1,stressed,75,False,reactive,gross,False,-18.707650886246352,7,0,0,0,False,False,749743359.2565601,0.0,3130254.552962564,13712936937.834316,16812875462.542488
