ts,bid_px_00,ask_px_00,bid_sz_00,ask_sz_00,symbol
2020-05-22 19:25:00+00:00,2926.25,2929.0,3,3,ESZ0
2020-05-22 19:25:00+00:00,2932.75,2933.5,1,1,ESU0
2020-05-22 19:25:00+00:00,2942.0,2942.25,35,99,ESM0
2020-05-22 19:25:00+00:00,2884.75,2947.25,7,7,ESM1
2020-05-22 19:26:00+00:00,2883.5,2946.0,7,7,ESM1
2020-05-22 19:26:00+00:00,2939.75,2940.0,82,108,ESM0
2020-05-22 19:26:00+00:00,2930.75,2931.25,1,2,ESU0
2020-05-22 19:26:00+00:00,2924.0,2926.75,3,3,ESZ0
2020-05-22 19:26:00+00:00,2892.0,2935.5,7,7,ESH1
2020-05-22 19:27:00+00:00,2893.0,2936.5,7,7,ESH1
2020-05-22 19:27:00+00:00,2925.0,2927.75,3,3,ESZ0
2020-05-22 19:27:00+00:00,2931.75,2932.25,1,2,ESU0
2020-05-22 19:27:00+00:00,2940.75,2941.0,76,23,ESM0
2020-05-22 19:28:00+00:00,2941.25,2941.5,62,85,ESM0
2020-05-22 19:28:00+00:00,2932.0,2932.75,1,2,ESU0
2020-05-22 19:28:00+00:00,2925.5,2928.25,3,3,ESZ0
2020-05-22 19:29:00+00:00,2925.0,2927.75,3,3,ESZ0
2020-05-22 19:29:00+00:00,2931.5,2932.0,1,1,ESU0
2020-05-22 19:29:00+00:00,2940.75,2941.0,46,154,ESM0
2020-05-22 19:30:00+00:00,2942.0,2942.25,39,94,ESM0
2020-05-22 19:30:00+00:00,2932.75,2933.25,1,2,ESU0
2020-05-22 19:30:00+00:00,2926.25,2929.0,3,3,ESZ0
2020-05-22 19:30:00+00:00,2894.0,2937.5,7,7,ESH1
2020-05-22 19:30:00+00:00,2884.75,2947.25,7,7,ESM1
2020-05-22 19:31:00+00:00,2925.75,2928.5,3,3,ESZ0
2020-05-22 19:31:00+00:00,2932.25,2932.75,2,1,ESU0
2020-05-22 19:31:00+00:00,2941.5,2941.75,21,74,ESM0
2020-05-22 19:32:00+00:00,2944.0,2944.25,88,116,ESM0
2020-05-22 19:32:00+00:00,2935.0,2935.5,1,1,ESU0
2020-05-22 19:32:00+00:00,2928.25,2931.0,3,3,ESZ0
2020-05-22 19:32:00+00:00,2887.25,2949.75,7,7,ESM1
2020-05-22 19:32:00+00:00,2896.0,2939.5,7,7,ESH1
2020-05-22 19:33:00+00:00,2896.0,2939.75,7,7,ESH1
2020-05-22 19:33:00+00:00,2887.25,2949.75,7,7,ESM1
2020-05-22 19:33:00+00:00,2928.0,2930.5,3,3,ESZ0
2020-05-22 19:33:00+00:00,2934.5,2935.0,2,1,ESU0
2020-05-22 19:33:00+00:00,2943.75,2944.0,14,98,ESM0
2020-05-22 19:34:00+00:00,2944.25,2944.5,70,84,ESM0
2020-05-22 19:34:00+00:00,2935.0,2935.75,1,2,ESU0
2020-05-22 19:34:00+00:00,2928.5,2931.25,3,3,ESZ0
2020-05-22 19:35:00+00:00,2928.75,2931.5,3,3,ESZ0
2020-05-22 19:35:00+00:00,2935.5,2936.0,1,1,ESU0
2020-05-22 19:35:00+00:00,2944.5,2944.75,80,92,ESM0
2020-05-22 19:35:00+00:00,2887.25,2949.75,7,7,ESM1
2020-05-22 19:35:00+00:00,2897.0,2940.75,7,7,ESH1
2020-05-22 19:36:00+00:00,2896.0,2939.75,7,7,ESH1
2020-05-22 19:36:00+00:00,2887.25,2949.75,7,7,ESM1
2020-05-22 19:36:00+00:00,2944.25,2944.5,59,107,ESM0
2020-05-22 19:36:00+00:00,2935.0,2935.75,2,2,ESU0
2020-05-22 19:36:00+00:00,2928.5,2931.25,3,3,ESZ0
2020-05-22 19:37:00+00:00,2928.25,2931.0,3,3,ESZ0
2020-05-22 19:37:00+00:00,2935.0,2935.25,1,1,ESU0
2020-05-22 19:37:00+00:00,2944.0,2944.25,19,66,ESM0
2020-05-22 19:37:00+00:00,2896.0,2939.75,7,7,ESH1
2020-05-22 19:38:00+00:00,2896.0,2939.75,7,7,ESH1
2020-05-22 19:38:00+00:00,2944.0,2944.25,17,78,ESM0
2020-05-22 19:38:00+00:00,2934.75,2935.25,1,1,ESU0
2020-05-22 19:38:00+00:00,2928.25,2931.0,3,3,ESZ0
2020-05-22 19:39:00+00:00,2927.5,2930.25,3,3,ESZ0
2020-05-22 19:39:00+00:00,2934.25,2934.75,1,1,ESU0
2020-05-22 19:39:00+00:00,2943.25,2943.5,41,78,ESM0
