t,defaulted_cm,cm_kind,n_ported,n_unported,unported_position,regime,seed,margin
27779,102,NBCM,2,0,0,stressed,113,flat12
19739,104,NBCM,4,0,0,stressed,114,flat12
25859,101,NBCM,1,0,0,stressed,114,flat12
14159,101,NBCM,1,0,0,stressed,116,flat12
12059,104,NBCM,1,0,0,stressed,118,flat12
27779,103,NBCM,1,0,0,stressed,118,flat12
14999,30,BCM,11,0,0,stressed,119,flat12
14999,100,NBCM,0,0,0,stressed,119,flat12
14879,101,NBCM,1,0,0,stressed,123,flat12
14939,104,NBCM,1,0,0,stressed,124,flat12
14999,34,BCM,14,0,0,stressed,126,flat12
14159,104,NBCM,1,0,0,stressed,128,flat12
14999,101,NBCM,1,0,0,stressed,129,flat12
19859,101,NBCM,3,0,0,stressed,133,flat12
19559,33,BCM,11,0,0,stressed,134,flat12
14159,100,NBCM,1,0,0,stressed,135,flat12
14159,101,NBCM,1,0,0,stressed,137,flat12
14159,100,NBCM,0,0,0,stressed,142,flat12
14159,100,NBCM,1,0,0,stressed,143,flat12
14159,34,BCM,8,0,0,stressed,147,flat12
27719,103,NBCM,2,0,0,stressed,147,flat12
20279,103,NBCM,3,0,0,stressed,151,flat12
14159,101,NBCM,2,0,0,stressed,153,flat12
20579,102,NBCM,2,0,0,stressed,153,flat12
14879,103,NBCM,2,0,0,stressed,157,flat12
19859,100,NBCM,1,0,0,stressed,157,flat12
19559,103,NBCM,4,0,0,stressed,158,flat12
28499,101,NBCM,2,0,0,stressed,158,flat12
14879,100,NBCM,1,0,0,stressed,160,flat12
17519,101,NBCM,0,0,0,stressed,161,flat12
14159,100,NBCM,1,0,0,stressed,164,flat12
20399,100,NBCM,1,0,0,stressed,166,flat12
20399,102,NBCM,1,0,0,stressed,168,flat12
28559,104,NBCM,2,0,0,stressed,168,flat12
11039,101,NBCM,1,0,0,stressed,171,flat12
14159,103,NBCM,1,0,0,stressed,176,flat12
14999,100,NBCM,1,0,0,stressed,181,flat12
14159,103,NBCM,0,0,0,stressed,185,flat12
16019,102,NBCM,1,0,0,stressed,185,flat12
15119,104,NBCM,0,0,0,stressed,186,flat12
19859,103,NBCM,2,0,0,stressed,187,flat12
27599,103,NBCM,2,0,0,stressed,188,flat12
28799,102,NBCM,5,0,0,stressed,188,flat12
25859,100,NBCM,3,0,0,stressed,190,flat12
