member_id,is_banking,is_client,deficit,level,L1_own_df,L2_sitg,L3_pooled_df,L4_survivor_cash,L5_ccp_cash,mutualised,regime,seed,margin
100,False,False,290025105.05017227,2,282099245.6311995,7925859.41897279,0.0,0.0,0.0,0.0,stressed,149,reactive
103,False,False,910641381.5555314,3,250833711.61142766,378174235.56000006,281633434.38410366,0.0,0.0,281633434.38410366,stressed,149,reactive
103,False,False,1015942925.7303195,3,368865243.9299737,359175388.44000006,287902293.3603457,0.0,0.0,287902293.3603457,stressed,157,reactive
100,False,False,1275940627.3002057,3,285214831.21520966,311832892.8,678892903.284996,0.0,0.0,678892903.284996,stressed,160,reactive
104,False,False,1073066795.5844295,3,342414308.7913907,348085366.2,382567120.59303886,0.0,0.0,382567120.59303886,stressed,162,reactive
103,False,False,1100375209.1684957,3,694252359.6678693,361436420.40000004,44686429.10062629,0.0,0.0,44686429.10062629,stressed,166,reactive
101,False,False,1013395658.7775679,3,548779080.6983874,378213411.84000003,86403166.23918045,0.0,0.0,86403166.23918045,stressed,168,reactive
102,False,False,940212806.3405213,3,255890033.43982816,366680034.6,317642738.30069315,0.0,0.0,317642738.30069315,stressed,168,reactive
101,False,False,961769000.5856112,3,240184104.54636276,370592323.20000005,350992572.8392484,0.0,0.0,350992572.8392484,stressed,171,reactive
102,False,False,939207565.215069,3,204491137.8216535,0.0,734716427.3934156,0.0,0.0,734716427.3934156,stressed,171,reactive
103,False,False,817598346.1617645,3,286290544.02082926,380085334.20000005,151222467.9409352,0.0,0.0,151222467.9409352,stressed,176,reactive
104,False,False,1080612950.655869,3,478372406.8607274,384622345.8000001,217618197.9951415,0.0,0.0,217618197.9951415,stressed,178,reactive
101,False,False,1521297209.3562598,3,732929574.8649486,414094689.36,374272945.1313112,0.0,0.0,374272945.1313112,stressed,178,reactive
101,False,False,991546506.9746159,3,287395466.1653759,330858809.15999997,373292231.64924014,0.0,0.0,373292231.64924014,stressed,182,reactive
103,False,False,992657128.6699778,3,283163928.0280384,408529341.00000006,300963859.64193934,0.0,0.0,300963859.64193934,stressed,185,reactive
102,False,False,807667677.6534102,3,212200492.609014,414481023.00000006,180986162.0443961,0.0,0.0,180986162.0443961,stressed,185,reactive
103,False,False,1264843750.446598,3,302254788.7656327,387072606.36,575516355.3209654,0.0,0.0,575516355.3209654,stressed,186,reactive
104,False,False,1121398652.857961,3,274717766.1670052,364730770.8000001,481950115.8909557,0.0,0.0,481950115.8909557,stressed,186,reactive
104,False,False,1752811308.2261086,3,590831377.1237041,467194510.86,694785420.2424046,0.0,0.0,694785420.2424046,stressed,126,flat04
101,False,False,2148867148.9389014,3,524078250.8597219,405709191.36,1219079706.7191796,0.0,0.0,1219079706.7191796,stressed,168,flat04
103,False,False,634093127.413723,3,146949861.17160702,347579395.02,139563871.222116,0.0,0.0,139563871.222116,stressed,45,flat08
104,False,False,774039411.7911572,3,277206587.5044752,359661441.48,137171382.80668205,0.0,0.0,137171382.80668205,stressed,46,flat08
102,False,False,758223692.3377074,3,204556222.20373186,407655882.48,146011587.6539755,0.0,0.0,146011587.6539755,stressed,47,flat08
101,False,False,812934847.3169328,3,208092443.51354086,365550609.6,239291794.2033919,0.0,0.0,239291794.2033919,stressed,49,flat08
102,False,False,950029011.6546423,3,227724310.2602006,352934602.02,369370099.37444174,0.0,0.0,369370099.37444174,stressed,53,flat08
102,False,False,1028413168.94308,3,242575472.5156903,359910572.34000003,425927124.0873896,0.0,0.0,425927124.0873896,stressed,57,flat08
100,False,False,894156890.1599164,3,254798603.81859425,388500636.48,250857649.86132216,0.0,0.0,250857649.86132216,stressed,58,flat08
101,False,False,1084257060.056074,3,278407335.5562633,367861000.32000005,437988724.1798105,0.0,0.0,437988724.1798105,stressed,60,flat08
104,False,False,827032362.4986825,3,220674345.3792075,361299638.70000005,245058378.41947496,0.0,0.0,245058378.41947496,stressed,69,flat08
104,False,False,971046773.3487843,3,300754609.07127744,438108456.06000006,232183708.21750677,0.0,0.0,232183708.21750677,stressed,72,flat08
101,False,False,838011835.105184,3,320651838.7346068,491615724.6,25744271.770577133,0.0,0.0,25744271.770577133,stressed,72,flat08
102,False,False,1090553841.4515045,3,239333954.89287096,351693621.84,499526264.7186336,0.0,0.0,499526264.7186336,stressed,73,flat08
100,False,False,998512658.710018,3,262732936.73751646,489798342.00000006,245981379.97250146,0.0,0.0,245981379.97250146,stressed,78,flat08
103,False,False,968495533.8392615,3,233790220.52895424,407938394.16,326766919.15030724,0.0,0.0,326766919.15030724,stressed,82,flat08
101,False,False,981042264.0205469,3,251936233.39145556,393039112.62000006,336066918.0090913,0.0,0.0,336066918.0090913,stressed,85,flat08
100,False,False,2811181198.8139477,3,779903754.443017,391252308.48,1640025135.8909307,0.0,0.0,1640025135.8909307,stressed,89,flat08
