exp,regime,seed,direct,margin,decouple,drawdown,client_defaults,cm_defaults,nbcm_defaults,deepest_waterfall,mutualised_l3,survivor_l4,total_df,ccp_cash_used,client_loss_absorbed,im_mean,im_peak
H1,calm,112,False,reactive,False,-5.373938263932054,0,0,0,0,False,False,10506367352.25,0.0,0.0,18692458733.682,21677793615.0
H1,calm,113,False,reactive,False,-5.344934742075824,0,0,0,0,False,False,13791191832.000002,0.0,0.0,16157528854.848,19690344990.0
H1,calm,114,False,reactive,False,-5.3532214626061725,0,0,0,0,False,False,12831268007.250002,0.0,0.0,18052276834.206,21271274937.0
H1,calm,115,False,reactive,False,-5.378081624197229,0,0,0,0,False,False,12143403892.125002,0.0,0.0,18613325981.934,21961506897.0
H1,calm,116,False,reactive,False,-5.378973105134477,0,0,0,0,False,False,17403094182.375,0.0,0.0,18034973185.896,20245321494.0
H1,calm,117,False,reactive,False,-5.349078102340998,0,0,0,0,False,False,12373342727.625002,0.0,0.0,17334100508.724,19258043112.0
H1,calm,118,False,reactive,False,-5.34079138181065,0,0,0,0,False,False,16028327526.750002,0.0,0.0,17919412909.866,20159199765.0
H1,calm,119,False,reactive,False,-5.336869147261125,0,0,0,0,False,False,15592361870.250002,0.0,0.0,18057355985.196,21523109481.0
H1,calm,120,False,reactive,False,-5.345820728523476,0,0,0,0,False,False,15962819276.250002,0.0,0.0,18186082563.618,20801247498.0
H1,calm,121,False,reactive,False,-5.3582528697526,0,0,0,0,False,False,17955854705.25,0.0,0.0,18669567495.798,20422727235.0
H1,calm,122,False,reactive,False,-5.374160934780803,0,0,0,0,False,False,13835085610.500002,0.0,0.0,19467070362.072,22435424190.0
H1,calm,123,False,reactive,False,-5.373938263932054,0,0,0,0,False,False,14836302384.750002,0.0,0.0,17954273564.028,20791850976.0
H1,calm,124,False,reactive,False,-5.373938263932054,0,0,0,0,False,False,17611195251.375,0.0,0.0,19327296509.748,21292783083.0
H1,calm,125,False,reactive,False,-5.374829058058095,0,0,0,0,False,False,16487492620.500002,0.0,0.0,18017071342.506,20728979208.0
H1,calm,126,False,reactive,False,-5.365651543401695,0,0,0,0,False,False,11577227681.25,0.0,0.0,17468290451.412,19726190892.0
H1,calm,127,False,reactive,False,-5.361508183136521,0,0,0,0,False,False,17820802345.5,0.0,0.0,18331738234.038,20623012407.0
H1,calm,128,False,reactive,False,-5.374829058058095,0,0,0,0,False,False,18604469379.375,0.0,0.0,18941631635.286,21150815364.0
H1,calm,129,False,reactive,False,-5.382224984462402,0,0,0,0,False,False,16319207470.500002,0.0,0.0,18246458223.828,21060028143.0
H1,calm,130,False,reactive,False,-5.378973105134477,0,0,0,0,False,False,12234095948.250002,0.0,0.0,17604530252.856,20424974346.0
H1,calm,131,False,reactive,False,-5.361508183136521,0,0,0,0,False,False,16032305359.125002,0.0,0.0,19823821378.47,22829430285.0
H1,calm,132,False,reactive,False,-5.349964775599847,0,0,0,0,False,False,16975330873.875002,0.0,0.0,17634956145.012,20726148465.0
H1,calm,133,False,reactive,False,-5.378973105134477,0,0,0,0,False,False,14410971939.375002,0.0,0.0,19309857193.368,21686107374.0
H1,calm,134,False,reactive,False,-5.332725615314493,0,0,0,0,False,False,15180894815.625002,0.0,0.0,18888461067.78,22083978735.0
H1,calm,135,False,reactive,False,-5.386368344727577,0,0,0,0,False,False,15617214483.750002,0.0,0.0,19134208551.816,22001935338.0
H1,calm,136,False,reactive,False,-5.361508183136521,0,0,0,0,False,False,16369998009.750002,0.0,0.0,18441717666.3,21487674933.0
H1,calm,137,False,reactive,False,-5.341012679207758,0,0,0,0,False,False,16414935248.250002,0.0,0.0,16018152682.23,17640325332.0
H1,calm,138,False,reactive,False,-5.344934742075824,0,0,0,0,False,False,13210885301.625002,0.0,0.0,18696546893.34,21811852026.0
H1,calm,139,False,reactive,False,-5.34079138181065,0,0,0,0,False,False,13978418565.375002,0.0,0.0,16684775078.508,19471549734.0
H1,calm,140,False,reactive,False,-5.398798425523099,0,0,0,0,False,False,16265219850.000002,0.0,0.0,19122692329.458,21704774877.0
H1,calm,141,False,reactive,False,-5.369794903666869,0,0,0,0,False,False,13574741028.750002,0.0,0.0,17952884169.012,20512632294.0
H1,calm,142,False,reactive,False,-5.365651543401695,0,0,0,0,False,False,16993314916.875002,0.0,0.0,18448042538.322,20702745450.0
H1,calm,143,False,reactive,False,-5.382224984462402,0,0,0,0,False,False,16197236055.000002,0.0,0.0,18326861695.548,20540683548.0
H1,calm,144,False,reactive,False,-5.345820728523476,0,0,0,0,False,False,14494342660.875002,0.0,0.0,19766259072.414,22132216530.0
H1,calm,145,False,reactive,False,-5.383117152210848,0,0,0,0,False,False,14244004343.250002,0.0,0.0,18708801420.528,20895258204.0
H1,calm,146,False,reactive,False,-5.374160934780803,0,0,0,0,False,False,14640052556.250002,0.0,0.0,15939901536.912,18270432180.0
H1,calm,147,False,reactive,False,-5.395549293439972,0,0,0,0,False,False,15760444540.500002,0.0,0.0,16609519514.16,18456214221.0
H1,calm,148,False,reactive,False,-5.374160934780803,0,0,0,0,False,False,15242219746.875002,0.0,0.0,18482172830.676,20605597614.0
H1,calm,149,False,reactive,False,-5.365651543401695,0,0,0,0,False,False,18144992844.0,0.0,0.0,18107434867.844204,19563793335.0
H1,calm,150,False,reactive,False,-5.3946550652579255,0,0,0,0,False,False,16044014361.375002,0.0,0.0,19247657812.578,21852103050.0
H1,calm,151,False,reactive,False,-5.373938263932054,0,0,0,0,False,False,12765459093.750002,0.0,0.0,18205804985.382,21000653811.0
H1,calm,152,False,reactive,False,-5.423658587114144,0,0,0,0,False,False,15384385355.625002,0.0,0.0,19256378230.8,21833586369.0
H1,calm,153,False,reactive,False,-5.378973105134477,0,0,0,0,False,False,13483366194.375002,0.0,0.0,18542627652.816,21273222456.0
H1,calm,154,False,reactive,False,-5.3946550652579255,0,0,0,0,False,False,16326351879.750002,0.0,0.0,18960754929.534,21211191162.0
H1,calm,155,False,reactive,False,-5.407981434669096,0,0,0,0,False,False,14443841362.500002,0.0,0.0,17708341212.954,20423601198.0
H1,calm,156,False,reactive,False,-5.357364822871347,0,0,0,0,False,False,13931100154.125002,0.0,0.0,17218516361.832,20677602285.0
H1,calm,157,False,reactive,False,-5.403165658407227,0,0,0,0,False,False,16263371025.000002,0.0,0.0,18154586811.816,20624076585.0
H1,calm,158,False,reactive,False,-5.407981434669096,0,0,0,0,False,False,14672191668.750002,0.0,0.0,19072285228.944,21105866331.0
H1,calm,159,False,reactive,False,-5.386368344727577,0,0,0,0,False,False,15685372568.250002,0.0,0.0,17581705690.122,19924737075.0
H1,calm,160,False,reactive,False,-5.183558465235771,0,0,0,0,False,False,18417130837.875,0.0,0.0,18743156693.442,20839931928.0
H1,calm,161,False,reactive,False,-5.3905117049927505,0,0,0,0,False,False,14781277627.875002,0.0,0.0,15933428469.396,18116668404.0
H1,calm,162,False,reactive,False,-5.361508183136521,0,0,0,0,False,False,12920539054.500002,0.0,0.0,18289215880.254,21342081294.0
H1,calm,163,False,reactive,False,-5.328361301015128,0,0,0,0,False,False,17106965827.875002,0.0,0.0,17879786173.566,20659766985.0
H1,calm,164,False,reactive,False,-5.332062808136884,0,0,0,0,False,False,13332019065.750002,0.0,0.0,16562666539.908,18712303272.0
H1,calm,165,False,reactive,False,-5.3532214626061725,0,0,0,0,False,False,15890186565.000002,0.0,0.0,17476825830.624,19964670678.0
H1,calm,166,False,reactive,False,-5.361508183136521,0,0,0,0,False,False,15408471127.500002,0.0,0.0,19165878865.674,21010321332.0
H1,calm,167,False,reactive,False,-5.387484459179448,0,0,0,0,False,False,16599226396.500002,0.0,0.0,18118886759.406,22367260791.0
H1,calm,168,False,reactive,False,-5.44942190543285,0,0,0,0,False,False,15156110475.000002,0.0,0.0,17363562093.936,19139096025.0
H1,calm,169,False,reactive,False,-5.3946550652579255,0,0,0,0,False,False,16172150667.750002,0.0,0.0,19930212001.566,22504333248.0
H1,calm,170,False,reactive,False,-5.378081624197229,0,0,0,0,False,False,15664422596.625002,0.0,0.0,18798337530.504,21615599250.0
H1,calm,171,False,reactive,False,-5.398798425523099,0,0,0,0,False,False,14633230416.750002,0.0,0.0,17083247041.458,19669084542.0
H1,calm,172,False,reactive,False,-5.386368344727577,0,0,0,0,False,False,15202769620.500002,0.0,0.0,17243155653.246,19012718466.0
H1,calm,173,False,reactive,False,-5.344934742075824,0,0,0,0,False,False,16204586173.875002,0.0,0.0,18786435555.078,20509907715.0
H1,calm,174,False,reactive,False,-5.361508183136521,0,0,0,0,False,False,13670762972.625002,0.0,0.0,19978007699.142,23000616873.0
H1,calm,175,False,reactive,False,-5.3242179407499535,0,0,0,0,False,False,14057299872.000002,0.0,0.0,16310354908.356,18677931372.0
H1,calm,176,False,reactive,False,-5.3292445402179816,0,0,0,0,False,False,15512610613.500002,0.0,0.0,19948101416.028,23231135538.0
H1,calm,177,False,reactive,False,-5.386368344727577,0,0,0,0,False,False,17181144288.0,0.0,0.0,18780392078.154,21968371800.0
H1,calm,178,False,reactive,False,-5.374160934780803,0,0,0,0,False,False,15024704495.625002,0.0,0.0,19027283404.662,21875662872.0
H1,calm,179,False,reactive,False,-5.307644499689246,0,0,0,0,False,False,17034100157.250002,0.0,0.0,18401542239.294,21063595455.0
H1,calm,180,False,reactive,False,-5.386368344727577,0,0,0,0,False,False,13123213092.000002,0.0,0.0,16560302876.802,18516903660.0
H1,calm,181,False,reactive,False,-5.386368344727577,0,0,0,0,False,False,16990152733.125002,0.0,0.0,18821144875.428,21801256380.0
H1,calm,182,False,reactive,False,-5.312668351912475,0,0,0,0,False,False,16277485776.750002,0.0,0.0,15667264809.432,17517789000.0
