ft_sigma_rel,mt_sigma_rel,mt_lambda,kappa_v,log10_xi,xi_v,calm_ret_std,calm_ret_kurtosis_excess,calm_acf_r_lag1,calm_acf_r_lag5,calm_acf_abs_r_lag1,calm_acf_abs_r_lag5,calm_acf_abs_r_lag20,stress_ret_std,stress_ret_kurtosis_excess,stress_acf_r_lag1,stress_acf_r_lag5,stress_acf_abs_r_lag1,stress_acf_abs_r_lag5,stress_acf_abs_r_lag20
0.04982930510904277,0.02752292447414788,0.5636870192848908,0.15855268477957885,-4.306562916227719,4.9367039505466474e-05,0.08809346365423586,-0.940536200463328,-0.49901638536899434,0.04999141793887976,0.24824740560337288,0.14088787662710797,0.12026998639706224,0.08835894395435086,-0.5865042828329119,-0.38759639061906465,0.08539118237248831,0.13905511119893743,0.06456307369127262,0.055362346566309416
0.03155976272776302,0.013195601358772664,0.7323959542773869,0.7093869033970733,-3.204736890203602,0.0006241128289276016,0.04548567887900448,-0.6692757782189975,-0.40980463350851276,-0.09513150655964539,0.04811083460676864,0.06684834105404854,-0.09970512138942413,0.061487435148622226,-0.5456582176031581,-0.3722357048173997,-0.033900897323284315,0.1299835789103657,0.07908360105372468,-0.02655002619358024
0.027253856763132994,0.044584618957576566,0.7671230951867443,0.8058803702326641,-5.335962654967809,4.6135724501700884e-06,0.16031496179356008,2.391621231374117,-0.03636300015921959,0.18709960897756592,0.21333721950211618,0.3688413836619133,0.38823749846757927,0.1261061156342336,3.5411571126783405,-0.06105030206018899,0.1746533311440608,0.183254103406134,0.15021818149655639,0.04372469119633607
0.041227325986174394,0.03908188471446412,0.7449623913573632,0.9603700656585423,-3.0418278350688874,0.0009081804837331972,0.07438017419285953,-0.3188345742129317,-0.24451149766267005,-0.13625731216434214,-0.02889056549308371,0.17187323523906467,0.10353932246514398,0.13370672672123554,5.807114485413484,-0.0387063313550624,-0.08837408352565981,0.06800104355767313,0.0364065989672958,-0.04362283346342057
0.03220559223451133,0.014553370273769302,0.9046871823164635,0.0581430502906266,-3.997785514827989,0.00010051120627771928,0.033925954843686996,0.1775227862819011,0.04532144385861655,-0.05076344384543293,0.016640812862950462,-0.01496102399037516,0.08792043434989565,0.048158085840414214,0.10121815471184492,-0.16433846889449966,0.15592886753028623,-0.006758600519506559,0.0016013371519294846,-0.0787804332447368
0.03484872696874444,0.024555277768990056,0.5111250987605152,0.8728817892986095,-5.8327680194085465,1.4697111216312402e-06,0.07519813199668154,-0.7767193451555143,-0.7854997959508433,-0.028664305727489358,0.5117006572193916,0.2711676352242275,0.2267749590162822,0.08506709480712296,-0.6509119706845139,-0.5330095136958718,-0.17510789657582504,0.2050118469698549,0.05067098713924283,0.09047310788243484
0.04880686890626904,0.020359041823105283,0.6914386031605144,0.41058305452748456,-6.9180637970139,1.2076364226368862e-07,0.05804602484602574,-0.872450690524571,-0.2685979944369467,-0.004328715747364403,0.01847803851385769,0.008179069379723243,0.11585751708224125,0.06214045449409132,-0.5558480736582361,-0.2327231326129052,-0.05302859577666129,-0.044159999759783776,-0.028158525185078206,0.016741901107259535
0.019721324337394906,0.03751341323494092,0.9767234239656827,0.6503525911271077,-3.5310351873365877,0.00029441830810141267,0.03529161192733745,-0.6062436360846224,-0.47458549862578536,-0.04973596420374249,0.08889979755212472,0.0218330134362324,0.0217237962517823,0.04989268022434107,-0.5096169935137733,-0.2887832208594616,-0.06354969138115658,-0.019771587671668957,0.025795012028963792,-0.027707720286423102
0.025810802815461234,0.04409801919251751,0.7981480837959778,0.3961829423157106,-5.104584535726692,7.859871832984204e-06,0.05470341839545279,-0.3891634895234617,-0.6119646846158754,-0.10610832320944336,0.33321359285357044,0.1811640286982485,0.056458042733834334,0.07214102805739957,-0.24624275530700857,-0.5279593020958372,-0.05109076495810939,0.22710095873492825,0.043147576041366695,0.06565284047776862
0.03381125158414166,0.0023741765522233785,0.9689168432259677,0.6406972548085362,-5.381751024074087,4.151919991158972e-06,0.05168595430957702,-0.9215521372537725,-0.5553678116267571,0.10387201858760278,0.0769388639072682,-0.022578046527679207,0.05040353118988808,0.061202010448955214,-0.4234150418656255,-0.42665332330335004,-0.047905550264035625,0.01366648200381882,-0.0826738991367442,0.045196026727694946
0.010508195099920903,0.032248823697580864,0.8346566906417827,0.365672497628836,-4.542064892568186,2.8703516601406668e-05,0.025271229696103174,2.502138223320685,-0.28953034973515895,-0.03259808556015133,0.21656873419268483,-0.06068127556197486,-0.09841806951495236,0.052962143163816054,0.35947632940993435,-0.31715235529135394,-0.051045502940360865,0.22819179695865593,0.09457111081963517,0.07958973540205097
0.007846554615927507,0.02405091521562917,0.8718081344811026,0.10478686635560736,-6.103399616416819,7.881345811995111e-07,0.021238895905044124,0.21433619857724961,-0.26437741651830676,-0.003415129529977243,0.13090603738875525,-0.04828975675369109,0.04349575105349465,0.04079091001971544,0.2077652883120802,-0.1619701582388746,-0.04321609745375576,0.11253087803988485,0.006535854321195797,0.05994510086917291
0.04313335135991548,0.006027575345186239,0.6958011168241502,0.2279924947175479,-6.361685102842426,4.348253920057554e-07,0.03436751572176082,0.3779258384515809,0.1398882430244466,0.09284726138149035,-0.1259891968765427,0.016361175099839576,0.02625608528696198,0.050996739992726046,0.23041218221900284,-0.12321181226565966,-0.011750882783342171,0.06398878719667925,0.03615655063177608,-0.04518696872058974
0.04142930326525596,0.0011410437841011816,0.61101579637512,0.5403434370706919,-4.58037225797494,2.6280144087624518e-05,0.027632219430482625,1.0997242883569172,-0.24474955142878935,0.05943787995735726,0.0179219029856224,0.003866872751769787,-0.024784236170901457,0.04602717237574125,0.7443954456988275,-0.16450207121759033,0.09208282617637271,-0.03624591896957788,-0.034051298061924036,0.0725639107139249
0.02684621697178059,0.013483490650245141,0.6128248531823085,0.4025483626378319,-5.595625915476967,2.5373132332927565e-06,0.036331906466585615,0.47697488773777597,-0.3270081512767483,-0.09239102934599353,0.2573325940789434,0.16874489192362577,0.1273351656671669,0.05495451605264777,-0.0315823201428298,-0.31145291756703947,-0.04649609554800163,0.13922105322055844,-0.050650179359805404,0.06254832384882168
0.029174512035312863,0.029444141052255627,0.5462420701949625,0.7340278829275956,-6.541940216931877,2.871175788252958e-07,0.07051846768457155,0.293631980932509,-0.5914933909347521,0.016263538740060795,0.4496562802508675,0.2942569519725191,0.18226378096522916,0.07653710581760245,-0.018173698731813737,-0.3963907786384562,-0.09308277059197709,0.25260481478755314,-0.03998902456279928,-0.076853769584576
0.045870692440328126,0.02151962936896764,0.6030605495631001,0.2849323978143811,-5.515272791292329,3.0530028429126583e-06,0.0878294466908682,-1.1085240936317386,-0.7341188224523232,-0.007745201919730149,0.21239475808227523,-0.09667951756134707,0.013988488539331587,0.09394533868408463,-0.9975248542185837,-0.5748351667442115,0.035539043721735726,0.20000311490994577,-0.044524595176049814,0.14933198810796924
