run_id,t,n_margin_calls,n_defaults,n_new_defaults,system_equity,total_margin
37,223,0,50,0,0.0,0.0
37,224,0,50,0,0.0,0.0
37,225,0,50,0,0.0,0.0
37,226,0,50,0,0.0,0.0
37,227,0,50,0,0.0,0.0
37,228,0,50,0,0.0,0.0
37,229,0,50,0,0.0,0.0
37,230,0,50,0,0.0,0.0
37,231,0,50,0,0.0,0.0
37,232,0,50,0,0.0,0.0
37,233,0,50,0,0.0,0.0
37,234,0,50,0,0.0,0.0
37,235,0,50,0,0.0,0.0
37,236,0,50,0,0.0,0.0
37,237,0,50,0,0.0,0.0
37,238,0,50,0,0.0,0.0
37,239,0,50,0,0.0,0.0
37,240,0,50,0,0.0,0.0
37,241,0,50,0,0.0,0.0
37,242,0,50,0,0.0,0.0
37,243,0,50,0,0.0,0.0
37,244,0,50,0,0.0,0.0
37,245,0,50,0,0.0,0.0
37,246,0,50,0,0.0,0.0
37,247,0,50,0,0.0,0.0
37,248,0,50,0,0.0,0.0
37,249,0,50,0,0.0,0.0
37,250,0,50,0,0.0,0.0
37,251,0,50,0,0.0,0.0
38,0,10,0,0,49999.887254545894,0.0332971787361005
38,1,48,0,0,50000.05432394277,0.075824330849262
38,2,44,0,0,49999.51648645815,0.10679279214218156
38,3,44,0,0,50000.21357744563,0.187670304406443
38,4,43,0,0,49998.857183375345,0.2684954399804781
38,5,42,0,0,49999.82262084009,0.29522857594378066
38,6,3,0,0,49998.2280463879,0.31186325895747213
38,7,45,0,0,49999.55244188796,0.5675791299738964
38,8,3,0,0,49997.003554923656,0.5733704151608734
38,9,12,0,0,49998.82619771263,0.620450199013936
38,10,44,0,0,49994.65831532028,0.8784360989210419
38,11,13,0,0,49996.78471491081,1.1115834657547672
38,12,44,0,0,49989.16765402266,1.8175381813859905
38,13,13,0,0,49991.52723692946,2.047538440257402
38,14,46,0,0,49975.87678539732,4.3403650622149765
38,15,3,0,0,49976.642964536295,4.444947854218135
38,16,45,0,0,49945.95737043447,9.755670243319273
38,17,3,0,0,49940.10131072386,9.912041629601129
38,18,45,0,0,49872.02167061837,24.94051593681832
38,19,2,0,0,49843.98017220877,24.993259481606575
38,20,48,0,0,49604.94616529121,97.3998538784701
38,21,3,0,0,49453.481812736696,98.45681636280064
38,22,49,0,0,47739.04405353505,697.5139609744813
38,23,3,0,0,46388.31855026465,704.428370761878
38,24,50,30,30,14690.900864104022,22114.96217388735
38,25,1,30,0,33639.09789426514,22125.192376294228
38,26,20,35,5,48077542.30534716,962094364.569339
38,27,2,38,3,963090268.9788163,958202639.0854156
38,28,12,38,0,5869309541618199.0,2.5443404859037526e+17
38,29,0,38,0,2.416075570567875e+17,2.5443404859037526e+17
38,30,0,38,0,2.416075570567875e+17,2.5443404859037526e+17
38,31,0,38,0,2.4160755705678288e+17,2.5443404859037526e+17
38,32,0,38,0,2.416075570567791e+17,2.5443404859037526e+17
38,33,0,38,0,2.41607557086536e+17,2.5443404859037526e+17
38,34,0,38,0,2.416075570642907e+17,2.5443404859037526e+17
38,35,12,38,0,5.020005007145245e+19,2.660428825520342e+18
38,36,1,39,1,2.3691077356703326e+19,2.6421111158626867e+18
38,37,0,39,0,2.3691077356703326e+19,2.6421111158626867e+18
38,38,0,39,0,2.3691077362188034e+19,2.6421111158626867e+18
38,39,0,39,0,2.3691077349765665e+19,2.6421111158626867e+18
38,40,0,39,0,2.37567933675407e+19,2.6421111158626867e+18
38,41,0,39,0,2.371812953806388e+19,2.6421111158626867e+18
38,42,0,39,0,2.371812953890297e+19,2.6421111158626867e+18
38,43,0,39,0,2.3718129538902966e+19,2.6421111158626867e+18
38,44,0,39,0,2.3718129538930803e+19,2.6421111158626867e+18
38,45,0,39,0,2.371812953887988e+19,2.6421111158626867e+18
38,46,11,39,0,5.899460528407001e+19,2.685452151958799e+18
38,47,0,40,1,3.214853693794468e+19,2.6704871653629215e+18
38,48,0,40,0,3.2148536938164724e+19,2.6704871653629215e+18
38,49,0,40,0,3.2148536939405595e+19,2.6704871653629215e+18
38,50,0,40,0,3.2148536937332363e+19,2.6704871653629215e+18
38,51,10,40,0,7.2405965569435795e+19,3.2525939257198925e+18
38,52,0,40,0,3.988002631223687e+19,3.2525939257198925e+18
38,53,0,40,0,3.98800263124159e+19,3.2525939257198925e+18
38,54,0,40,0,3.9880026314595795e+19,3.2525939257198925e+18
