t,price,fundamental,momentum,excess_demand
6443,100.00000000006403,96.67461464793554,5.941496462838774e-14,0.0
6444,100.00000000006503,96.66552503392732,1.52949451171963e-13,1e-08
6445,100.00000000006703,96.6688496855618,3.3802755753911497e-13,2e-08
6446,100.00000000006604,96.84100737729149,2.0474881877878945e-13,-1e-08
6447,100.00000000006604,97.00319979008701,1.842739369009105e-13,0.0
6448,100.00000000006604,97.00238220939468,1.6584654321081947e-13,0.0
6449,100.00000000006604,96.95702705166413,1.4926188888973754e-13,0.0
6450,100.00000000006604,97.10334440168498,1.343357000007638e-13,0.0
6451,100.00000000006504,97.1833862374765,2.1426146994273384e-14,-1e-08
6452,100.00000000006604,97.21494436289623,1.1875951530126008e-13,1e-08
6453,100.00000000006604,97.18275709187724,1.0688356377113408e-13,0.0
6454,100.00000000006604,97.21592674974869,9.619520739402067e-14,0.0
6455,100.00000000006604,97.21375590375992,8.65756866546186e-14,0.0
6456,100.00000000006504,97.14732208580261,-2.1557865017257283e-14,-1e-08
6457,100.00000000006504,97.16022631866134,-1.9402078515531557e-14,0.0
6458,100.00000000006604,97.1867687232253,8.201411234243562e-14,1e-08
6459,100.00000000006703,97.14922921653327,1.7328868411460609e-13,1e-08
6460,100.00000000006703,97.23961178539422,1.559598157031455e-13,0.0
6461,100.00000000006604,97.36849502462532,4.088785112641692e-14,-1e-08
6462,100.00000000006604,97.46548479399085,3.679906601377523e-14,0.0
6463,100.00000000006504,97.43785995546945,-6.635682359401632e-14,-1e-08
6464,100.00000000006405,97.51344210588829,-1.5919712424102872e-13,-1e-08
6465,100.00000000006305,97.5212382456343,-2.4275339482333984e-13,-1e-08
6466,100.00000000006105,97.3976636477777,-4.188511068253541e-13,-2e-08
6467,100.00000000006204,97.46493658562748,-2.774900131364047e-13,1e-08
6468,100.00000000006405,97.47954974972318,-4.936796033841596e-14,2e-08
6469,100.00000000006305,97.73890454993011,-1.4390714731098839e-13,-1e-08
6470,100.00000000006206,97.88463163625796,-2.2899241558630356e-13,-1.0000000000000004e-08
6471,100.00000000006106,97.95574665195142,-3.0556915703408725e-13,-1e-08
6472,100.00000000006106,97.98066370208024,-2.7501224133067855e-13,0.0
6473,100.00000000006106,97.99703592758604,-2.475110171976107e-13,0.0
6474,100.00000000006106,97.89666698722273,-2.2275991547784963e-13,0.0
6475,100.00000000006007,97.72276826450273,-2.999599069364787e-13,-1e-08
6476,100.00000000006106,97.63551235359458,-1.7048793323641682e-13,1e-08
6477,100.00000000006106,97.63074065177753,-1.5343913991277514e-13,0.0
6478,100.00000000006007,97.42018672395663,-2.3757120892791166e-13,-1e-08
6479,100.00000000006007,97.36575454472936,-2.138140880351205e-13,0.0
6480,100.00000000006207,97.34099324141691,7.940372252739799e-15,2e-08
6481,100.00000000006207,97.31945058606837,7.14633502746582e-15,0.0
6482,100.00000000006307,97.25327822624956,1.0590768453113327e-13,1e-08
6483,100.00000000006307,97.21912684481143,9.531691607801995e-14,0.0
6484,100.00000000006507,97.39151622762381,2.861582759545662e-13,2e-08
6485,100.00000000006507,97.45773075577287,2.5754244835910957e-13,0.0
6486,100.00000000006507,97.40170067808306,2.3178820352319865e-13,0.0
6487,100.00000000006507,97.39486589924687,2.0860938317087878e-13,0.0
6488,100.00000000006507,97.39203456568164,1.877484448537909e-13,0.0
6489,100.00000000006507,97.31523902230762,1.6897360036841182e-13,0.0
6490,100.00000000006507,97.23832600053323,1.5207624033157065e-13,0.0
6491,100.00000000006408,97.3393784025659,3.739263329199956e-14,-1e-08
6492,100.00000000006408,97.29739996481422,3.3653369962799604e-14,0.0
