ft_sigma_c,zi_alpha,zi_delta,p_zi,zi_mu,mt_lambda,mt_gamma,ret_std,ret_kurtosis,acf_r_1,acf_r_5,acf_r_10,acf_r_20,acf_absr_1,acf_absr_5,acf_absr_10,acf_absr_20,hill_tail_index,ks_stat
0.7615381273441016,0.402994597889483,0.09397750616073608,0.2944527925923467,0.10191541287349536,0.1806819085404277,0.5021619991399348,0.0012605467141990764,59.36962847689341,0.01881017956405014,-0.017972599135039378,-0.0066505293458693085,0.0012928443439999156,0.2929418217321016,0.22683470177224885,0.21956021705736176,0.21220185244222997,2.4336821520128344,0.03957366220928893
0.14169951775111259,0.2505809908732772,0.31352721106261017,0.46853518905118113,0.058962752320803696,0.05001403796672821,1.2392806091345847,0.0012964549726674555,18.377254524917774,-0.0435226264462173,0.002355098926663842,0.0021502639007007556,-0.002301258962493386,0.5169561174100376,0.417015629460161,0.38744614035263397,0.3705258499769574,2.90857076572568,0.08440148733227093
0.4491446143016219,0.2754172750562429,0.11921021033078433,0.15668892457149924,0.03570566618582234,0.0801793523579836,0.64646533485502,0.0015327713915357375,44.993153501582945,-0.061753303541443975,-0.008660517861660944,-0.0008651318554285624,-4.0741310880278214e-05,0.4288839396935855,0.3321215622674693,0.3195964067478784,0.3156810544837954,2.823109035142816,0.09306219543176508
0.5478008670266717,0.1110510540008545,0.19102766819298267,0.34193032261915507,0.13055618074722586,0.14612771449238063,1.8074496371671558,0.0018453774840643915,12.885194267250183,-0.11381912336686673,-0.014956453819808384,0.004107818250079846,0.0010372362264497068,0.4865379346057628,0.35462269706342653,0.3402957963672022,0.3072530443699675,2.972566941993073,0.12317836439640639
0.4871200426947325,0.38951350323855877,0.10591265929862857,0.4590518299955875,0.02098603907506913,0.11968101215362549,0.41784156188368793,0.001368312876497199,52.2751651431926,-0.024614267172133972,-0.00851358319468129,0.0018985992712653834,-0.0016918065028202034,0.3771669363709475,0.2867395077487082,0.26726988187986866,0.2683051198515324,2.7544375001174486,0.030012240467447326
0.41593452766537664,0.1713800635933876,0.18416644984856245,0.2729461803939194,0.1495726833702065,0.06355961924046279,1.0907143399119377,0.0017251117873415861,35.85277219251061,-0.09909139270622612,-0.012071702192083866,0.0049785893328932644,-0.0028557778085542703,0.5106843252699308,0.37819852138088733,0.34196047983852124,0.3232224550018486,2.947106582074321,0.11583408392803529
0.15495155532844365,0.33207462314516306,0.06075711788609624,0.35078572975471617,0.08259573718532918,0.018297878719866274,0.7335725921206175,0.0015138398914387782,15.521170558648947,-0.0697840923294004,-0.008611891834069971,0.0026128393200362306,-0.002398386428132401,0.543914475307671,0.4484624927119017,0.4201193677460147,0.4154782222213953,2.791431831815491,0.08136446569204825
0.841810789797455,0.14698789086192848,0.29143029561266304,0.17560970161110162,0.07398555249674245,0.15746445651352406,1.9625136638991534,0.001876457813745919,84.84986347711045,-0.11102244781876254,-0.01758085378889265,0.003650302157583179,0.001621994819138393,0.435654647915207,0.27737470437888495,0.23019396000653677,0.22228844669742506,3.1513594417983675,0.15278643848587736
0.6926985093392432,0.29344541169703003,0.21893855415284633,0.13305049607530237,0.052561129874084137,0.13384086018800737,0.973980076983571,0.0015052094799068447,26.032086845806766,-0.052009756107435884,-0.008610247902911674,-0.0016107760803929939,-0.0006266202729708298,0.37862480931693704,0.2986981943589396,0.2848517804757595,0.2724598813179881,2.931586905598762,0.10100695166170115
0.21053983424790204,0.09570221349596977,0.14727473769336938,0.4243172970041633,0.11263492393773047,0.09227330505102874,1.7211784552782774,0.0017181909330902599,17.055500934481856,-0.10574531211816666,-0.01479333306872972,0.006596067709393999,0.0012733284822903535,0.5420965850652004,0.40929785361246124,0.3864745329702893,0.3538443349584,2.699486527500715,0.10048730917573151
0.3715041264891624,0.4295489861443639,0.24768545057624577,0.20104963292367756,0.11984614179236813,0.03782433906942606,0.17652272125706076,0.0012529343449328876,53.0137170126797,-0.0047033308495467085,-0.0036449985333009503,-0.0009366107181138741,-0.0033176354319812817,0.3747778862461057,0.2952848908315451,0.2915032995001485,0.27583068545633305,2.742051091040665,0.06799233238642932
0.6254406116437167,0.2212594265863299,0.028294536918401718,0.503188682263717,0.04211466675624251,0.19306450904905798,1.3311054638586939,0.0017669489512122738,28.309078910549232,-0.0871088111990828,-0.015080460076796842,0.00023585888401455798,-0.0003153222727782197,0.4471166215264242,0.35545886060269977,0.32557927558448657,0.3173702585329848,2.9687967137378,0.08449386821866556
0.6475993126165122,0.41898457050323484,0.17915642762556672,0.1398146396316588,0.0911846522707492,0.09706967286020518,1.599380037561059,0.0014127321375401413,39.86543305552025,-0.03765519598828387,-0.00827696974608997,-0.0035200961045389234,0.0005973696966964469,0.39674608249354665,0.3033090760028477,0.28615841334798947,0.2755782196364233,2.7499701582564473,0.07239197210097237
0.34934540316462515,0.23457933388650415,0.09797142071649433,0.3296458796784282,0.06542184719583019,0.1290429911762476,0.8545661982148886,0.001609269883095092,38.72190771288263,-0.07882070201611567,-0.008752324676422221,-0.0013756461193389772,-0.004133710877626327,0.49125983150168956,0.38174005328040406,0.35487705216171883,0.35025069824271055,2.8244081287977374,0.08432065405667566
0.22903611292131246,0.3026694470271468,0.29696618279442194,0.3106379303801805,0.029257094510830937,0.19709376233816148,1.4473954587243498,0.0013273398495425835,18.113270815707576,-0.03800031466784926,-0.00448833196897917,0.0017832777838120999,-0.0014931364533767248,0.48983332147790165,0.398013670611042,0.3785532225294837,0.3630040206416815,2.82783218334308,0.08309660731194712
0.6742022977210581,0.08381056640297174,0.06805350871756673,0.48196641883812846,0.14129326838301495,0.03379060553759337,0.29402314787730577,0.0022334611151954347,12.63823391782144,-0.14451831553732183,-0.026723387966303077,0.0019392767590030908,-0.004259763115743632,0.5396951423107371,0.38276648495150845,0.34838438282401557,0.3071820491165999,2.871180402243398,0.13144645372872354
0.8163563692010939,0.3427928306162357,0.14113061491400003,0.5243498021084816,0.12805736804148182,0.05840137252956629,1.2065404959022998,0.0015505541562181983,52.24290751619593,-0.0647483523982233,-0.002681755754830363,-0.0055328873423262604,0.0010240144291348383,0.41157692129827134,0.2970602352484915,0.26995106258541735,0.2502007552401582,2.7526882116353906,0.038372710686159106
0.1804059982765466,0.13377783007919788,0.20986319713294505,0.23680861963890493,0.03391180005855858,0.1248347786217928,0.5358058273792267,0.0014517206562268084,19.891036464389533,-0.05964520798253838,-0.0024452808799121143,0.004291065253484423,0.0022590939118988487,0.47916196763491375,0.38339748951231006,0.3538832620292656,0.33600800150228366,2.7658346237545817,0.10145730848287482
0.38828243911266325,0.3802675012871623,0.03503778472542762,0.40138096215203406,0.06105874452041461,0.15307332432270052,1.8411790850572287,0.0014562664668512201,21.976492788069734,-0.04889956975982318,-0.007934392159074728,0.0008297570999682551,-0.0008477208608005656,0.4554265120367897,0.3661811803134077,0.33765335824778697,0.3332022135322525,2.9227433889354515,0.040428185408438955
0.5147720641922205,0.1832057987526059,0.25618918415158987,0.09539440114051104,0.10411209950689225,0.02268750970810652,0.6136948744766414,0.0019353049796986968,13.04244545454144,-0.11989203420718637,-0.014826843055569533,0.0049004067626226555,-5.085826442624957e-05,0.4704117727192356,0.3436038320755425,0.33363455450066243,0.31527501390003865,3.2379289556365802,0.1641377399016144
