t,log_price_med,log_price_p25,log_price_p75,log_fund_med,mispricing_med,mispricing_p25,mispricing_p75,log_ret_std
295,4.701269425648108,-15.64615351519533,23.933877122859617,1.8035178818195843,2.8618077746912163,-17.447065608480266,22.080606971034378,39.170753585554024
296,-0.5084893253029112,-23.025850929940457,14.383914634835513,1.805277996397247,-2.3472435939201253,-24.792881571490796,12.64106549024278,42.14721522524987
297,3.073992990350206,-17.480376300453678,23.48743886591604,1.8066703982700751,1.276888411053298,-19.22648790190135,21.70056671492046,41.93393483004731
298,0.15904595266971078,-23.025850929940457,12.59733378037852,1.8048428648058978,-1.6143248084449224,-24.78575196811922,10.791115203471161,40.51928778993962
299,3.196735906590069,-14.242807660461953,20.161643004101492,1.8057639446141427,1.3978448904310865,-16.051385590320663,18.315665806084976,38.729307556735954
300,0.7527867556435086,-23.025850929940457,11.245917071554784,1.8059638561608087,-1.0548223612316123,-24.78809062277361,9.519844952887441,38.404592226839256
301,3.8001248294720202,-12.100826600511418,28.43874350287756,1.8048891562587426,1.997275968268607,-13.826463138715713,26.595996907568683,41.589462366919165
302,-1.1808497110815361,-23.025850929940457,12.78996372865302,1.8062339552141793,-2.9788298473688886,-24.823281166416876,10.963086798698946,42.12463767737351
303,1.2987076706227185,-14.50170345003395,18.85243163777656,1.8056327357809387,-0.5469915455711956,-16.326027280266903,17.10666048487164,39.79661811865316
304,3.14848280009108,-23.025850929940457,14.33149310809163,1.8060580504378696,1.3446437426307964,-24.74890162224923,12.562365701340212,39.39132491502573
305,0.5462900423906432,-17.31092669319789,18.65425529370068,1.806242818818102,-1.2587956133268223,-19.080281204692717,16.82682580961793,39.64386281953614
306,3.713197615577468,-23.025850929940457,19.57065816719423,1.8066022231386163,1.8998410012349063,-24.767595209667693,17.75720481781685,40.90018376261565
307,-0.436854615405105,-22.945301886594734,15.566973467240128,1.8070647179364834,-2.2219033053282224,-24.659662637099306,13.763839787975213,41.842055458633084
308,5.599939561017349,-19.384765928414755,22.838537355211315,1.8065946267196895,3.8117396611231436,-21.18971513770942,21.033287956646948,42.57823363703206
309,-2.184476070742408,-23.025850929940457,17.699962834663715,1.8080367197129439,-3.9730338010276545,-24.801854005877914,15.86844204335655,40.83271802324182
310,4.685029573062289,-22.15144420238707,19.122431789457288,1.810008014743227,2.848441634734997,-23.878168825165805,17.33918151528951,39.91457317798678
311,-0.5383170112765794,-22.82087031448161,18.206529865981413,1.8104168429691012,-2.375709685657066,-24.59157042059174,16.38544606947328,41.9137756897716
312,6.321591388312067,-23.025850929940457,20.78967849454002,1.8093534722152174,4.473099359907611,-24.784478731300997,18.98305502110899,42.04767467500836
313,-3.2442194787775493,-23.025850929940457,13.245011986544759,1.8090659056434206,-5.104151724484054,-24.807758909693447,11.485692006722726,40.88899270341507
314,5.302735332511269,-15.475326879700074,21.130017374519134,1.8093523124169475,3.505362779089262,-17.23410451545979,19.38450239755708,41.34177108078198
315,-1.6990247740254385,-23.025850929940457,16.53792850214821,1.8105480825954008,-3.496999185047752,-24.812257928337168,14.805983765097707,40.688286592192355
316,5.511413778437424,-21.25339087010636,16.560287389064438,1.8125002789007636,3.6945256233495964,-22.984853864607228,14.733959336013536,39.07518797001298
317,-1.9361303150641875,-21.015533703895315,13.317519338865617,1.8135245172862873,-3.7584827692627307,-22.842102220765778,11.530169259613487,40.502205096460614
318,6.440927272177784,-15.504065783367286,21.728801499949327,1.813314721826862,4.6213984201844145,-17.292409329323235,19.887880339010163,40.2385931136022
319,-3.9381781926333934,-23.025850929940457,8.63484954652432,1.8137307034419927,-5.75853604160401,-24.820697389818523,6.762666369922499,38.460925414189056
320,5.635160144108584,-7.159742907504558,23.245010589153715,1.8136802465297315,3.835469691887237,-9.033091399699014,21.43144755870945,37.416678200383984
321,-2.2075490736825074,-23.025850929940457,9.438176421875598,1.8149065351059934,-4.004895327596225,-24.822288152723957,7.627706642831522,37.31296937093459
322,3.336302144225595,-8.816909658640608,26.471799134548398,1.8137746403574102,1.560936461778931,-10.628712452257073,24.635247332867255,38.70397221469236
323,0.8971178792332288,-23.025850929940457,14.07630459382553,1.816204377379914,-0.9099351624159506,-24.79767325960589,12.232726538051764,40.77063496898339
324,0.686320328922859,-16.730546143544668,20.067272045349036,1.8156661693699763,-1.102704157692704,-18.572585503351068,18.29392163541603,39.85997763487719
325,4.844976775023434,-23.025850929940457,19.858331661461335,1.8174345349444487,3.0179861502825918,-24.83189606593944,18.052266908015262,40.52428951922426
326,-1.3333340496576915,-23.025850929940457,25.206630164884853,1.8194181370830371,-3.1601297712830876,-24.79873006556339,23.441047333257643,44.11568693981875
327,5.527718025311063,-23.025850929940457,18.798845779180567,1.819010932383546,3.7204941106940055,-24.841605981514093,16.94954504130809,45.56673626978065
328,-2.3911935826796196,-23.025850929940457,15.357645323196333,1.8191670238258222,-4.200013306298594,-24.73866161407361,13.52422264888473,42.823989570289896
329,4.927295687627833,-18.917306284663162,19.93968760655778,1.819907771355438,3.1249758895527275,-20.7513904952988,18.165150713126277,41.88456076168792
330,-1.0157861266980936,-23.025850929940457,18.68330539979469,1.819941335481873,-2.817193257523563,-24.799235805913252,16.854584669198008,41.90889621267293
331,2.568558546672687,-22.039427197845452,17.054385326218878,1.8212719700682296,0.7243033860288964,-23.798055728808716,15.238909341025321,41.80818220748823
332,3.149460486256418,-21.91976609456342,23.068020931801577,1.8228239600329292,1.3051344512118193,-23.738329655063104,21.266912870939887,43.469082311542415
333,-0.16057737337672506,-23.025850929940457,18.17895506642108,1.823002549753204,-1.9104275800669706,-24.829923511007614,16.382839098551194,43.31111381572849
334,6.444206296920717,-23.025850929940457,18.087418370255296,1.8245419412365624,4.584390906180804,-24.77120448498129,16.28001481062715,43.10128759309057
335,-3.649400115112974,-23.025850929940457,15.950369600363615,1.8252556559458282,-5.506170953357686,-24.804863224615243,14.142596572843335,40.89347828973434
336,7.359087067442245,-20.030088794859946,17.58957465712546,1.8264632806555086,5.52809881633603,-21.837319881913544,15.792218791214474,40.669124031088394
337,-5.168987632866108,-22.88381481847522,16.76067517109075,1.8270210922028394,-7.0004101356212285,-24.68139656354589,14.949621642448179,41.53275204534289
338,5.82076432598515,-21.406938413922596,22.34680218012495,1.8291346291511432,4.039776290412018,-23.22100715453665,20.507083549460166,41.45367740099882
339,-2.5614392346308343,-23.025850929940457,11.05785020808902,1.8284309660731926,-4.341644788104555,-24.82976304577909,9.214284782678135,40.96407578838668
340,8.686434452101874,-11.474159505284483,21.15753259603744,1.8302558941223634,6.865603339938075,-13.317829677860963,19.346285436315004,39.705823954850395
341,-7.4673012420995155,-23.025850929940457,11.424733397679496,1.8287052934710921,-9.288650067768184,-24.83536061890277,9.565671557587514,39.985742834229626
342,10.204797544448308,-12.026565792558301,22.24078795398041,1.8289830172540529,8.326997924514384,-13.889308121973018,20.408838403875258,40.76556346050802
343,-9.907902006698652,-23.025850929940457,20.455686313627854,1.8320786407100318,-11.78673032404696,-24.833498836623363,18.603975074059804,41.5090308455273
344,8.195945045562095,-23.025850929940457,30.339641772996345,1.8320119374097716,6.381399227349392,-24.78284721364883,28.489163895043518,44.192348386965314
345,-6.584173138245129,-23.025850929940457,20.69645788447574,1.8334049727039734,-8.399864494501706,-24.858579393149412,18.846962871881257,46.181880546554495
346,5.251240762112701,-23.025850929940457,17.39431563816973,1.8353106391300624,3.4551313806040103,-24.784664457099574,15.567832101318604,42.56747703184533
347,-1.523554378786263,-22.434211900535367,17.343822441557737,1.8379244349348098,-3.3197370017165557,-24.248436595068128,15.520828304124613,40.60740900334508
348,4.522777085922077,-22.370731487622763,31.00296238199956,1.8380969498137127,2.699079188378077,-24.161861212129267,29.253895519280775,43.13638445230671
349,-0.3615441749444624,-23.025850929940457,16.76313731132074,1.8384552269330103,-2.1814819911592687,-24.839046877154566,14.919709812379148,45.52148930609594
350,5.044127900251107,-21.337343877030776,15.790951283310573,1.838054832159498,3.1885995724386578,-23.184313975973524,13.947910642365757,41.758622051373266
351,-1.2649413170331716,-19.660010358293015,14.990253759761664,1.8361558563416938,-3.086040898028773,-21.502499134568755,13.12097108308183,38.31568017268024
352,7.842788427073307,-18.19844389555806,19.572105288795257,1.8369884390510247,6.07064981113345,-20.067448119479835,17.72798830700734,39.990704196949864
353,-6.106648521707925,-23.025850929940457,14.969947474757648,1.8386046052629035,-7.878012362809711,-24.772672533368087,13.101015694833475,42.37768996610293
354,8.716219215983738,-18.194734509394664,20.799991063926846,1.8390618390469897,6.876254021359141,-20.03542238265557,18.967907501647115,42.419163199228024
355,-7.408761633343927,-23.025850929940457,10.35385390593897,1.8390302987148472,-9.24987601992642,-24.84002131760452,8.566973560274688,40.60685786040702
356,5.718797856333074,-10.380377845369715,23.780486908954735,1.8385789450570587,3.8512783375571447,-12.169743836323883,21.99203802106697,40.05449451938003
357,-2.1747099813387645,-23.025850929940457,12.905735771219781,1.842241783343663,-4.041805234252247,-24.84108821982641,11.059973364875772,40.31071265276955
358,4.983915442645285,-14.634403376946032,21.99781843606961,1.8418065119092322,3.147524364026951,-16.479225213056978,20.22919507606379,39.73257993619294
359,-1.076596518402333,-23.025850929940457,13.507918578599217,1.8450191037320898,-2.910468859464985,-24.83767637925603,11.708587434759428,40.25670008637678
360,6.024501946621807,-15.81568284758442,20.22010483396357,1.8456297734529978,4.147398091670921,-17.61601496280727,18.344118157346628,39.96033713823781
361,-2.7871730432764528,-23.025850929940457,13.227088943974891,1.8452791486681583,-4.661137538328468,-24.79458560560571,11.39783310229571,40.19895693096348
362,6.999370242085199,-15.239547413502926,23.220826650078557,1.8453314331061699,5.168395130740251,-17.06882595454692,21.342764770111746,40.7259847430002
363,-4.4583075346930485,-23.025850929940457,11.907841057043365,1.8478180403667301,-6.2891108063322,-24.853804628263525,10.069704100326073,40.11932789249021
364,7.823495025194882,-12.960403713110592,20.534736456634814,1.8487443406850117,5.9233979694656735,-14.800834112263281,18.7630015655051,39.42168897609916
365,-5.711804053200655,-23.025850929940457,15.280737227765675,1.8519422090583624,-7.61308149676227,-24.846605234133584,13.45551287850495,40.306581526014675
366,6.428579820791491,-18.82187441373004,22.44737909204984,1.8524848250914916,4.558514915315659,-20.648196770225837,20.598503026860758,41.5897376689053
367,-3.5639012844464313,-23.025850929940457,13.977515216350367,1.8514473354539747,-5.433065545430724,-24.853298200633677,12.20162359828633,42.83228863282726
368,6.322593762868303,-16.69422050458897,23.33725322253165,1.8514402801656729,4.503379287137625,-18.472822824951407,21.463523491350344,42.52308510933273
369,-3.3576285312625735,-23.025850929940457,16.09623110786115,1.8528482158289883,-5.179424706589773,-24.815656055370315,14.219006196822653,42.75221016813505
370,2.3945586616704735,-20.09515066196328,14.68577609895275,1.8525010337864205,0.5589529540483422,-21.972633671313666,12.823115373434732,39.377222733538495
371,1.7899221501481626,-17.680056206477424,14.590472723495616,1.855494570631926,-0.06252260949113331,-19.544934342374738,12.734690931752683,37.42854222155244
372,3.33096789301956,-17.535069683206515,26.32766564113515,1.855639660966718,1.494707132980682,-19.391414101086546,24.48435509247227,40.90172643107034
373,1.4890470134280707,-23.025850929940457,15.61191887382683,1.8569177470068783,-0.34933174044922033,-24.85226530025369,13.740931633430037,44.22988111555128
374,1.822826391207478,-19.279038269259626,18.26110642667347,1.8570529984777608,0.031888365155100074,-21.15115206939031,16.434195636692728,42.773685063236904
375,1.0990226146838498,-22.939253903738575,13.603909006217755,1.8577494815434663,-0.6977377036986773,-24.732558961637054,11.737296985368056,40.27755509249316
376,2.217622279352881,-15.802138662292247,19.792762763496796,1.8589742730689531,0.3597682665709161,-17.668381924691857,17.909949134820152,40.57192335041891
377,3.7605655880885998,-23.025850929940457,16.23667463447271,1.8596494259155656,1.9013746528313604,-24.845245411169962,14.423030676702679,41.67579758531631
378,0.33049729743311124,-20.516269009507983,17.156702477794212,1.8581641774817739,-1.5162737297951414,-22.329077375406722,15.335715957992878,41.58811104708599
379,3.6380278306456217,-21.799255240148412,21.95217917080359,1.8613050266768103,1.7858969336902089,-23.59902210841974,20.076592599427226,40.87757889408267
380,1.172685348291006,-23.025850929940457,10.063267878927352,1.861126823522868,-0.6822387329779603,-24.82373685549302,8.22280845683925,38.939598501780026
381,3.039942922252027,-9.737995819653378,21.041249922346314,1.8614158205454614,1.1772456391011472,-11.57857769914746,19.14268124854169,38.576378190399026
382,0.19520081966639152,-23.025850929940457,15.21103899094037,1.8613798671800528,-1.6590736021529247,-24.84796127957624,13.346573968525508,38.28594686404623
383,6.288632697716797,-18.589188864732343,21.07785988392204,1.862491805997778,4.434719076354952,-20.455455346571075,19.21774063205953,39.81514121834823
384,-3.4116029859057795,-23.025850929940457,25.739254174087314,1.8622443606158998,-5.2654760140010035,-24.855059474230202,23.856365110960127,44.23596806911481
