ft_sigma_c,zi_alpha,zi_delta,p_zi,D,dKS,dV,dACF1,dACF2,dHill,ret_std,ret_kurtosis,acf_r_1,acf_r_5,acf_r_10,acf_r_20,acf_absr_1,acf_absr_5,acf_absr_10,acf_absr_20,hill_tail_index,ks_stat
0.5,0.13999999999999999,0.5,0.8,49.90221703215949,30.816145374725785,1.6892994759884399,4.403139279434359,6.275117505085446,6.718515396925464,0.002088687380693156,165.99760743348415,-0.10037367889687931,-0.001962620799488828,0.0039008987442944454,-0.005809790175030859,0.3772818805445431,0.08966724362533651,0.03266115845198638,0.026013353610435174,1.918901945899331,0.2748189675309507
0.5,0.26,0.05,0.15,7.9199749815311336,2.661870610885262,0.5120997944957577,0.8254009837615189,1.9500041217032726,1.9705994706853218,0.0019032590257976529,18.43296174670127,-0.01412324822970712,-0.008555869584273674,-0.0059708558819950115,-0.0037692195268457557,0.2676535810665312,0.17523872196395943,0.13202892412256262,0.13838412909994466,2.809060558193165,0.02373861247372111
0.5,0.26,0.05,0.3125,13.548482050903884,6.829842674423926,0.9956815990365653,1.6981745008752727,2.5825491160506617,1.4422341605174605,0.0019794311314167267,31.422816918923665,-0.032050840333571536,-0.006534584311256233,-0.00847660444091287,-0.0021770438402271036,0.2689833851038493,0.1706407145921421,0.11723920807268973,0.10256682985219949,2.9081206381503257,0.060908666199486095
0.5,0.26,0.05,0.475,19.99475792000301,13.103082638084636,0.686103752799363,2.04345818029511,2.4684095826305557,1.693703766193345,0.001930667517526627,42.894002841643,-0.037315424877660895,-0.019703228829673205,-0.0032694578189883194,-0.004082012259835337,0.25823666965377895,0.176526869765519,0.11830882107261821,0.09662567140409352,2.8609740924447897,0.11685353889278205
0.5,0.26,0.05,0.6375000000000001,25.25267756865944,17.922607286575534,0.4796448413931061,1.8422176486579258,2.924228261131117,2.083979530901756,0.0018981468356937578,59.388807456932525,-0.03121742229891315,-0.01492035005429669,-0.007693321036909006,-0.0039205040831145664,0.2449782128100053,0.16535738657214172,0.1020318398326776,0.0868316495445887,2.787803602798006,0.15983415089932257
0.5,0.26,0.05,0.8,29.445692771170485,20.902068855955104,0.5222928888316484,2.140328768296769,3.294113495223593,2.5868887628633725,0.001904864606179396,70.53120926584859,-0.037790399743788124,-0.013580229562941042,-0.005962232692958405,0.0008281848658427829,0.3065804190364844,0.16864300702229074,0.10700509555246558,0.09104806031578346,2.693516132045082,0.18640504555010512
0.5,0.26,0.1625,0.15,8.556192343495002,2.674967145256161,0.4092173491516662,0.7840237515064693,3.4451405390671415,1.2428435585135647,0.001887053344732915,50.98473917503561,-0.015383587487793136,-0.00825319402882912,-0.004219056937949479,-0.0038685770921423764,0.19938646296037732,0.13105655118906193,0.1106550246965123,0.1051721279786811,2.9455032001715478,0.023855407615043234
0.5,0.26,0.1625,0.3125,15.965582327734767,9.622678629018175,0.12095181157082528,1.3284970688352091,3.3083224569097407,1.585132361400816,0.0018416467707701141,104.79047941561736,-0.03278563811200771,0.00039881128363863385,-0.0031686103194763526,-0.007062843394895408,0.29405266734345686,0.1534006937684154,0.10949631290936672,0.08543805323092181,2.8813295015392897,0.08581523008642838
0.5,0.26,0.1625,0.475,24.06923515580027,16.865062136125427,0.8107089956861033,1.4933122207615723,2.9579942435662385,1.942157559660928,0.0016948948360505816,53.49366585946812,-0.034960516700126974,-0.007359622259098625,-0.002792273202368733,-0.005132052602381161,0.28265058072084887,0.16093664944538197,0.1300901056191571,0.08225236965290071,2.8143929634930434,0.15040294323756132
0.5,0.26,0.1625,0.6375000000000001,30.5369191860231,22.175706823525047,0.9041899918090814,2.0395435570706724,2.426380048870619,2.9910987647476803,0.0016801700382124635,116.3069093374755,-0.03891865722077189,-0.0067010946476977334,-0.009372031934085786,-0.0022465592467159953,0.2755217246912403,0.1837274042874276,0.14394785272136043,0.09322695016376285,2.6177331948696216,0.19776337304368136
