t,log_price,v_smoothed,v_stderr
47,5.232498025510743,5.223582263004115,0.008195030195499494
48,5.221382325073914,5.224086072122912,0.008177749872151219
49,5.218245491782478,5.2246590187776185,0.008161300310780346
50,5.227572962022279,5.225250632630469,0.00814564312205395
51,5.234791665668158,5.2257805514108036,0.008130741558463673
52,5.229395921081615,5.226262235798297,0.008116560456282774
53,5.235164551542768,5.226777665405879,0.008103066178513127
54,5.226875069093671,5.227254028459914,0.008090226558907843
55,5.222569589109762,5.227783012145971,0.00807801084714392
56,5.227572962022279,5.228339619394784,0.008066389655208506
57,5.220139585484013,5.2288639431937165,0.00805533490505231
58,5.218299658562006,5.229437797467624,0.008044819777554175
59,5.22294705952326,5.2300260706220865,0.00803481866283205
60,5.231215563007301,5.230587431822328,0.008025307111927386
61,5.237770866680003,5.2310983250591905,0.008016261789882522
62,5.2411118927772575,5.231569135996033,0.00800766043022366
63,5.239787424357633,5.2320196825949825,0.007999481790855812
64,5.227841252743712,5.232479411718431,0.007991705611370383
65,5.216619122563531,5.233017627450402,0.007984312571760908
66,5.220950242971594,5.233631161263868,0.007977284252537919
67,5.2317501222759235,5.234220351986243,0.0079706030962298
68,5.210305489224823,5.234743486368653,0.007964252370252887
69,5.201145454795763,5.235411755207164,0.00795821613113093
70,5.209212891465215,5.236148093436931,0.007952479190041271
71,5.2161849770094175,5.236842693599196,0.007947027079662796
72,5.226445354310242,5.237503798736188,0.007941846022298624
73,5.227841252743712,5.238110005553853,0.007936922899244952
74,5.231375960794155,5.238718508968795,0.007932245221376038
75,5.2356970045663696,5.239314772994461,0.007927801100914218
76,5.23356548931834,5.239892777026867,0.007923579224353073
77,5.235484057376468,5.2404937801626055,0.007919568826501204
78,5.227411953032262,5.241090867799688,0.007915759665613682
79,5.230573714461517,5.241749119104218,0.007912141999578034
80,5.23500476033627,5.242395727271013,0.007908706563121566
81,5.238514282177283,5.243022280833702,0.007905444546006906
82,5.238142643511966,5.2436342822241455,0.007902347572182864
83,5.236814233953987,5.244256520259839,0.00789940767985809
84,5.23877965383184,5.2448950221253385,0.007896617302465343
85,5.230145586444703,5.2455281876063955,0.007893969250484812
86,5.23590990641942,5.246225427291046,0.007891456694095458
87,5.234791665668158,5.246893500312728,0.007889073146623994
88,5.236548340150405,5.24757743643651,0.007886812448761877
89,5.245865506545613,5.248258755001335,0.007884668753521373
90,5.2467608796336345,5.248887798098857,0.00788263651190261
91,5.242011530336942,5.249518567603842,0.0078807104592443
92,5.233192006587575,5.250187510712018,0.007878885602231654
93,5.236867404231814,5.250921786394255,0.007877157206535909
94,5.240370406593187,5.251640877630002,0.007875520785060694
95,5.23393883261183,5.252346213750044,0.007873972086771368
96,5.242381734217734,5.253103070816445,0.007872507086084357
97,5.2448902181651755,5.253814993716019,0.00787112197279432
98,5.248969546917698,5.254520381289502,0.007869813142517931
99,5.2550966640934735,5.255208534761882,0.007868577187633877
100,5.254104211871711,5.25586520450573,0.007867410888699524
101,5.259472582724469,5.2565358193464,0.007866311206325595
102,5.260875071072166,5.257178005535289,0.007865275273490978
103,5.262171919911683,5.257816476244525,0.007864300388280655
104,5.261705248051305,5.25845093863643,0.007863384007030532
105,5.263570630218202,5.259092098865039,0.007862523737863714
106,5.270175060601757,5.259724108646246,0.007861717334603618
107,5.2749463802247964,5.260315095287576,0.007860962691049994
108,5.275969502884129,5.260875558422413,0.00786025783560476
109,5.276071757600717,5.261428482994095,0.007859600926235197
110,5.272691818909064,5.261978707272596,0.007858990245762854
111,5.26543253921226,5.2625482197291085,0.007858424197467148
112,5.26857954828408,5.2631624254359055,0.007857901300993361
113,5.269403356383394,5.263753920262432,0.007857420188555429
114,5.27207605534281,5.2643379244021,0.007856979601424506
115,5.279389356662517,5.264902339585933,0.007856578386695021
116,5.280611539429104,5.265416345035031,0.0078562154943205
117,5.27785952464564,5.265918694400558,0.00785588997441209
118,5.277553277195309,5.266434717582092,0.007855600974793342
119,5.271459912378154,5.266948263197048,0.007855347738805335
120,5.275867237710445,5.267497275317159,0.007855129603356905
121,5.275253426949485,5.268013697489808,0.007854945997215278
122,5.27709373009641,5.268530308828625,0.007854796439532947
123,5.276633971716878,5.2690311942866295,0.00785468053860728
124,5.283508250894329,5.269531363855654,0.007854597990869794
125,5.284421261355925,5.2699827323025366,0.007854548580102719
126,5.289478417880832,5.2704234535355505,0.007854532176880882
127,5.2859410954799815,5.270825699759432,0.007854548738237606
128,5.279491262297988,5.271244732617414,0.007854598307553787
129,5.2838634095778865,5.271699616099983,0.007854681014669882
130,5.279822383911792,5.272120057478734,0.007854797076221094
131,5.281120341719515,5.272561013463213,0.007854946796196546
132,5.286194176745726,5.272988071252808,0.00785513056672383
133,5.284370560415412,5.273376557369462,0.007855348869080795
134,5.28811550406344,5.27377120223862,0.007855602274937076
135,5.276685066420923,5.274135520875164,0.00785589144782832
136,5.2868518884387585,5.274568704074567,0.007856217144866708
137,5.2847254130285695,5.274930463000814,0.007856580218691896
138,5.289226166536256,5.275300684106587,0.007856981619667055
139,5.291544482260608,5.27563600183445,0.007857422398325325
140,5.291544482260608,5.275950076149686,0.00785790370807253
141,5.286801310586789,5.276257475745111,0.007858426808152621
142,5.287205861793318,5.2765889983588625,0.007858993066882949
143,5.282949889416915,5.276911315810582,0.00785960396516703
144,5.283152966028264,5.277255191930778,0.007860261100293166
145,5.262949222710246,5.277592193773821,0.007860966190027885
146,5.260044204326544,5.2780570105658615,0.007861721077013807
147,5.267239410977175,5.278539846471889,0.007862527733482292
148,5.257391199935391,5.278976926621976,0.007863388266291823
149,5.257755754791914,5.279481169104387,0.007864304922303828
150,5.252325782697044,5.2799883016027715,0.00786528009410836
151,5.263932939686206,5.2805382438644175,0.007866316326112765
152,5.266775098538158,5.281021490888199,0.007867416321007242
153,5.265484209452796,5.281495519742197,0.007868582946621929
154,5.27253791356055,5.281987635359886,0.007869819243190967
155,5.276787247997674,5.282443517795965,0.007871128431039754
156,5.276736158514432,5.282880829532861,0.007872513918712432
157,5.285029472221101,5.28332694203305,0.00787397931155745
158,5.29023479035468,5.2837265387471115,0.00787552842078991
159,5.292852461116969,5.284098168115918,0.007877165273050206
160,5.295764109760319,5.284457021510918,0.00787889412047938
161,5.294108521773982,5.284799544726835,0.007880719451332438
162,5.299167005502614,5.285154114646936,0.007882646001151726
163,5.300015923183619,5.285475695766298,0.007884678764523438
164,5.299666456117333,5.285790296700332,0.00788682300744105
165,5.29901712166231,5.286104593043727,0.007889084280300492
