t,log_price_med,log_price_p25,log_price_p75,log_fund_med,mispricing_med,mispricing_p25,mispricing_p75,log_ret_med,log_ret_std
32,1.6621870366639582,1.6417496209158413,1.671068138801505,1.6636220140404219,-0.0013464509731104801,-0.017479512891772075,0.008780124642869147,-0.0004647517030017534,0.007575787919113041
33,1.661107004787322,1.644595904037898,1.6710530915888753,1.6639289035837073,-0.005734766244792411,-0.016972413323109947,0.009817213504918987,0.0012314107613374814,0.006827024999056339
34,1.6612999250554221,1.6477440504641012,1.672550705001625,1.6655781535467722,-0.0016102990596906785,-0.016343399616561394,0.006570021681837457,0.0007116704207482671,0.0073156996856745815
35,1.6617836695203179,1.6476090402686547,1.6751330771605004,1.6642537295590105,-0.0022867682692631064,-0.011701610225180514,0.0041712384416804915,0.0011016097784284362,0.00652106172457646
36,1.6628738636394118,1.6497596807239583,1.6715201069013634,1.6658056214760677,-0.0031666525316862426,-0.014356702525262555,0.004079537851407189,-2.6793779717482202e-05,0.006775638810024944
37,1.6663215526782817,1.6545404220056197,1.6779627911330453,1.6671397651503264,-0.0015699371571314957,-0.013726539414425087,0.008356371991842582,0.0031329617147812794,0.006416746426069733
38,1.665465662401925,1.6528265768238535,1.6761971911708895,1.6674863707832541,-0.005533128822547639,-0.015283711411952339,0.00785792341607705,-0.0022820149603975937,0.007431436558277194
39,1.6648355433404363,1.6536239906628327,1.6746910815523812,1.668575631667756,-0.003919818997120128,-0.014061615575427178,0.004463917134942985,0.0010700787822069957,0.00659826343091011
40,1.6654063009226039,1.6520723332173084,1.6746481197781067,1.669225934180906,-0.005523501243626883,-0.015389681966959778,0.002428007066988924,-0.00039676313249015216,0.007132923434809949
41,1.6654180230622613,1.6531257457604136,1.6732107134238512,1.6687451089154441,-0.006513393945873136,-0.0169684917158216,0.003819628249646323,-0.0007680974629670212,0.006450753225218988
42,1.6674293122809503,1.6566226120028917,1.674793046090307,1.6689848268200804,-0.005759843714145618,-0.015798585156584555,0.0051586479340488545,0.0017899024733273317,0.007915352140298506
43,1.6660285517044857,1.659986323073305,1.6745045544649462,1.6689267096180178,-0.0033742602804394117,-0.014373116948387443,0.0034422557348813276,-4.669363694276285e-05,0.0059211129782402805
44,1.6704855445399756,1.6551086417933547,1.6777317750341094,1.6705002800283348,-0.003129584405589414,-0.017913565323926572,0.00679051036892675,0.0024066793942247866,0.006407346776466351
45,1.6754582444856223,1.6498250343357534,1.6832394143723255,1.671309562395341,-0.0019118263677095904,-0.017085287902007362,0.014062595592386984,0.001787208127793427,0.0077309005641927366
46,1.6734107491420196,1.6563065926574307,1.6870796491203324,1.672907229872531,-0.0015898967165545175,-0.017584790969855657,0.01406264421455622,0.0008743539358487817,0.007653751707780694
47,1.6756210884540845,1.6534308113058023,1.6892530988124554,1.6727134979826919,0.002865372421963719,-0.013510804991163416,0.014139413566172043,0.0012776339330419217,0.007936755134262506
48,1.673404563908187,1.6546941264436485,1.6934140355350331,1.6734168340538491,0.0030377084359001216,-0.0154885434544339,0.011188553748645913,-0.00028769999183964057,0.006498589312081366
49,1.6702116918344918,1.654582131073818,1.6930531177284232,1.6742617005743057,-0.0013738885916039223,-0.014916565768285373,0.006395911278097188,-0.0017811299323591268,0.00697842354764584
50,1.674113947230261,1.6576960491730859,1.6923132517188821,1.674718942792212,-0.0006898880159589282,-0.013077863147515911,0.008486907876285699,-0.0006372666114183856,0.006450262217095296
51,1.67458629940472,1.6580368588562502,1.6908572846814998,1.6754001425019012,0.00183080974272809,-0.012511068202527731,0.009440245896111699,0.0017063331905415868,0.007198429590707802
52,1.6731369122907143,1.659891354159841,1.6849473807714692,1.6759883790963628,-0.0009037845123915922,-0.008493019787932876,0.00821436622889865,0.0004855108505682493,0.0075728540143683845
53,1.6743490367063791,1.6598333964213579,1.6863650099071466,1.677153659232018,-0.0010363946511949829,-0.010766139510436146,0.008364314427891983,-0.0005206142280282933,0.007530237065029777
54,1.6719049519405882,1.6582095807318589,1.6921425526357339,1.6776807907528344,-0.002387273278561919,-0.011184149651648989,0.00818070046973185,-0.000374613045100336,0.007234426517419149
55,1.6734242918896753,1.6588409271257836,1.6879373123916221,1.6777460143504115,-0.0018748034372439992,-0.017884686905984715,0.010774994283422656,0.0010375232098984721,0.007559177357162055
56,1.6739588368904148,1.6580721160787177,1.6881642778818566,1.6779627000171073,-0.004792002915810389,-0.017527262983449587,0.010753597105749857,-0.0015262162093570009,0.00794513984712953
57,1.6739022174845486,1.659568192103739,1.6899605372991937,1.6790593829976244,-0.003396745438560611,-0.014617655305847521,0.011421490405294332,-0.000271943356508042,0.007294292096427222
58,1.6776092983828228,1.6581688841956046,1.6938840124928514,1.6773148037733645,-0.00362492019692362,-0.014678525919199603,0.013505547043730304,0.002607753971950122,0.008683900936015723
59,1.6765798472878097,1.661224716219424,1.6899161225320212,1.6782086376229643,-0.0007149979845343379,-0.016655081714864906,0.015254147177008293,0.0008024288036531102,0.00684730768195026
60,1.6733189969541882,1.658112558022864,1.6922963598298864,1.6778383546352749,-0.0026584230635694484,-0.015886302358932236,0.011218530874849364,-0.0022479392606937765,0.007027758044555344
