t,mid_price,spread,bid_depth,ask_depth,volume,fundamental
843,3143.25,0.5,72,21,91,3143.457441663444
844,3141.625,2.25,23,107,38,3143.207454951747
845,3143.625,0.25,90,11,66,3143.957698018294
846,3145.5,1.0,121,10,51,3145.2080215763685
847,3142.875,0.75,73,87,46,3143.4575563521107
848,3143.625,0.75,108,56,56,3143.2074167262485
849,3142.125,0.25,64,219,21,3142.7072444798127
850,3141.625,0.25,66,117,58,3141.957039633566
851,3142.75,0.5,141,87,44,3142.70728269455
852,3144.125,0.25,118,51,84,3144.457801448956
853,3144.375,0.25,97,94,60,3144.457923766495
854,3146.0,,210,0,49,3146.7085153581256
855,3144.875,0.25,99,75,50,3145.2081286242314
856,3143.75,0.5,86,77,60,3144.2078682277006
857,3146.125,0.25,136,38,64,3146.4584980575423
858,3147.875,0.25,231,22,13,3147.208771736288
859,3146.625,0.25,92,120,53,3146.9587162019734
860,3146.75,0.5,130,56,67,3146.7086606593
861,3147.875,0.25,205,37,27,3147.458819620876
862,3146.125,0.25,74,76,66,3145.958394639737
863,3144.5,1.0,25,118,57,3145.208212712065
864,3147.625,0.75,51,39,80,3147.70892101488
865,3149.125,0.75,139,16,36,3148.4591717567755
866,3146.75,0.5,31,79,64,3147.2088634789397
867,3149.0,1.0,159,27,21,3147.959022457986
868,3146.875,0.25,36,121,28,3147.458865500821
869,3145.875,0.75,46,83,57,3146.208526634532
870,3148.625,1.75,194,37,18,3147.2087182010914
871,3145.125,1.25,42,68,81,3145.458191794939
872,3143.125,0.25,1,200,39,3143.45774733022
873,3149.125,0.75,90,38,74,3149.2092005402287
874,3144.25,2.5,28,91,65,3145.458466875783
875,3149.625,0.25,49,22,94,3150.45976122984
876,3149.875,0.25,128,14,70,3150.209774594348
877,3148.625,0.25,43,61,85,3147.9591677033154
878,3149.5,1.0,106,33,48,3149.209598227258
879,3152.25,,125,0,45,3153.9610281057708
880,3153.5,,194,0,10,3155.4617054438763
881,3153.5,,191,0,0,3158.9628117486923
882,3156.0,,167,0,45,3161.213686210889
883,3158.5,,170,0,9,3165.4650737827787
884,3160.25,,209,0,4,3169.216296885821
885,3161.25,,173,0,27,3170.216855381209
886,3162.25,,251,0,7,3175.4682510027765
887,3163.5,,235,0,16,3171.4671177140167
888,3163.75,,257,0,18,3166.2154774390533
889,3167.125,1.25,278,2,6,3165.215003105316
890,3163.5,0.5,88,100,55,3164.2147350608698
891,3167.125,0.75,234,39,21,3165.7150529801206
892,3163.5,0.5,60,108,65,3163.2143676144738
893,3162.625,0.75,40,89,83,3162.463948639065
894,3158.5,0.5,2,160,89,3158.2127368757174
895,3158.5,0.5,56,101,62,3158.712817436186
896,3161.75,0.5,162,87,42,3160.9635084156835
897,3161.875,0.25,100,106,61,3162.213816654408
898,3158.375,0.25,26,128,57,3158.462861214957
899,3161.875,0.25,192,69,19,3160.713269324828
900,3158.0,0.5,32,90,90,3156.962237463352
901,3156.125,0.25,41,108,62,3155.7118069171247
902,3157.875,0.75,86,59,47,3156.9620846085418
903,3156.125,0.25,26,97,65,3155.7116769017566
904,3152.25,,0,148,43,3152.710842219011
905,3153.375,0.25,33,80,85,3154.461208093994
906,3152.125,0.25,9,182,45,3153.2108998269564
907,3152.25,0.5,31,110,60,3152.960821351309
908,3153.625,0.25,87,91,62,3153.9609669655074
909,3147.75,1.5,6,171,34,3149.7097781445145
910,3149.0,0.5,68,47,71,3149.209628851658
911,3152.375,0.25,86,43,70,3153.210838545336
912,3155.25,0.5,71,35,81,3156.211696164547
913,3151.75,0.5,52,114,58,3152.4606681430646
914,3149.125,0.75,27,200,32,3150.5850719889618
915,3151.25,0.5,70,55,83,3152.2105896806
916,3155.25,0.5,97,13,83,3155.9619156838785
917,3156.75,,175,0,44,3162.964067195144
918,3159.0,,230,0,17,3164.7147926153107
919,3159.5,,201,0,14,3165.215048960888
920,3161.0,,170,0,20,3167.215630899977
921,3161.0,,191,0,0,3167.215722662316
922,3162.75,,203,0,19,3168.2160518489263
923,3165.0,,230,0,18,3169.716522705964
924,3168.25,,196,0,34,3170.2166184593625
925,3167.125,0.25,60,44,63,3167.2156843463395
926,3164.5,1.0,45,87,93,3163.9647482720525
927,3167.25,0.5,179,42,49,3166.4653572356083
928,3166.375,0.25,67,68,95,3166.465479584068
929,3168.625,0.25,196,8,25,3167.9660420890373
930,3171.5,,209,0,31,3172.4673017341333
931,3170.125,0.25,65,29,82,3170.466704463196
932,3166.125,0.25,30,69,79,3164.9651614747813
933,3168.875,3.25,120,47,35,3167.4656711391413
934,3166.75,0.5,44,91,58,3166.4655483637657
935,3170.75,0.5,199,33,22,3169.216388628126
936,3173.625,1.75,175,19,48,3172.2173456653486
937,3173.25,0.5,92,48,62,3172.967680526104
938,3173.625,0.25,104,55,54,3173.967986789338
939,3173.25,0.5,96,67,47,3173.967986788639
940,3173.375,0.75,98,57,71,3172.9676575821786
941,3172.25,0.5,61,78,85,3171.467156140044
942,3170.25,0.5,52,99,69,3169.966754083929
943,3172.875,0.25,178,56,24,3172.217513748624
944,3176.875,0.25,135,5,62,3177.719079671997
945,3176.125,0.25,58,50,79,3175.7187578018597
946,3178.0,,175,0,49,3178.219420257925
947,3179.0,0.5,184,1,44,3178.71965369223
948,3178.875,0.25,158,28,72,3179.219818290706
949,3179.125,0.25,185,35,42,3179.4698279286204
950,3178.125,0.25,114,56,95,3176.969119625334
951,3177.5,0.5,71,73,70,3176.719025875979
952,3178.625,0.75,136,49,44,3178.4695828292047
953,3180.625,0.25,165,4,56,3180.720334979227
954,3183.0,,201,0,23,3182.7208863212345
955,3181.375,0.25,81,7,96,3179.970137782187
956,3179.625,0.25,38,65,77,3178.969716862692
957,3177.625,0.25,26,91,87,3177.2191292857
958,3174.625,0.25,8,107,68,3175.218501491144
959,3174.75,0.5,62,62,77,3174.968377158983
960,3174.875,0.25,68,75,44,3175.218425049086
961,3174.625,0.25,67,80,46,3174.718252796921
962,3173.125,0.25,37,115,78,3173.467829819084
963,3172.125,0.25,11,78,93,3171.71721930186
964,3168.0,,0,181,15,3169.2165262780422
965,3172.5,2.0,82,53,46,3171.467133187876
966,3172.125,0.75,31,109,51,3172.9676040620643
967,3172.375,0.25,51,111,52,3172.217391571849
968,3170.125,0.25,21,171,40,3170.716920715627
969,3167.0,3.5,7,186,37,3169.9666164763985
970,3168.625,0.25,92,91,54,3168.4661379704617
971,3166.375,0.25,28,177,34,3167.465785846276
972,3166.25,0.5,33,159,38,3166.715542773524
973,3165.875,0.25,25,158,61,3166.7154357010954
974,3163.0,,0,243,31,3163.964633626891
975,3162.375,0.75,16,151,50,3163.2143905757207
976,3164.625,0.25,67,81,76,3164.964886389497
977,3165.75,0.5,61,103,55,3165.715236478583
978,3167.375,0.25,52,20,94,3168.466069133913
979,3169.125,0.25,130,14,56,3169.4664824575366
980,3170.75,0.5,124,16,55,3170.966991534343
981,3171.5,,254,0,19,3172.7175485243115
982,3174.5,0.5,213,6,19,3173.217797224473
983,3175.125,0.75,163,9,53,3174.9683312665616
984,3175.5,,182,0,49,3175.718620226606
985,3176.0,,206,0,43,3176.468886236469
986,3177.75,,225,0,36,3177.469200144195
987,3177.125,0.25,117,34,55,3177.7193168510903
988,3180.75,3.5,227,9,25,3178.2194355720994
989,3176.625,0.25,91,72,69,3177.2191675437784
990,3179.75,4.0,196,8,34,3177.2191828278205
991,3179.125,0.25,102,48,76,3178.719561923505
992,3176.75,0.5,77,111,53,3177.2190910317186
993,3174.375,0.75,24,61,84,3174.2180957625715
994,3171.5,,0,70,82,3170.967098550178
995,3171.25,,0,92,48,3171.467102635921
996,3169.75,,0,144,39,3170.216863107309
997,3171.25,3.5,21,31,91,3173.467562022668
998,3167.0,,0,138,48,3167.466076146148
999,3170.5,0.5,52,23,67,3171.216970580123
1000,3171.625,0.25,73,38,59,3171.7172728497026
1001,3173.125,0.75,69,28,66,3173.217766633304
1002,3175.0,1.0,131,16,33,3174.968338904111
1003,3175.875,0.25,114,19,40,3175.9685303881547
1004,3171.875,0.75,16,44,84,3171.217230485026
1005,3171.25,0.5,18,108,57,3171.717188754651
1006,3168.0,3.0,6,175,46,3170.4667963545826
1007,3167.875,0.75,42,97,64,3168.716201136163
1008,3166.125,0.25,5,158,51,3166.7155198046103
1009,3163.75,,0,167,40,3164.714922589517
1010,3165.625,0.25,95,67,52,3165.715091231167
1011,3162.875,0.25,13,233,33,3163.964603061501
1012,3162.625,0.25,22,159,53,3163.2142835343143
1013,3160.75,0.5,18,179,48,3161.4637800730434
1014,3161.75,0.5,48,118,41,3161.9638070419724
1015,3158.75,0.5,7,227,18,3159.96311031516
1016,3154.0,,0,239,20,3155.211726322
1017,3157.375,3.25,86,73,55,3155.9617095227068
1018,3152.25,,0,224,33,3153.21106030008
1019,3157.125,1.75,58,71,53,3156.7119984402448
1020,3157.375,0.25,66,106,47,3157.7123429719486
1021,3155.125,0.25,22,143,53,3156.2119371111844
1022,3155.375,0.25,27,94,57,3155.8368270389888
1023,3156.875,0.25,84,53,70,3157.2119984861693
1024,3150.5,,0,163,77,3150.4600516347755
1025,3146.75,,0,221,22,3147.9591141815804
1026,3146.875,0.25,24,133,61,3147.2087487736817
1027,3143.5,,0,233,41,3144.7080175286887
1028,3144.625,0.25,58,102,46,3144.707826349681
1029,3139.5,,0,220,21,3140.956672096413
1030,3136.25,,0,235,3,3137.955608075747
1031,3133.25,,0,205,19,3134.704687277309
1032,3138.5,2.5,84,57,60,3137.70550668511
1033,3139.875,0.25,112,38,55,3139.956213002879
1034,3138.625,0.25,57,138,45,3139.2059163210106
1035,3132.875,0.75,6,173,52,3134.2046295645973
1036,3139.0,2.0,30,21,68,3139.2058245479548
1037,3134.125,3.25,11,174,25,3136.955194725043
1038,3131.0,,0,174,34,3132.203757224551
1039,3131.25,,0,93,59,3131.453368990981
1040,3129.25,,0,165,53,3130.4531085980075
1041,3131.375,0.25,61,42,67,3131.9536786921
1042,3138.0,2.5,80,9,73,3137.705468289764
1043,3141.25,0.5,98,9,52,3141.4566532215435
1044,3137.875,0.75,23,148,15,3139.706203333495
1045,3136.875,0.75,20,101,57,3137.455626973705
1046,3139.875,0.25,49,23,74,3141.206658863106
1047,3141.375,0.25,62,39,67,3142.4570589317286
1048,3138.5,1.0,14,131,36,3140.206497914193
1049,3140.625,0.75,43,27,64,3141.456745046724
1050,3138.75,1.5,18,116,32,3140.206383246819
1051,3138.125,0.25,35,139,47,3138.7060422986547
1052,3141.375,0.25,78,18,107,3142.7072519772423
1053,3145.75,0.5,101,8,60,3146.708607009789
1054,3146.0,,202,0,10,3149.9596272780345
1055,3147.25,,215,0,18,3149.2095448112555
1056,3148.75,,209,0,4,3150.209843424225
1057,3149.5,,259,0,4,3151.4602816620104
1058,3151.0,,248,0,31,3153.2106626818545
1059,3147.5,1.5,78,56,86,3148.209345466056
1060,3150.75,1.0,217,4,36,3149.709564128492
1061,3147.625,0.25,69,78,88,3147.9590988989494
1062,3147.125,0.25,99,22,80,3147.4588119489754
