t,mid_price,spread,bid_depth,ask_depth,volume,fundamental
122,2453.125,0.25,85,92,57,2453.790774990722
123,2453.25,0.5,113,66,53,2453.7747677399148
124,2453.125,0.25,92,65,62,2453.740786467702
125,2453.25,0.5,101,80,63,2454.0882524416224
126,2453.25,0.5,96,76,74,2454.335270162197
127,2453.125,0.25,91,97,54,2454.2794495244707
128,2453.25,0.5,77,101,59,2453.6237834407384
129,2452.875,0.25,81,126,78,2453.334950290176
130,2452.875,0.25,114,112,54,2453.463792658656
131,2452.625,0.25,91,95,66,2453.4092737293317
132,2452.75,0.5,78,79,77,2453.4012171873733
133,2452.75,0.5,114,79,68,2453.492245861819
134,2452.875,0.25,120,62,52,2453.6476073065314
135,2453.375,0.25,113,20,62,2453.6114281428368
136,2453.75,0.5,205,20,47,2453.6143872783414
137,2453.875,0.25,129,17,49,2453.649402745548
138,2453.625,0.25,91,23,61,2453.7620086333404
139,2453.75,0.5,66,41,77,2453.657116745263
140,2453.75,0.5,38,50,77,2453.773141383531
141,2453.5,0.5,41,109,73,2454.0840875669905
142,2453.5,0.5,73,97,62,2454.094107395812
143,2453.5,0.5,57,101,68,2454.0411262700472
144,2453.375,0.25,58,94,83,2453.6214535280387
145,2453.125,0.25,55,99,76,2453.452874428794
146,2453.25,0.5,74,82,55,2453.332743347319
147,2452.875,0.25,38,82,77,2453.153938240685
148,2452.625,0.25,29,66,65,2453.172237678072
149,2452.5,1.0,22,157,55,2453.356589450162
150,2451.625,0.25,10,119,62,2453.2662103504613
151,2454.0,,60,0,97,2457.6472358916885
152,2454.25,,189,0,10,2457.6315114245986
153,2455.5,,169,0,51,2457.651086789769
154,2456.25,,201,0,36,2457.6616333192974
155,2456.75,,200,0,27,2457.636184299258
156,2456.75,0.5,82,18,58,2457.4553156594297
157,2456.75,0.5,107,36,59,2457.6044763656632
158,2456.75,0.5,74,42,71,2457.687942805332
159,2456.75,0.5,37,56,73,2457.553191905658
160,2456.75,0.5,82,72,58,2457.354843578926
161,2456.875,0.25,101,83,52,2457.375669705095
162,2456.75,0.5,98,50,77,2457.341272348201
163,2456.75,0.5,127,46,59,2457.411821431529
164,2456.75,0.5,92,58,70,2457.4354535809152
165,2456.75,0.5,112,84,57,2457.825982493582
166,2456.625,0.25,106,98,63,2457.818356562186
167,2456.875,0.25,83,98,59,2458.2157163934003
168,2456.75,0.5,98,101,58,2458.237055039296
169,2456.625,0.25,90,79,72,2458.094274896117
170,2456.75,0.5,100,41,61,2457.865349021557
171,2456.75,0.5,71,62,64,2457.707292975818
172,2456.75,0.5,114,53,63,2457.8023935727824
173,2456.625,0.25,113,52,58,2457.830001441806
174,2456.875,0.25,90,73,55,2457.611430672609
175,2456.75,0.5,67,15,70,2457.6631762699144
176,2457.125,0.25,106,4,68,2457.760769324654
177,2457.125,0.25,94,33,63,2457.4578156740567
178,2457.125,0.25,63,38,70,2457.64242234438
179,2457.125,0.25,61,57,71,2457.942373974854
180,2457.125,0.25,77,48,78,2457.589735805405
181,2457.25,0.5,85,56,71,2457.461323412753
182,2457.25,0.5,92,64,53,2457.211696681989
183,2457.125,0.25,91,76,67,2457.4825225286463
184,2456.875,0.25,98,42,66,2457.342332581651
185,2456.625,0.25,87,75,70,2457.175610354177
186,2456.75,0.5,115,41,51,2457.3757460457527
187,2456.625,0.25,84,74,64,2458.12716945436
188,2456.75,0.5,62,51,70,2458.105065735078
189,2456.75,0.5,85,25,82,2457.9553028141067
190,2456.75,0.5,66,59,71,2457.8368338937858
191,2456.75,0.5,75,60,70,2458.19028564488
192,2456.75,0.5,73,60,65,2457.498925569721
193,2456.75,0.5,63,56,70,2457.493651739993
194,2456.75,0.5,78,30,87,2456.946233477008
195,2456.75,0.5,45,63,83,2456.325196107829
196,2456.625,0.75,41,67,88,2455.425424724969
197,2456.75,0.5,43,67,83,2455.1689403885453
198,2456.75,0.5,57,69,78,2455.689548101049
199,2456.75,0.5,89,86,60,2454.7404902519197
200,2456.625,0.75,38,76,82,2454.998708436784
201,2456.5,1.0,52,72,97,2454.682781061696
202,2456.5,1.0,48,27,81,2454.072230570116
203,2456.375,0.75,36,59,80,2454.27509304174
204,2456.0,1.0,6,127,71,2455.090294003737
205,2452.75,,0,95,65,2455.83382075089
206,2452.75,0.5,21,83,53,2455.976249777464
207,2452.875,0.25,42,87,67,2455.948181753605
208,2452.75,0.5,74,62,60,2456.0951800528283
209,2452.75,0.5,76,96,63,2456.882192844844
210,2452.875,0.25,71,60,87,2456.797694198313
211,2452.75,0.5,69,102,66,2457.2058215471684
212,2452.75,0.5,75,81,86,2457.0437872373013
213,2452.75,0.5,97,64,85,2456.8114468496806
214,2453.125,0.25,92,40,78,2457.2685857616198
215,2453.375,0.25,109,22,90,2457.272175446469
216,2453.25,0.5,76,47,67,2457.3434629186377
217,2453.25,0.5,72,68,82,2457.532144744742
218,2453.25,0.5,68,124,76,2457.157581927313
219,2453.25,0.5,81,59,82,2456.978804483006
220,2453.375,0.75,104,49,79,2456.7418872403064
221,2453.25,0.5,68,51,72,2456.864980268359
222,2453.25,0.5,107,56,59,2457.0066266350527
223,2453.25,0.5,100,53,91,2456.7749248649097
224,2453.25,0.5,89,92,55,2457.4399272186542
225,2453.25,0.5,90,65,83,2457.4337139092304
226,2453.25,0.5,71,87,74,2457.4726704514906
227,2453.25,0.5,73,62,73,2458.154420533844
228,2453.25,0.5,56,102,71,2457.615466251229
229,2453.25,0.5,60,120,49,2457.323491082623
230,2453.25,0.5,51,55,80,2457.482854475764
231,2453.25,0.5,53,97,64,2456.808815824979
232,2453.375,0.25,51,145,53,2456.711173325666
233,2453.25,0.5,57,90,71,2457.624413979725
234,2453.25,0.5,49,95,81,2458.5748981723345
235,2453.25,0.5,82,89,79,2459.0030271938863
236,2453.375,0.75,107,69,80,2459.5202052776795
237,2454.75,,141,0,80,2459.673849242278
238,2455.0,1.0,108,5,66,2459.548140825523
239,2455.5,,153,0,49,2459.939516371553
240,2456.5,,191,0,63,2459.7454703333847
241,2457.5,,178,0,43,2459.901620608073
242,2457.875,0.25,119,22,53,2459.82470424559
243,2458.5,,175,0,41,2459.8031778678587
244,2459.25,,210,0,34,2459.8061444577797
245,2459.375,0.25,151,1,51,2460.027177946933
246,2460.0,,221,0,32,2460.078823260047
247,2460.125,0.25,290,6,10,2460.0817901332284
248,2459.875,0.25,78,42,69,2460.090520373775
249,2459.75,0.5,79,38,79,2460.3071304020928
250,2459.75,0.5,128,39,48,2460.590288953192
251,2459.625,0.25,130,51,63,2460.2645297880654
252,2459.75,0.5,101,32,82,2460.240623541501
253,2459.75,0.5,86,55,77,2459.906524026568
254,2459.75,0.5,95,79,55,2459.852029394314
255,2459.75,0.5,67,85,86,2459.539367841718
256,2459.75,0.5,101,68,55,2458.9980965458644
257,2459.75,0.5,104,65,73,2458.5652886090256
258,2459.5,1.0,87,78,93,2458.3968078663893
259,2459.5,0.5,93,72,77,2458.57813450848
260,2459.375,0.75,61,77,75,2458.399370954893
261,2459.25,0.5,92,58,52,2458.2184484186937
262,2459.25,0.5,124,54,74,2458.300536794103
263,2459.25,0.5,94,80,79,2458.3660015498945
264,2459.25,0.5,71,81,61,2458.688876586537
265,2459.25,0.5,62,78,70,2458.8980580156044
266,2459.25,0.5,118,62,65,2458.6078540229464
267,2459.25,0.5,75,79,55,2458.41097839133
268,2459.25,0.5,69,97,61,2458.654307685076
269,2459.125,0.75,66,84,63,2458.3667893397683
270,2459.25,0.5,78,55,64,2460.360574091317
271,2459.25,0.5,75,65,81,2459.8698514020207
272,2459.0,0.5,43,64,67,2459.466974967077
273,2458.875,0.25,75,67,69,2459.8568127620297
274,2458.75,0.5,83,82,61,2459.932792646932
275,2458.75,0.5,60,63,72,2459.600173052249
276,2458.75,0.5,59,85,80,2459.331200208651
277,2458.75,0.5,123,100,56,2460.2084949640653
278,2458.75,0.5,87,119,79,2459.9209092520664
279,2458.75,0.5,69,77,70,2460.1678630884226
280,2458.75,0.5,54,67,63,2460.634011133926
281,2458.75,0.5,65,62,87,2461.4470624229184
282,2458.75,0.5,75,70,77,2461.063496565433
283,2458.75,0.5,117,92,55,2460.351121603181
284,2458.75,0.5,92,106,69,2459.759555053363
285,2458.625,0.25,105,83,67,2460.1066911973826
286,2458.75,0.5,87,79,97,2460.991782121373
287,2458.75,0.5,118,63,57,2461.346894927482
288,2458.625,0.75,65,74,81,2461.043963737225
289,2458.875,0.25,85,38,78,2461.5774561982776
290,2458.75,0.5,99,50,62,2461.373395083469
291,2458.75,0.5,77,54,65,2461.021352511645
292,2458.75,0.5,79,91,81,2460.879407030989
293,2458.75,0.5,101,59,71,2460.5758102886416
294,2458.75,0.5,120,53,60,2460.318135585648
295,2458.75,0.5,85,71,69,2460.759321781305
296,2458.75,0.5,84,62,68,2460.5707155034406
297,2458.75,0.5,103,30,52,2459.9529110260787
298,2458.75,0.5,76,76,76,2460.172609075707
299,2458.75,0.5,68,57,47,2459.922520787929
300,2458.875,0.25,85,56,51,2459.659773870956
301,2458.625,0.25,66,70,40,2459.940234329794
302,2458.75,0.5,80,68,57,2459.722591219706
303,2458.75,0.5,110,91,60,2459.562901472101
304,2458.75,0.5,111,91,60,2459.580229855936
305,2458.375,0.25,68,99,75,2459.485956531445
306,2456.875,0.75,1,157,69,2459.3697012507528
307,2456.75,0.5,37,136,65,2458.7627527609
308,2456.75,0.5,44,125,69,2458.70651487726
309,2456.625,0.25,60,129,71,2459.322390107903
310,2456.75,0.5,49,112,67,2459.6318334471403
311,2456.75,0.5,65,81,52,2459.4249535967847
312,2456.75,0.5,33,93,62,2459.702809158122
313,2455.75,,0,161,67,2460.138510417325
314,2453.75,,0,156,42,2459.539817213028
315,2453.875,0.75,16,61,76,2460.5009435509287
316,2453.75,0.5,42,59,91,2460.624690164648
317,2453.75,0.5,49,139,49,2460.395629108316
318,2453.75,0.5,50,93,68,2461.507772391267
319,2454.125,0.25,58,69,76,2459.9485044557
320,2454.125,0.25,76,97,74,2459.151407060656
321,2454.25,0.5,65,112,57,2459.61991372222
322,2454.25,0.5,81,135,64,2460.102519540072
323,2454.25,0.5,86,91,72,2461.390951098192
324,2454.25,0.5,63,123,59,2459.537361921729
325,2454.25,0.5,37,135,66,2460.3382842900296
326,2454.25,0.5,43,127,56,2459.134787246755
327,2454.25,0.5,43,110,65,2459.500940724776
328,2454.25,0.5,45,111,58,2459.4479086584342
329,2454.25,0.5,54,145,60,2460.116758621595
330,2454.25,0.5,51,130,68,2459.9433418008784
331,2454.25,0.5,49,91,73,2460.793282967262
332,2454.25,0.5,62,88,65,2460.0734874207783
333,2454.25,0.5,69,112,53,2460.0090758329766
334,2454.25,0.5,64,76,61,2460.158475685432
335,2454.25,0.5,65,92,71,2461.4345098780896
336,2454.25,0.5,41,83,76,2462.005991400907
337,2454.25,0.5,32,98,72,2462.139639531284
338,2454.25,0.5,81,104,54,2462.5630988441067
339,2454.25,0.5,70,90,67,2463.354511758596
340,2454.375,0.75,77,69,75,2463.6422265037354
341,2454.25,0.5,86,85,49,2463.0113987767654
342,2454.25,0.5,98,43,92,2463.4135076368498
343,2454.375,0.75,72,31,75,2463.3983237971224
344,2454.25,0.5,76,76,70,2463.167571280808
345,2454.25,0.5,60,64,63,2462.575040420951
346,2454.25,0.5,84,39,67,2462.9427435296366
347,2454.25,0.5,74,47,77,2463.248967052373
348,2454.125,0.25,42,109,49,2462.65236608605
349,2454.25,0.5,41,93,65,2462.069403996168
350,2454.25,0.5,66,69,70,2463.243764008245
351,2454.25,0.5,100,99,58,2463.797986997638
352,2454.25,0.5,97,78,64,2463.860756551324
353,2454.25,0.5,78,83,81,2464.26000227314
354,2454.25,0.5,59,74,69,2463.9347144049366
355,2454.25,0.5,71,120,64,2463.805818068515
356,2454.25,0.5,70,99,81,2463.82531115003
357,2454.25,0.5,61,82,77,2464.586520536812
358,2454.25,0.5,32,132,58,2463.4594616194
359,2454.25,0.5,27,122,81,2462.704135842416
360,2454.25,0.5,32,94,62,2461.8116075187536
361,2454.25,0.5,49,99,75,2462.4279398510257
362,2454.25,0.5,69,93,59,2462.356127741602
363,2454.25,0.5,74,108,50,2461.627873130564
364,2454.25,0.5,67,82,83,2461.469062496814
365,2454.25,0.5,54,80,63,2461.017361709499
366,2454.125,0.25,66,86,64,2459.86297253879
367,2454.25,0.5,80,98,70,2460.8209968136107
368,2454.25,0.5,87,119,65,2460.718573759585
369,2454.25,0.5,77,79,89,2461.63918967632
370,2454.25,0.5,76,60,69,2460.535371397629
371,2454.25,0.5,85,96,56,2460.9221537155568
372,2454.25,0.5,68,92,61,2459.7148679629568
373,2454.25,0.5,60,135,49,2461.8869516279387
