ft_sigma_c,zi_alpha,zi_delta,p_zi,zi_mu,mt_lambda,mt_gamma,ret_std,ret_kurtosis,acf_r_1,acf_r_5,acf_r_10,acf_r_20,acf_absr_1,acf_absr_5,acf_absr_10,acf_absr_20,hill_tail_index,ks_stat,true_loss
0.34019226445816453,0.4080587155297398,0.23878029229119418,0.5099615911294557,0.13617031816708874,0.1760049724630208,0.3064203754024546,0.0012524786615280051,45.35108744466838,-0.00138450459144726,-0.011600578928584857,-0.0004661430785929248,-0.005140771329953791,0.3818487993432833,0.30880456252721683,0.2946757323984075,0.279176682475073,2.7082437324073445,0.04671008568327217,7.472994685381626
0.3698890368454158,0.36427261956036094,0.19826136473566291,0.5435986558648269,0.14099078627848918,0.1848192270530958,0.1546280726075375,0.0012796097618065958,42.837525635200535,-0.004619661152677658,-0.008741755936153249,-0.0004930494312643526,-0.003087088745976468,0.3915122590819411,0.31029291309666296,0.3091984981128613,0.28565039153682487,2.673952351878667,0.03512783205154846,6.3627268293669745
0.4189796050544828,0.3934983766153455,0.22421322876587507,0.5008309466159734,0.14899267008751943,0.18993532687170198,0.3398176456723973,0.0012886460988712452,57.88943032850202,-0.0051820232366367,-0.009639350427585677,-0.0022378057033928126,-0.0036183787730814654,0.35708235066748556,0.2723976480950754,0.2927257335088814,0.2653875950079818,2.6823192497935273,0.0378068777569921,7.572484563302455
0.4352123725693673,0.3585797311067581,0.23424227610230444,0.49591670612408406,0.1474012497906932,0.19427369183054038,0.12271195741066043,0.0012546710384168489,56.93996982631873,0.004606003275366831,-0.013280554318601284,-0.0035769688434457055,-0.0014781804908142338,0.3497282016006646,0.2782367779286847,0.2812368153029792,0.25624999435906987,2.5968216955519807,0.02864962239312696,7.99101623491167
0.39055293882265685,0.40144126399606467,0.20065877025946974,0.5392380967901105,0.13966032481474505,0.1797355275922645,0.36815726115636394,0.0012968495121733858,45.59913586929755,-0.013256523557115188,-0.01266017195816733,-0.0026973165253482718,-0.0026202052567534505,0.3910968309603686,0.3028919771896406,0.3048588470705181,0.28215404870367794,2.6995481821063447,0.04317651677867851,7.954017196905837
0.3546124442946165,0.3709070484042168,0.21973403029143806,0.5129217110496328,0.13654674945973333,0.18213895888232412,0.22501290478437702,0.0012747997786418822,48.35659216540708,-0.012487876731543411,-0.01040635080522964,0.003176624649982204,-0.0012243495427061814,0.3947080776074028,0.3240424268256739,0.3063812590757547,0.2838888974612736,2.6978624698834,0.04227580313633106,7.64201033783617
0.4787762549705803,0.4138925122246146,0.18616516483947632,0.5296485998259628,0.1445550238208686,0.19347034757698525,0.26370997355821263,0.001299969075573183,70.82015121935697,-0.009942448621775396,-0.012636665270111999,-0.006259606891406002,0.0011549911536452352,0.35374904425080755,0.25675595829891423,0.2698912068645944,0.24514438780715495,2.559542854611244,0.030035335689045928,9.267393090841612
0.47165997978299856,0.36871799248456955,0.23766871787607668,0.5026213220940657,0.14147245551983076,0.18025779720402718,0.3469580101398217,0.0013041352955375928,66.32907291674682,-0.013775155109854172,-0.008489334141371428,-0.006316434724345327,-0.0013009690530881534,0.3682205869457993,0.2761867931804412,0.2806385855218962,0.255283173314016,2.674526270788922,0.03679068800665142,8.470508507555923
0.3520737901795655,0.41608046951144934,0.2111199882440269,0.5493327035684722,0.14946474568312856,0.19458111756868568,0.1099872522697184,0.001246870084820081,68.38932385658042,0.004655903370319999,-0.013956919168187703,-0.006204505706285307,-0.004602666467232974,0.37708283660849706,0.28109411444436155,0.30470734848340847,0.26228616527505805,2.6156054830274544,0.03595926002909994,7.923417142505152
0.3928753728047013,0.35626974833011626,0.22216437429189678,0.5084309684148912,0.14249098351428002,0.19217135522613818,0.2425054661278377,0.0012809362191093289,53.754682750015725,-0.005469815293021309,-0.010906591272294363,-0.000776374970219814,-0.00306851190991971,0.36989223838639956,0.28801376993777716,0.2912970429141027,0.2734347613576596,2.722857111711304,0.03957366220928893,7.098480831301807
0.44196593877859414,0.40375454267114397,0.1956302993558347,0.521073370712554,0.13473504301575534,0.18105494439562334,0.21229556355261442,0.0012540934404003056,63.22651681810969,0.011018756466310209,-0.015774477812871505,-0.004217385439859019,-0.002834894850178361,0.33072670715457336,0.26115050708356113,0.2589655298924538,0.237829246042067,2.662391622638711,0.029712002586664787,8.879228338472789
0.4213029532227665,0.3666034076958895,0.19907500345259904,0.5316749870040829,0.13804923129010752,0.17752458117531847,0.2766019685883758,0.0013181304975609838,46.06921156646001,-0.010629825461521789,-0.01709046714745072,-0.004980726210306213,-0.003322755949565829,0.370653734259641,0.27969763543227916,0.2832828218424616,0.26041991485802424,2.6417178088136537,0.03285295272408134,8.292146089947147
0.3766435217112303,0.3911708843782544,0.2330064741708338,0.5184196616085184,0.14603633260776078,0.19806299468664312,0.18606481914152895,0.0012598230048291735,61.018163080544454,0.000468227548852991,-0.013282823720700125,-0.003346857147331923,-0.0012887798481095965,0.3769328693024754,0.2950368036741415,0.2955676252524579,0.2676249637468809,2.609516699239759,0.03473521328437151,7.570779310246976
0.33307722085155544,0.3811612918525934,0.1836436780914664,0.5370102868962064,0.14687339672248598,0.1892426063026049,0.31000029260599193,0.0013250495909929187,42.927888133240074,-0.019840385182560125,-0.011531633368207833,-0.004114187604203568,-0.0022089238088408973,0.4215272866517168,0.3181175246455679,0.316490959335469,0.2856969103457569,2.670854273225926,0.0400240190304626,8.573702609722291
0.457241029292345,0.40588716907054184,0.21756049411371348,0.49062017805846997,0.13911133625088257,0.18473822781920465,0.15052042193105233,0.0012326807773187201,54.44504406020276,0.015647394902793006,-0.017224794854395407,-0.0057500271401678795,-0.00509960597654512,0.3406838137603039,0.2677268250964531,0.2600296120748922,0.2428670923552777,2.5912232856696957,0.027032956881221204,9.176795754511016
0.4473809871356934,0.3535630786418915,0.18776515493169424,0.5158965494924028,0.14810496473488194,0.18324383584727943,0.29542938662178153,0.0013191899623566108,52.180463264899345,-0.00791800169177037,-0.014219334230630034,-0.002194498747866019,0.0014015882782953872,0.3548926206785968,0.25870778314750936,0.2585183715008461,0.24201812244029355,2.657160125215211,0.024677244278158816,7.94808181382177
0.341784053388983,0.3963592857941985,0.21431701112538573,0.5285403193507995,0.14034915362968825,0.19156689470580235,0.19625573664961257,0.0012679209826718526,48.29524297909647,2.463292167357931e-05,-0.012388347117202348,-0.0007801310694145105,-0.0028005144733995306,0.383522343457604,0.27262197262616494,0.2976616645753069,0.2665547866995522,2.6095828293621737,0.031952239081733946,7.404663908074357
0.3866867601405829,0.37486458450555804,0.20233405040577052,0.49515841795104926,0.13533641136990998,0.1955739067254994,0.3287982570567689,0.0012993308385729264,51.357991067104656,-0.011397000754016682,-0.0110936419407638,-0.004598987504713256,-0.00014705397536822368,0.3880322847265432,0.2947341298916279,0.29828041622026213,0.2700952863283525,2.6855576043246727,0.037344973325019015,7.753678032933592
0.41241307081654666,0.41778360679000615,0.22887126442044972,0.5418629642919348,0.14332880833917427,0.17763047345063687,0.16072395359988098,0.0012181449262455401,55.22345777175132,0.015366176958596716,-0.012741277645766646,-0.005418806937112302,-0.004221144925364862,0.36312423693200646,0.2805554598181111,0.2802294385196953,0.2621793566579943,2.7078328375096814,0.034319499295595746,8.091745730390306
0.43210553815588354,0.38295280255377295,0.22636137900874015,0.5444736188191628,0.14470541094846542,0.18692741286494394,0.3626177260701384,0.0013048541874102746,47.63302842746334,-0.008623839302540006,-0.008885302407964821,-0.0012647300366868208,-0.0024166665712427615,0.37850175817379594,0.2933295533889281,0.2960390005762404,0.26314454823455163,2.6103706998081893,0.03038176401302567,7.205975145989367
0.40158184631727634,0.41194539196044205,0.19242663867771623,0.49808943281442525,0.13694320888048733,0.18863824364696344,0.13424983096337048,0.0012416654111746357,53.84876458937966,0.011498721448403776,-0.013635324440301763,-0.006051135853562807,-0.002419345955077231,0.3532445475067365,0.2681011818194405,0.2764562217873147,0.2490616653309122,2.5961966843203474,0.029042241160303905,8.599013988633864
0.362117242347449,0.3592604023963213,0.2408568145893514,0.524208979259193,0.13975691338688315,0.19905568597876247,0.2581441420242005,0.0012654948149546988,42.85754913546661,-0.0030430389407784236,-0.008709588832192491,-0.001571597828024892,-0.002885463758951167,0.3795574778330204,0.3084710011219299,0.29047002187887666,0.28914832252182626,2.654541977370662,0.03744890182221294,6.674115209197638
