regime,seed,agent_id,n_clients,min_kappa,breached
calm,92,37,0,0.18239874334255435,0
calm,92,38,0,0.1830589305724009,0
calm,92,39,0,0.1882014795425133,0
calm,93,30,12,0.07675947661251983,1
calm,93,31,18,0.08001274974939702,0
calm,93,32,14,0.07640049533204957,1
calm,93,33,14,0.07758066199219808,1
calm,93,34,11,0.07862698145979187,1
calm,93,35,0,0.1768174636214931,0
calm,93,36,0,0.18647211538606287,0
calm,93,37,0,0.17440324114251538,0
calm,93,38,0,0.18134810662613113,0
calm,93,39,0,0.18277666790801445,0
calm,94,30,12,0.08282338338892468,0
calm,94,31,15,0.07942982290945783,1
calm,94,32,14,0.0893160261173241,0
calm,94,33,15,0.0868321302510205,0
calm,94,34,13,0.08218664970013909,0
calm,94,35,0,0.18013411174183275,0
calm,94,36,0,0.1770691514825476,0
calm,94,37,0,0.17892368262190295,0
calm,94,38,0,0.17869679743960934,0
calm,94,39,0,0.19579783406172235,0
calm,95,30,15,0.09582825124370777,0
calm,95,31,16,0.09211248049013622,0
calm,95,32,13,0.08978643834184166,0
calm,95,33,13,0.09575178864239725,0
calm,95,34,14,0.0913548425953948,0
calm,95,35,0,0.18667982966422675,0
calm,95,36,0,0.18137416274879234,0
calm,95,37,0,0.18185283065748978,0
calm,95,38,0,0.1732951361413096,0
calm,95,39,0,0.17906690944873874,0
calm,96,30,15,0.0796828764547023,1
calm,96,31,16,0.08101265810666732,0
calm,96,32,15,0.08640156534195108,0
calm,96,33,11,0.08992513826196594,0
calm,96,34,15,0.08828040226841384,0
calm,96,35,0,0.18844480433498667,0
calm,96,36,0,0.22783611684894978,0
calm,96,37,0,0.1883776580475132,0
calm,96,38,0,0.1733668962669898,0
calm,96,39,0,0.1857856165533473,0
calm,97,30,15,0.08089687387641242,0
calm,97,31,10,0.07825239377544524,1
calm,97,32,16,0.07889411089329515,1
calm,97,33,18,0.07904784635860153,1
calm,97,34,12,0.0793554337115963,1
calm,97,35,0,0.18116343180886146,0
calm,97,36,0,0.17820787860541118,0
calm,97,37,0,0.18269018966536274,0
calm,97,38,0,0.18190359256008365,0
calm,97,39,0,0.1492224674539183,0
calm,98,30,17,0.08642246585626744,0
calm,98,31,10,0.08871534576359837,0
calm,98,32,16,0.09189529903706015,0
calm,98,33,13,0.08779448014465555,0
calm,98,34,13,0.08501494564681362,0
calm,98,35,0,0.17318766701882565,0
calm,98,36,0,0.1896062600594259,0
calm,98,37,0,0.1809321999414436,0
calm,98,38,0,0.19654824031430695,0
calm,98,39,0,0.18584592870200975,0
calm,99,30,11,0.07961905281195028,1
calm,99,31,15,0.07877267802262353,1
calm,99,32,12,0.08386121024809128,0
calm,99,33,17,0.09853101597184802,0
calm,99,34,15,0.07989187539286624,1
calm,99,35,0,0.17332771882370032,0
calm,99,36,0,0.211900341579151,0
calm,99,37,0,0.17637017076386433,0
