regime,t,mtype,metric,p50,p25,p75
stressed,20399,BCMc,cash,5607820993.116623,4406465189.560969,7725793448.371717
stressed,20399,BCMc,df_contribution,374143010.5225669,296117459.8717012,489265200.36520094
stressed,20399,BCMc,maintenance_margin,3466574954.6744637,2669546271.9041176,4298587275.235024
stressed,20399,BCMo,cash,3022606501.7654924,2066731113.0607893,9076980714.442568
stressed,20399,BCMo,df_contribution,105058414.62470934,73753059.19077165,202282997.59666014
stressed,20399,BCMo,maintenance_margin,982467074.8804014,696921068.6128848,1891195838.2951164
stressed,20399,NBCM,cash,1782329366.4251192,1232440937.368621,2299812961.2937255
stressed,20399,NBCM,df_contribution,62628019.40129574,34946218.91578327,113804232.63427722
stressed,20399,NBCM,maintenance_margin,556270498.3909807,324370803.643646,993639163.3954893
stressed,20459,BCMc,cash,5654356189.727932,4433332241.014299,7732293578.687528
stressed,20459,BCMc,df_contribution,373335139.8510153,296117459.8717012,489265200.36520094
stressed,20459,BCMc,maintenance_margin,3435488622.312053,2636554572.7511272,4218124441.667653
stressed,20459,BCMo,cash,3022441932.0599947,2076769365.608598,9147177235.270954
stressed,20459,BCMo,df_contribution,105058414.62470934,73114005.9321286,202282997.59666014
stressed,20459,BCMo,maintenance_margin,987678097.0819483,703662716.8371944,1902271149.2514043
stressed,20459,NBCM,cash,1782329366.4251192,1231710426.7790627,2300373230.248311
stressed,20459,NBCM,df_contribution,62628019.40129574,34946218.91578327,113349054.90632236
stressed,20459,NBCM,maintenance_margin,554599675.4545236,326010381.95462096,983904774.8286685
stressed,20519,BCMc,cash,5623793222.359621,4404693067.537477,7718902858.937635
stressed,20519,BCMc,df_contribution,373335139.8510153,296117459.8717012,489265200.36520094
stressed,20519,BCMc,maintenance_margin,3408739385.8399153,2663060729.3547707,4220498355.2276716
stressed,20519,BCMo,cash,2976665770.5804358,2039427830.510236,9105913090.415802
stressed,20519,BCMo,df_contribution,105058414.62470934,73114005.9321286,202282997.59666014
stressed,20519,BCMo,maintenance_margin,994885255.605861,711586377.6608189,1903947359.9383774
stressed,20519,NBCM,cash,1782329366.4251192,1232907606.912179,2299435105.4871445
stressed,20519,NBCM,df_contribution,62628019.40129574,34946218.91578327,113349054.90632236
stressed,20519,NBCM,maintenance_margin,553310524.5151284,317835447.84270793,984253427.920962
stressed,20579,BCMc,cash,5621366987.97336,4429048413.323824,7751513311.8806095
stressed,20579,BCMc,df_contribution,373335139.8510153,296117459.8717012,489265200.36520094
stressed,20579,BCMc,maintenance_margin,3438614743.739293,2686993650.873115,4269866681.044132
stressed,20579,BCMo,cash,3032578078.192093,2091169053.2396116,9176733334.916857
stressed,20579,BCMo,df_contribution,105058414.62470934,73114005.9321286,202282997.59666014
stressed,20579,BCMo,maintenance_margin,992311757.2636755,701132093.3048381,1917085202.046181
stressed,20579,NBCM,cash,1782329366.4251192,1224871836.9638038,2300816233.60775
stressed,20579,NBCM,df_contribution,62628019.40129574,34946218.91578327,113349054.90632236
stressed,20579,NBCM,maintenance_margin,539664960.8494959,318015544.4027942,996812916.2877996
stressed,20639,BCMc,cash,5506961460.696278,4327056029.340743,7675722151.17423
stressed,20639,BCMc,df_contribution,373335139.8510153,296117459.8717012,489265200.36520094
stressed,20639,BCMc,maintenance_margin,3326401776.374941,2582484173.3360243,4158576332.6516166
stressed,20639,BCMo,cash,2813293256.520723,1922723981.1864152,9091131564.053013
stressed,20639,BCMo,df_contribution,105058414.62470934,73114005.9321286,202282997.59666014
stressed,20639,BCMo,maintenance_margin,990999950.2795744,713891737.0670826,1878164711.4674392
stressed,20639,NBCM,cash,1782329366.4251192,1237061257.9786243,2302995257.3206577
stressed,20639,NBCM,df_contribution,62628019.40129574,34946218.91578327,113349054.90632236
stressed,20639,NBCM,maintenance_margin,520418957.4753974,308116330.42749727,951832841.200652
stressed,20699,BCMc,cash,5553188934.318064,4380183984.221855,7700416610.820282
stressed,20699,BCMc,df_contribution,357268239.22286403,282719235.81769043,465866889.97732204
stressed,20699,BCMc,maintenance_margin,3394615170.7654963,2645019821.7181783,4209716625.1527925
stressed,20699,BCMo,cash,2901312912.9126444,1976953490.173747,9040717869.417524
stressed,20699,BCMo,df_contribution,112187355.33841364,81165568.25074455,198807706.52158797
stressed,20699,BCMo,maintenance_margin,989149099.1430986,706426898.286174,1907227770.9272425
stressed,20699,NBCM,cash,1792180963.668633,1239153003.997427,2304247167.3177443
stressed,20699,NBCM,df_contribution,58377203.094511226,34108180.74809402,106241917.50653626
stressed,20699,NBCM,maintenance_margin,547420023.7348583,316746543.04763126,973955835.0421107
stressed,20759,BCMc,cash,5521883087.637273,4359896901.913027,7650032099.62579
stressed,20759,BCMc,df_contribution,357268239.22286403,282719235.81769043,465866889.97732204
stressed,20759,BCMc,maintenance_margin,3373688626.965908,2667461621.8150625,4250099033.536902
stressed,20759,BCMo,cash,2858335005.5598593,1953527610.0986109,9088036098.731737
stressed,20759,BCMo,df_contribution,112187355.33841364,81165568.25074455,198807706.52158797
stressed,20759,BCMo,maintenance_margin,986213839.7470448,691308424.9439386,1908543754.8193061
stressed,20759,NBCM,cash,1792180963.668633,1240086198.6378298,2303230926.5538964
stressed,20759,NBCM,df_contribution,58377203.094511226,34108180.74809402,106241917.50653626
stressed,20759,NBCM,maintenance_margin,543841283.76321,325558600.7146685,983662039.97657
stressed,20819,BCMc,cash,5478117969.69514,4315433543.363067,7599312196.064863
stressed,20819,BCMc,df_contribution,357268239.22286403,282719235.81769043,465866889.97732204
stressed,20819,BCMc,maintenance_margin,3378140178.412383,2653734016.954937,4232667254.3101287
stressed,20819,BCMo,cash,2787500805.127963,1904586595.480537,9162496924.05299
stressed,20819,BCMo,df_contribution,112187355.33841364,81165568.25074455,198807706.52158797
stressed,20819,BCMo,maintenance_margin,973252446.7944794,681182581.2024444,1920134442.1911879
stressed,20819,NBCM,cash,1792180963.668633,1241160829.8016567,2303442820.7500544
stressed,20819,NBCM,df_contribution,58377203.094511226,34108180.74809402,106241917.50653626
stressed,20819,NBCM,maintenance_margin,541560230.581383,322415858.67519647,979427982.2507563
stressed,20879,BCMc,cash,5468245830.231729,4331639552.453342,7605378514.627133
stressed,20879,BCMc,df_contribution,357268239.22286403,282719235.81769043,465866889.97732204
stressed,20879,BCMc,maintenance_margin,3355368730.936772,2619722421.38457,4242283770.963536
stressed,20879,BCMo,cash,2813223900.2108984,1923966443.4611874,9203704271.757872
stressed,20879,BCMo,df_contribution,112187355.33841364,81165568.25074455,198807706.52158797
stressed,20879,BCMo,maintenance_margin,965937517.9406033,676944156.7125846,1918328601.2044497
stressed,20879,NBCM,cash,1792180963.668633,1241160829.8016567,2303266360.562084
stressed,20879,NBCM,df_contribution,58377203.094511226,34108180.74809402,106241917.50653626
stressed,20879,NBCM,maintenance_margin,532078780.4661473,321074800.1743791,981092174.0731905
stressed,20939,BCMc,cash,5479350889.788406,4327602564.628083,7599853939.798229
stressed,20939,BCMc,df_contribution,357268239.22286403,282719235.81769043,465866889.97732204
stressed,20939,BCMc,maintenance_margin,3375626733.9875956,2632235517.2877126,4269283195.1753597
stressed,20939,BCMo,cash,2810474307.2638874,1928551817.0292616,9201136298.784035
stressed,20939,BCMo,df_contribution,112187355.33841364,81165568.25074455,198807706.52158797
stressed,20939,BCMo,maintenance_margin,958070637.3290966,669764510.9306347,1916141473.1474679
stressed,20939,NBCM,cash,1792180963.668633,1241160829.8016567,2303345767.646671
stressed,20939,NBCM,df_contribution,58377203.094511226,34108180.74809402,106241917.50653626
stressed,20939,NBCM,maintenance_margin,544319520.213068,320525389.0794663,986450272.9534199
stressed,20999,BCMc,cash,5525788143.096539,4351039851.134147,7614385821.308399
stressed,20999,BCMc,df_contribution,357268239.22286403,282719235.81769043,465866889.97732204
stressed,20999,BCMc,maintenance_margin,3401684478.1640215,2645566075.029174,4290343188.7277536
stressed,20999,BCMo,cash,2850934578.189316,1957451536.1881444,9066187678.41242
stressed,20999,BCMo,df_contribution,112187355.33841364,81165568.25074455,198807706.52158797
stressed,20999,BCMo,maintenance_margin,957208284.4346049,669415599.2655625,1918763141.1426797
stressed,20999,NBCM,cash,1792180963.668633,1241000348.4896526,2302736979.9981756
stressed,20999,NBCM,df_contribution,58377203.094511226,34108180.74809402,106241917.50653626
stressed,20999,NBCM,maintenance_margin,556779868.4936508,322221534.0662508,987800931.1173468
stressed,21059,BCMc,cash,5382423098.003921,4227326705.6088886,7536570989.273399
stressed,21059,BCMc,df_contribution,357268239.22286403,282719235.81769043,465866889.97732204
stressed,21059,BCMc,maintenance_margin,3343826217.2713,2627292845.2782884,4238539561.811624
stressed,21059,BCMo,cash,2564748869.5660744,1771500063.9577057,9224261069.092655
stressed,21059,BCMo,df_contribution,112187355.33841364,81165568.25074455,198807706.52158797
stressed,21059,BCMo,maintenance_margin,962927954.8953016,671599414.6732764,1884363197.2640326
stressed,21059,NBCM,cash,1792898529.4786956,1241160829.8016567,2302400123.07812
stressed,21059,NBCM,df_contribution,58377203.094511226,34108180.74809402,106241917.50653626
stressed,21059,NBCM,maintenance_margin,546848576.1716808,324096351.0249304,980460294.313096
stressed,21119,BCMc,cash,5394473285.728857,4256593641.2781286,7534109695.500375
stressed,21119,BCMc,df_contribution,363886444.8035389,286357418.5144725,475717996.3286862
stressed,21119,BCMc,maintenance_margin,3360294979.1341352,2630361352.209553,4243742596.0956936
stressed,21119,BCMo,cash,2613442390.0934634,1801228646.9921725,9262509498.889347
stressed,21119,BCMo,df_contribution,108313205.26613873,76438231.98878875,198167007.77805415
stressed,21119,BCMo,maintenance_margin,953798949.0466224,666000736.6876036,1876560168.2096875
stressed,21119,NBCM,cash,1785977862.2446136,1243476706.960539,2301606849.1177034
stressed,21119,NBCM,df_contribution,59549839.1696136,34650769.05791804,109451175.13606596
stressed,21119,NBCM,maintenance_margin,552137162.3437597,318890250.37786126,991285153.8400754
stressed,21179,BCMc,cash,5351825948.389374,4229207601.4869046,7435198978.919533
stressed,21179,BCMc,df_contribution,363886444.8035389,286357418.5144725,475717996.3286862
stressed,21179,BCMc,maintenance_margin,3353119120.402461,2571497556.3677893,4161726084.098427
stressed,21179,BCMo,cash,2503625570.1004906,1719680791.948388,8864772928.40163
stressed,21179,BCMo,df_contribution,108313205.26613873,76438231.98878875,198167007.77805415
stressed,21179,BCMo,maintenance_margin,937282357.6861905,652280884.5774652,1870311860.8642392
stressed,21179,NBCM,cash,1785977862.2446136,1243476706.960539,2299570036.7436438
stressed,21179,NBCM,df_contribution,59549839.1696136,34650769.05791804,109451175.13606596
stressed,21179,NBCM,maintenance_margin,535960847.1950961,314231302.75248957,971693436.3840661
stressed,21239,BCMc,cash,5337957748.138951,4190705394.5905128,7449662507.8999
stressed,21239,BCMc,df_contribution,363886444.8035389,286357418.5144725,475717996.3286862
