regime,t,type,p50,p25,p75
calm,3600,ZI,766486995.75,695535401.25,870366573.0
calm,3660,BCM,12493842093.0,11733141523.5,13770181973.25
calm,3660,FT,10106563252.5,9196355958.75,10734548335.875
calm,3660,MT,586988437.5,511001647.875,650574228.375
calm,3660,ZI,735049633.5,676069285.5,804697357.5
calm,3720,BCM,12553188453.0,11571004359.0,13809499035.75
calm,3720,FT,10057136224.5,9235805863.5,10754746788.375
calm,3720,MT,703492449.75,633868250.625,777181012.875
calm,3720,ZI,738829561.5,690098474.25,803970585.0
calm,3780,BCM,12482064369.0,11541497134.5,13777503786.0
calm,3780,FT,10017722542.5,9151809772.5,10625118181.875
calm,3780,MT,820751323.5,752039893.125,900289140.75
calm,3780,ZI,737398019.25,693339159.375,814143402.0
calm,3840,BCM,12557934495.0,11529545184.0,13858155879.75
calm,3840,FT,9951070074.75,9104195567.25,10635734367.0
calm,3840,MT,836107791.75,760917429.0,913296037.5
calm,3840,ZI,776249226.0,726887227.5,878227971.75
calm,3900,BCM,12676900086.0,11616447710.25,13912785166.5
calm,3900,FT,10033661767.5,9181270441.125,10724129688.375
calm,3900,MT,806180926.5,741031807.5,882673277.625
calm,3900,ZI,775157265.0,718277752.125,864000653.625
calm,3960,BCM,12740892264.0,11603472768.0,13985724384.0
calm,3960,FT,9989232102.0,9212941032.75,10673428016.25
calm,3960,MT,740906932.5,674751063.375,825941085.75
calm,3960,ZI,820265980.5,734131424.25,946109228.625
calm,4020,BCM,12776595795.0,11722330246.5,14000795115.75
calm,4020,FT,9998600121.0,9245506160.25,10648901548.125
calm,4020,MT,660801777.75,589265793.0,743734615.5
calm,4020,ZI,821518245.0,735156633.375,943222941.0
calm,4080,BCM,12785459301.0,11810783009.25,14013386802.0
calm,4080,FT,10055272806.0,9308647433.25,10624250791.125
calm,4080,MT,705764967.75,632145609.0,792100845.0
calm,4080,ZI,774529067.25,702906531.75,875625145.875
calm,4140,BCM,12829165506.0,11798292708.0,14090162105.25
calm,4140,FT,10036869367.5,9253569163.5,10707872263.875
