t,n_calls,regime
7859,6,stressed
7919,0,stressed
7979,5,stressed
8039,5,stressed
8099,6,stressed
8159,5,stressed
8219,5,stressed
8279,5,stressed
8339,0,stressed
8399,5,stressed
8459,4,stressed
8519,10,stressed
8579,5,stressed
8639,5,stressed
8699,5,stressed
8759,6,stressed
8819,0,stressed
8879,10,stressed
8939,5,stressed
8999,0,stressed
9059,0,stressed
9119,5,stressed
9179,5,stressed
9239,2,stressed
9299,5,stressed
9359,5,stressed
9419,5,stressed
9479,5,stressed
9539,5,stressed
9599,5,stressed
9659,5,stressed
9719,7,stressed
9779,5,stressed
9839,7,stressed
9899,7,stressed
9959,5,stressed
10019,5,stressed
10079,5,stressed
10139,9,stressed
10199,5,stressed
10259,5,stressed
10319,5,stressed
10379,5,stressed
10439,5,stressed
10499,5,stressed
10559,5,stressed
10619,5,stressed
10679,5,stressed
10739,5,stressed
10799,0,stressed
10859,0,stressed
10919,5,stressed
10979,5,stressed
11039,5,stressed
11099,0,stressed
11159,5,stressed
11219,5,stressed
11279,0,stressed
11339,5,stressed
11399,0,stressed
11459,0,stressed
11519,0,stressed
11579,5,stressed
11639,0,stressed
11699,5,stressed
11759,5,stressed
11819,5,stressed
11879,0,stressed
11939,0,stressed
11999,0,stressed
12059,5,stressed
12119,0,stressed
12179,0,stressed
12239,0,stressed
12299,0,stressed
12359,5,stressed
12419,0,stressed
12479,5,stressed
12539,8,stressed
12599,0,stressed
12659,0,stressed
12719,5,stressed
12779,0,stressed
12839,0,stressed
12899,5,stressed
12959,0,stressed
13019,5,stressed
13079,0,stressed
13139,0,stressed
13199,5,stressed
13259,5,stressed
13319,5,stressed
13379,5,stressed
13439,5,stressed
13499,5,stressed
13559,0,stressed
13619,5,stressed
13679,0,stressed
13739,5,stressed
13799,8,stressed
13859,0,stressed
13919,5,stressed
13979,0,stressed
14039,0,stressed
14099,0,stressed
14159,9,stressed
14219,5,stressed
14279,2,stressed
14339,0,stressed
14399,0,stressed
14459,5,stressed
14519,0,stressed
14579,0,stressed
14639,5,stressed
14699,5,stressed
14759,0,stressed
14819,0,stressed
14879,5,stressed
14939,0,stressed
14999,5,stressed
15059,0,stressed
