t,agent_id,mtype,capital_ratio,regime
16019,35,BCMo,0.16652001666320854,stressed
16019,36,BCMo,0.19998055779316604,stressed
16019,37,BCMo,0.19960797271009348,stressed
16019,38,BCMo,0.2005706473296632,stressed
16019,39,BCMo,0.23218190969358654,stressed
16019,100,NBCM,0.2873431480331835,stressed
16019,101,NBCM,0.4719447829961004,stressed
16019,102,NBCM,0.0727698680369957,stressed
16019,103,NBCM,0.07393555021711515,stressed
16019,104,NBCM,0.3139247162851183,stressed
16079,30,BCMc,0.10971393344731942,stressed
16079,31,BCMc,0.08773141816724894,stressed
16079,32,BCMc,0.09786107811447502,stressed
16079,33,BCMc,0.1606351195135893,stressed
16079,34,BCMc,0.09445368992779005,stressed
16079,35,BCMo,0.16590398474849427,stressed
16079,36,BCMo,0.20190001700890775,stressed
16079,37,BCMo,0.20212119682989504,stressed
16079,38,BCMo,0.2016621255797352,stressed
16079,39,BCMo,0.22662584062123167,stressed
16079,100,NBCM,0.29352022282484247,stressed
16079,101,NBCM,0.4579372997113241,stressed
16079,102,NBCM,0.07253275761061481,stressed
16079,103,NBCM,0.073795378767032,stressed
16079,104,NBCM,0.2970843452949675,stressed
16139,30,BCMc,0.11054844489997785,stressed
16139,31,BCMc,0.08690844966566481,stressed
16139,32,BCMc,0.09561786056636469,stressed
16139,33,BCMc,0.16104517922292746,stressed
16139,34,BCMc,0.09463888637152698,stressed
16139,35,BCMo,0.1673626249543352,stressed
16139,36,BCMo,0.19993439470259447,stressed
16139,37,BCMo,0.20014637252019107,stressed
16139,38,BCMo,0.1996977861056514,stressed
16139,39,BCMo,0.22511272550900643,stressed
16139,100,NBCM,0.28664672741264746,stressed
16139,101,NBCM,0.4485700568364233,stressed
16139,102,NBCM,0.07246674763316154,stressed
16139,103,NBCM,0.07375635596065098,stressed
16139,104,NBCM,0.2976989885928891,stressed
16199,30,BCMc,0.11002315413438196,stressed
16199,31,BCMc,0.08406851357695262,stressed
16199,32,BCMc,0.09416682150584675,stressed
16199,33,BCMc,0.1625356546055846,stressed
16199,34,BCMc,0.09496746631155079,stressed
16199,35,BCMo,0.2045396624194246,stressed
16199,36,BCMo,0.1755474177541245,stressed
16199,37,BCMo,0.17624500087105144,stressed
16199,38,BCMo,0.1787044669864295,stressed
16199,39,BCMo,0.20338218722071125,stressed
16199,100,NBCM,0.3074603271549514,stressed
16199,101,NBCM,0.4875985647787365,stressed
16199,102,NBCM,0.0758485432574368,stressed
16199,103,NBCM,0.07571487314824268,stressed
16199,104,NBCM,0.2971096868360802,stressed
16259,30,BCMc,0.1090787867111449,stressed
