regime,t,mtype,p50,p25,p75
calm,2399,BCMo,0.3828793184598881,0.24792259693872978,0.6311911234832778
calm,2399,NBCM,0.16408294123464365,0.14040391508509914,0.20764115940630126
calm,2459,BCMc,0.11295519868330553,0.10176265081965165,0.12931166145631798
calm,2459,BCMo,0.37681167610610655,0.24242415226444336,0.6181633511636175
calm,2459,NBCM,0.1627835877513133,0.1404659987202057,0.20518042769302328
calm,2519,BCMc,0.1127179175313272,0.10130330534707678,0.12834871024581737
calm,2519,BCMo,0.36828912680559645,0.23748342819125706,0.5983364647688398
calm,2519,NBCM,0.1628373579773797,0.13914134229394753,0.20347522141657381
calm,2579,BCMc,0.11249853836744575,0.10083395600181805,0.12784147276987928
calm,2579,BCMo,0.35875619348600485,0.2299980760328661,0.5766977194104539
calm,2579,NBCM,0.16377533624319646,0.1396231234943311,0.20750588338499595
calm,2639,BCMc,0.11223586723747225,0.10057132959016868,0.12818241374359818
calm,2639,BCMo,0.35010524546943755,0.2237106741451702,0.5661042035105569
calm,2639,NBCM,0.1616371836158354,0.1393403083101957,0.20720686507832062
calm,2699,BCMc,0.11198291012874254,0.10033693678763744,0.12791114608274134
calm,2699,BCMo,0.3422885387397621,0.2184614316777818,0.5567888384550148
calm,2699,NBCM,0.16208315997776462,0.13906381099744428,0.20845840014959172
calm,2759,BCMc,0.11173944839840297,0.10040905145765915,0.1287595375762051
calm,2759,BCMo,0.33141976846043564,0.21235196362513484,0.5430832261405227
calm,2759,NBCM,0.16259878386591847,0.13930278496595994,0.20708340567169203
calm,2819,BCMc,0.11249099169268367,0.10076286641880688,0.12944784764409256
calm,2819,BCMo,0.3255188685151088,0.20920339368079138,0.5404579483095444
calm,2819,NBCM,0.16325249437749612,0.1406389842471688,0.20961428752076744
calm,2879,BCMc,0.1117007159684503,0.0999617175314027,0.12875703856129223
calm,2879,BCMo,0.3186294004654019,0.20391772260026997,0.541681936207626
calm,2879,NBCM,0.1625906806988653,0.13996003922249364,0.20749225072935878
calm,2939,BCMc,0.1109236709912158,0.09967138645660542,0.12744090623509313
calm,2939,BCMo,0.3132594654516848,0.20205436059806786,0.5288630889242532
calm,2939,NBCM,0.16029476168320905,0.13902140938344876,0.2033565046317769
calm,2999,BCMc,0.1105678343096794,0.0991702031067839,0.12683529346683764
calm,2999,BCMo,0.3088680141209821,0.20373534532029747,0.52549378524229
calm,2999,NBCM,0.15939090852275734,0.13889253074360186,0.1999657840486938
