regime,t,p50,p25,p75,im_frac
calm,8399,20403877986.0,19497661134.75,21187054487.25,0.04
calm,8459,20303033737.5,19388038662.0,21026606251.5,0.04
calm,8519,20113500204.0,19212567052.5,20872600398.0,0.04
calm,8579,20490959169.0,19593379656.0,21287130061.5,0.04
calm,8639,20549936344.5,19613062752.75,21207924155.25,0.04
calm,8699,20412253647.0,19542368988.0,21140035668.0,0.04
calm,8759,20380446513.0,19440270731.25,21044948062.5,0.04
calm,8819,20415456702.0,19447101573.75,21074267904.75,0.04
calm,8879,20392179300.0,19403006827.5,21025198242.0,0.04
calm,8939,20513741085.0,19560199065.75,21245404713.75,0.04
calm,8999,20885327905.5,19930115981.25,21554556828.75,0.04
calm,9059,20512335208.5,19586651242.5,21134999670.75,0.04
calm,9119,20510434102.5,19612832089.5,21083956593.75,0.04
calm,9179,20440283337.0,19478594200.5,21080619524.25,0.04
calm,9239,20156315989.5,19225061289.0,20856666510.0,0.04
calm,9299,20111464822.5,19150474106.25,20885127878.25,0.04
calm,9359,20005569828.0,19110000318.75,20822266194.75,0.04
calm,9419,20286734058.0,19361372172.75,21148751342.25,0.04
calm,9479,19999549354.5,19081735276.5,20942027685.0,0.04
calm,9539,19886920636.5,18964150906.5,20781734267.25,0.04
calm,9599,20004969469.5,19035868241.25,20885849417.25,0.04
calm,9659,20006082121.5,19001347517.25,20792353385.25,0.04
calm,9719,20263981342.5,19191968595.0,21009586511.25,0.04
calm,9779,20241346149.0,19178577279.0,20972173367.25,0.04
calm,9839,20051886280.5,19057095492.75,20920025216.25,0.04
calm,9899,20111627106.0,19143431111.25,20984473800.0,0.04
calm,9959,20351177667.0,19276905906.0,21150378684.0,0.04
calm,10019,20308627503.0,19265337513.0,21183253573.5,0.04
calm,10079,20200778806.5,19235413329.75,21177490963.5,0.04
calm,10139,20151147285.0,19299144750.75,21188300924.25,0.04
calm,10199,20065590859.5,19171878079.5,21053915091.0,0.04
calm,10259,20263582687.5,19228974655.5,21107502281.25,0.04
calm,10319,20182371777.0,19239387599.25,21063866251.5,0.04
calm,10379,20550114463.5,19471824130.5,21223203417.0,0.04
calm,10439,20381122678.5,19411316763.75,21162795072.75,0.04
calm,10499,20345837670.0,19331516227.5,21139899295.5,0.04
calm,10559,20329334167.5,19323893659.5,21133138234.5,0.04
calm,10619,20363437800.0,19528730370.0,21350923584.75,0.04
calm,10679,20269674270.0,19463496682.5,21341829557.25,0.04
calm,10739,20386584319.5,19506686361.75,21414581705.25,0.04
calm,10799,20201081094.0,19369871174.25,21309400779.75,0.04
