regime,seed,cm_defaults,nbcm_defaults,client_defaults,im_mean,total_df,n_margin_calls,client_im_share
calm,123,0,0,0,19074191444.298,5743354171.5,624,0.4878300319599603
calm,124,0,0,0,20652959792.916,7788335187.6,643,0.4840422202036015
calm,125,0,0,0,19178303564.268,7325492224.05,621,0.5167271852439231
calm,126,0,0,0,18362342044.368,4773864214.35,619,0.4532151502829899
calm,127,0,0,0,19769605895.52,7289960287.500001,636,0.5531201476691608
calm,128,0,0,0,19846625423.238,7645915881.450001,641,0.5514240696369123
calm,129,0,0,0,19437332761.512,6762763507.500001,604,0.49614973317856537
calm,130,0,0,0,18388157419.35,5024616770.25,621,0.4572507940149321
calm,131,0,0,0,21526124068.548,7363181034.000001,599,0.47813940673670857
calm,132,0,0,0,19452946426.02,7349640363.450001,610,0.5319883772162008
calm,133,0,0,0,19935517144.356,6072885621.000001,623,0.46311378274885295
calm,134,0,0,0,19920182197.068,5873331528.900001,621,0.4538590145172525
calm,135,0,0,0,20558772202.464,6148141980.750001,602,0.5134121557459812
calm,136,0,0,0,18519738237.468,6654610670.400001,618,0.4507658350566398
calm,137,0,0,0,17310362615.244,6932283415.200001,630,0.49200763696821337
calm,138,0,0,0,19575729466.668,5152673468.25,623,0.45422933344425875
calm,139,0,0,0,17070560896.428,6488385799.500001,621,0.4678525645707395
calm,140,0,0,0,20372640556.914,6962393790.000001,641,0.4653305758050427
calm,141,0,0,0,18997330753.962,5845713177.150001,620,0.46371021415382635
stressed,42,0,0,5,30397361093.762062,4145275098.6675925,1397,0.5053898508999837
stressed,43,0,0,2,30516196052.991337,3914474917.311744,1511,0.467623007096361
stressed,44,0,0,7,30057974314.33333,4746238991.158582,1534,0.5081602411327294
stressed,45,0,1,10,27278315549.455353,4447631932.765853,1440,0.5103380853157721
stressed,46,0,0,7,27396828042.741943,4753867150.78273,1511,0.5146273052911429
stressed,47,0,0,8,30706107466.520195,4434416535.596479,1423,0.5592607975849633
stressed,48,0,0,12,26779655980.076885,4525844542.92953,1529,0.4307863867410756
stressed,49,0,0,9,30077732698.504696,3860223172.401651,1464,0.49707500426024903
stressed,50,0,0,5,26722901009.30322,4749912975.950099,1529,0.5157221200374431
stressed,51,0,0,9,29959977361.0962,4347061644.001616,1546,0.41481873556697
stressed,52,0,0,7,26096650383.102177,3733837565.911211,1430,0.5467192071634608
stressed,53,0,0,9,27563269591.847023,4565288718.143218,1407,0.511915698047832
stressed,54,0,1,7,27795404272.606724,5082696329.864354,1511,0.5965781337599685
stressed,55,0,0,15,27052731113.509544,4216602753.42068,1454,0.5788566065876729
stressed,56,0,0,7,30398146233.537506,5493297844.484796,1609,0.4614147090576885
stressed,57,0,1,12,25651810347.3781,4637867314.72042,1580,0.40353200506820036
stressed,58,0,1,9,27740757184.070198,4185731310.8302565,1429,0.5369258403636964
stressed,59,0,0,13,26992413541.39268,3983119392.4062247,1429,0.5212247229590784
stressed,60,0,1,9,28808615971.804493,4041159400.9494786,1488,0.39518774157548836
stressed,61,0,0,6,27471504353.00034,3799962014.1587405,1494,0.43239145261121437
stressed,62,0,0,7,29895013760.30321,4178639566.9848104,1556,0.4581784404183058
stressed,63,0,0,16,26745105594.8974,3878412842.8381467,1395,0.42407992465366906
stressed,64,0,0,4,32918627519.0375,4459275139.532129,1398,0.5901963217065096
stressed,65,0,0,5,28108502900.511642,4374066370.7833805,1575,0.4523255222292096
stressed,66,0,0,7,30277747515.932632,5501704698.284031,1467,0.5066136089248167
stressed,67,0,0,11,27710732180.05695,4696837061.834424,1460,0.4839634509212506
stressed,68,0,0,11,29959262149.610218,3905304624.646553,1488,0.39221314999184265
stressed,69,0,0,11,29712435039.116512,3554183165.3609133,1557,0.4429860972578371
stressed,70,0,1,8,27288278283.448532,4097474128.5659237,1431,0.47160786927723825
stressed,71,0,0,5,29971163574.279392,4814364759.842136,1467,0.5484645045426765
stressed,72,0,1,7,29305091815.9584,5254668082.918531,1435,0.5140296248684475
stressed,73,0,0,6,24869517232.81819,3501530514.847744,1524,0.4729902444412987
stressed,74,0,0,6,27795073111.101673,4644667938.574911,1450,0.48201201444009584
stressed,75,0,0,14,28582132096.38637,3817672935.957089,1439,0.6189183580269868
stressed,76,0,0,7,26564173995.700027,4059672217.165968,1448,0.4832973904728574
stressed,77,0,0,5,30556346050.269253,3790779334.6487384,1442,0.5019816495774528
stressed,78,0,1,10,31456538456.591366,6047081553.059449,1363,0.6019773185880367
stressed,79,0,0,6,27747326010.672215,3808186697.810613,1426,0.45355904583310763
stressed,80,0,0,10,27407258993.03396,4148110837.892633,1434,0.580603228344961
stressed,81,0,0,7,28401939434.159607,5252510809.969559,1438,0.5954518381391507
stressed,82,0,1,9,28985264741.144424,3863386848.972372,1423,0.5081109669595665
stressed,83,0,0,6,26750306542.291924,3933777014.473455,1418,0.5180634062523471
stressed,84,0,0,4,29784412964.369007,5854551257.193997,1434,0.5947513368811376
stressed,85,0,2,7,29356305606.731197,6559358032.48809,1393,0.5443665098253946
stressed,86,0,0,8,30699364500.708565,4010177927.1756415,1539,0.4571708722396698
stressed,87,0,1,18,26763979375.120914,4016480079.271603,1484,0.4219121545272559
stressed,88,0,0,3,26007235469.275764,3814038876.5629077,1489,0.4990226540869535
stressed,89,0,0,2,28884204817.175694,5448508153.264634,1583,0.5552330255120727
stressed,90,0,0,8,27999400386.239063,3837766010.5372787,1330,0.5525258442278153
stressed,91,0,0,9,29637843451.981552,5115064832.402916,1488,0.40550393296266213
stressed,92,0,0,4,30638768909.855534,5063863631.312611,1399,0.5161760996572331
stressed,93,0,1,18,27915173640.860535,5225251430.896775,1466,0.5574915837975559
