exp,regime,seed,direct,margin,netting,decouple,drawdown,client_defaults,cm_defaults,nbcm_defaults,deepest_waterfall,mutualised_l3,survivor_l4,total_df,ccp_cash_used,client_loss_absorbed,im_mean,im_peak,severity
,stressed,51,False,reactive,gross,False,-42.400649422530535,23,3,0,3,True,False,16536344924.000002,629969803.3199999,0.0,22396968646.201862,32595696961.567974,1.25
,stressed,42,False,reactive,gross,False,-48.326630013652625,26,4,0,3,True,False,14043595896.000002,355016633.4000001,0.0,19193256276.70956,27931271847.009613,1.5
,stressed,43,False,reactive,gross,False,-48.28604110549426,19,4,0,3,True,False,14746716820.000002,323854203.4200001,0.0,22506412113.325176,30945664302.43377,1.5
,stressed,44,False,reactive,gross,False,-48.41149773071104,21,2,0,3,True,False,13576985422.000002,398733862.55999994,0.0,22080441124.946304,34169258926.143406,1.5
,stressed,45,False,reactive,gross,False,-48.348769418102655,26,3,0,3,True,False,14652855888.000002,285574689.18000007,0.0,21506802676.331196,27570895110.383045,1.5
,stressed,46,False,reactive,gross,False,-48.348769418102655,27,4,0,3,True,False,13075349540.000002,1185973341.3,0.0,19505009087.51504,26557568641.13848,1.5
,stressed,47,False,reactive,gross,False,-48.4410169366444,26,4,0,3,True,False,13319715222.000002,1497187399.6200004,0.0,23701335075.029766,35703766358.30557,1.5
,stressed,48,False,reactive,gross,False,-48.36721892181101,20,3,0,3,True,False,15818818268.000002,580158407.4000001,0.0,22664690390.204933,33282294854.91164,1.5
,stressed,49,False,reactive,gross,False,-48.37828862403602,19,3,1,3,True,False,23665719462.000004,1231500973.349062,0.0,23386017182.82938,30984591025.15537,1.5
,stressed,50,False,reactive,gross,False,-48.37090882255267,20,5,1,3,True,False,14908479960.000002,1279040721.0035079,0.0,19300958180.71029,27392656368.48648,1.5
,stressed,51,False,reactive,gross,False,-48.348769418102655,19,3,0,3,True,False,15993424568.000002,661975187.28,0.0,19636594217.716747,27651116205.148373,1.5
,stressed,42,False,reactive,gross,False,-53.710195195749236,23,5,1,3,True,False,10640603556.0,1156211392.116986,0.0,17962253238.44504,24599535906.93129,1.75
,stressed,43,False,reactive,gross,False,-53.69174569204088,22,5,1,3,True,False,12734717292.000002,1064184709.7693511,1250847.9952624887,20491675933.769306,28121158509.419193,1.75
,stressed,44,False,reactive,gross,False,-53.831961920224344,26,3,0,3,True,False,11696890832.0,660600015.9000002,0.0,21848035158.850883,30166522535.06839,1.75
,stressed,45,False,reactive,gross,False,-53.75078410390761,25,4,0,3,True,False,12815897050.000002,1009645311.84,93769483.91999668,19736637473.887627,30027066159.011032,1.75
,stressed,46,False,reactive,gross,False,-53.79137301206598,27,5,1,3,True,False,13963258100.000002,1138919596.3200002,64904952.92476714,16743708763.573301,24352077807.795776,1.75
,stressed,47,False,reactive,gross,False,-53.74340430242426,23,4,0,3,True,False,11182032752.0,909455286.1138655,20086659.84577465,20709741464.838684,31134609365.970512,1.75
,stressed,48,False,reactive,gross,False,-53.38179402974059,34,4,1,3,True,False,12040948568.000002,1004377921.7141292,0.0,18467884231.37511,27944835712.826847,1.75
,stressed,49,False,reactive,gross,False,-53.7766134090993,23,5,2,3,True,False,16745958790.000002,1241140360.68,34370220.44460577,20569786546.71863,28624952588.263714,1.75
,stressed,50,False,reactive,gross,False,-53.78030330984096,19,5,1,3,True,False,14480022018.000002,1048090782.88467,206223320.30783963,17356882819.12055,25371265898.504,1.75
,stressed,51,False,reactive,gross,False,-53.798752813549314,24,4,1,3,True,False,18000812676.0,948607794.4147781,296104670.1614377,18669953776.224003,25304429078.192757,1.75
,stressed,42,False,reactive,gross,False,-58.521825762886984,23,5,1,3,True,False,13867918504.000002,889548329.3882301,270378795.5437033,17550874966.300766,22193779549.606617,2.0
,stressed,43,False,reactive,gross,False,-58.58455407549536,26,5,1,3,True,False,8779819048.0,900938872.6800001,64789105.2132034,17337026387.123295,27166173545.4239,2.0
,stressed,44,False,reactive,gross,False,-58.62514298365373,27,3,0,3,True,False,12798449818.000002,1099400827.8,229472167.20422602,18902789791.993153,25219682600.732563,2.0
,stressed,45,False,reactive,gross,False,-58.64728238810376,30,5,2,3,True,False,14985470830.000002,780499053.1800001,0.0,17962353939.72189,24042919288.360344,2.0
,stressed,46,False,reactive,gross,False,-58.47385705324526,34,4,0,3,True,False,8410642240.000001,541667673.767059,108164915.64995694,14789172552.867483,22436919016.428997,2.0
,stressed,47,False,reactive,gross,False,-58.61038338068706,31,5,0,3,True,False,11807152500.0,954835316.1600002,33857065.91098101,17989564064.727657,25985785261.357216,2.0
,stressed,48,False,reactive,gross,False,-58.57717427401204,28,5,2,3,True,False,19112630460.0,925056138.7693408,157385960.35684454,18340035358.09837,28080540965.529507,2.0
,stressed,49,False,reactive,gross,False,-58.55134496882034,33,5,1,3,True,False,9059465448.0,1042636646.0400002,94475664.28466725,15565265832.967508,24179699072.8089,2.0
,stressed,50,False,reactive,gross,False,-58.525515663628646,26,4,0,3,True,False,13638191688.000002,665426727.2400001,97185310.77435732,17128803365.399334,25608237077.86709,2.0
,stressed,51,False,reactive,gross,False,-58.606693479945385,32,4,1,3,True,False,11377880360.0,312437731.31999993,0.0,15850904978.15056,26335976906.366188,2.0
