ft_sigma_c,zi_alpha,zi_delta,zi_mu,D,dKS,dV,dACF1,dACF2,dHill,ret_std,ret_kurtosis,acf_r_1,acf_r_5,acf_r_10,acf_r_20,acf_absr_1,acf_absr_5,acf_absr_10,acf_absr_20,hill_tail_index,ks_stat
0.5,0.02,0.18,0.0125,38.64585613112981,14.805554949125323,9.388884032152225,5.282135755532657,5.351971581570358,3.817309812749241,0.0003744329468606966,31.569983512969955,-0.12173053723350509,-0.012318079232202713,0.0028507916666162046,-0.0028113352956127195,0.3521665399146415,0.1879933442412671,0.1253547086225952,0.0869487819404936,2.363886490322706,0.12708908245557904
0.5,0.02,0.18,0.046875,37.03192749563962,16.85392331917146,10.017951979750029,4.531197463123959,3.8391447506571192,1.789709982937054,0.00038343900330917104,18.487389703973253,-0.1124509447031563,-0.0006220388003065658,0.002285145676167735,-0.003178266815994042,0.29593848053901306,0.17076748327502542,0.1407077144719647,0.10674859556282723,2.5560735796531504,0.14467202734178697
0.5,0.02,0.18,0.08124999999999999,39.32477688573638,17.454192412667748,10.970501727914035,4.597458758002337,3.913920401328814,2.3887035858234347,0.0003970761896174297,22.237523701631122,-0.11419409889771957,-0.0010043139786077107,0.0008595445342021477,0.0005290918868044378,0.3385836766476081,0.19368070303531773,0.1496387468810487,0.11866103998646783,2.499297663925759,0.14982466421227403
0.5,0.02,0.18,0.11562499999999999,39.02595612417746,18.564119777445754,10.166829314388638,4.353127886116827,3.95512342731155,1.9867557189146987,0.00038557040689565764,18.219558735054317,-0.11148623778110196,-0.0017768725220214034,-0.00045784912789635174,-0.0014916078473435222,0.3276705824085608,0.17972704997920577,0.14353121354373422,0.1234132991570643,2.537396498551784,0.15935214567897238
0.5,0.02,0.18,0.15,39.15821408356895,19.44674718377425,10.011914058969023,4.347541344528315,3.2816981360264297,2.0703133602709403,0.00038335256136662284,18.895434306870737,-0.10902556461339229,-0.002200666282552058,0.0007419565379249262,-0.0025846921768998116,0.3415120728794032,0.20295681690999423,0.16698697860893577,0.12971570172977306,2.529476444679487,0.16692851195540587
0.5,0.02,0.26,0.0125,33.02138876086544,13.70350880851571,7.285134213994445,4.626243162715732,4.579879870148965,2.826622705490592,0.0003443145952769813,34.801793731144265,-0.10266645081561838,-0.005803787536457952,0.0071300700778801325,-0.0010305100247674443,0.27681765970178857,0.15722625599278658,0.1135199090649982,0.08665531501319185,2.45778927566614,0.11762925245832101
0.5,0.02,0.26,0.046875,34.933521435135894,16.776726850384794,8.393360563746956,3.7663477337903912,4.351386280133271,1.6457000070804821,0.00036018052693296697,21.659642741855624,-0.09788386592719078,0.0031774850185838782,0.00018327640276092141,-0.002560632333860553,0.27374287029339356,0.14636210595306304,0.11809567919563196,0.10733524074212901,2.5697236390423277,0.14400938224536064
0.5,0.02,0.26,0.08124999999999999,35.326400548480265,17.47538337283383,8.546996331969039,3.5833785777864327,4.338599820564879,1.382042445326083,0.0003623800546730092,20.46169253433866,-0.0959429201232294,0.00014044405069726834,-0.002723160061569089,-0.0019108087891368366,0.2818893058332088,0.14701527428511876,0.1215152763110688,0.10570443004851902,2.5947145561989116,0.1500065648362705
0.5,0.02,0.26,0.11562499999999999,35.46495846046867,18.034392284737258,8.595413302239308,3.552180505045369,4.442856763002324,0.8401156054444071,0.00036307321662631373,20.95698618334554,-0.09411673299634467,0.0038465386691107994,-0.0015118759725465537,-0.0016645208660454618,0.2705945749262639,0.13998587109059876,0.11750811234520002,0.11236964188299413,2.64608136953927,0.1548050293276333
0.5,0.02,0.26,0.15,34.91053151931177,18.588077302241615,8.146297663746372,3.4095958185402075,4.198853972460139,0.5677067623234292,0.0003566434488919925,17.041880177079605,-0.09018449883369077,0.0015765730380998388,-0.002136448184240521,-0.0009280199577132647,0.2718690371385252,0.14585331796177334,0.12480827504033536,0.11146735571294343,2.671901781386584,0.15955779415717364
0.5,0.02,0.34,0.0125,32.39454956251361,12.900827110424128,6.188104163442229,3.6130413000134824,6.056148337362881,3.6364286512708883,0.0003286089555306327,32.368904940361034,-0.08921941518874525,0.0011614539561093493,0.0009844691483473008,4.694792888927223e-05,0.23665151988958333,0.12751597010411989,0.0986634565361738,0.0944441699977997,2.381031403943287,0.11073913041528527
0.5,0.02,0.34,0.046875,35.022300061796344,16.056757425159898,8.062492458306481,3.500223165683888,5.5016844775075695,1.9011425351385054,0.00035544365097866723,26.098305767770857,-0.09362725486931837,0.003744730233961551,-0.003885856919296838,-0.003929849560390734,0.25072926839315973,0.1361169304832812,0.10180619866749775,0.09712208235178932,2.545511388066143,0.13782925228992737
0.5,0.02,0.34,0.08124999999999999,35.33559802311896,17.59546752392433,7.989255599391531,3.639461697462626,5.161917571051498,0.949495631288973,0.0003543951548853347,21.07731419099169,-0.09058366418920466,0.0042195283222133005,0.0010320342068693017,-0.0035690244404160115,0.2524544017297355,0.1336080457767861,0.10989451201585966,0.10758570682682549,2.6357137277152405,0.15103735257992415
0.5,0.02,0.34,0.11562499999999999,34.54929244072952,18.037350759047992,7.712419824810548,3.4074024804727228,4.727498633695042,0.6646207427032138,0.00035043183324042474,23.545740215062594,-0.08509122743986665,0.0018919642072337181,0.0013935884116681619,-0.0010735177715618315,0.25968023086571546,0.1389497398911388,0.11772285997621257,0.110118690143297,2.6627157400727297,0.15483042451119186
0.5,0.02,0.34,0.15,33.18140391024354,18.618689695036327,6.983480377409389,3.082155547277913,4.421535139833841,0.07554315068606637,0.00033999596564315864,20.941866315119167,-0.08103792675611467,0.002364865037221798,-0.002441717625496953,-4.721170312174498e-05,0.24821650527608344,0.1466987362579618,0.12914954284650293,0.12029505684406643,2.718551761626376,0.15982056721265303
0.5,0.13999999999999999,0.02,0.0125,35.92766202913959,20.907964286640826,7.63177279187338,3.7247790746577656,3.133381230253275,0.5297646457143353,0.00034927724932972375,26.469580292454857,-0.0918176733319311,-0.004745670672650622,-0.0021030936715352253,-0.00021369768490621532,0.4039552874816628,0.24002828515808186,0.19196709648536112,0.18612544283119267,2.6754981443606396,0.17947142179632902
0.5,0.13999999999999999,0.02,0.046875,34.35723155844925,20.28906156274775,7.388262140203929,3.743565496914228,2.8025879418473894,0.1337544167359519,0.0003457910270812139,23.544473219972563,-0.08863295809012357,-0.006545631238221554,-0.0027587560480040936,0.0019344325109039017,0.38535162130773815,0.22834055167495013,0.18421724327641184,0.17135296490096633,2.713034176931469,0.17415883610946314
0.5,0.13999999999999999,0.02,0.08124999999999999,35.79270499621062,20.532734348935914,7.7116758482827725,4.090386657258729,2.8530500359386046,0.6048581057945902,0.00035042118209434255,26.31362260039666,-0.09100017634511687,-0.008020365524683963,0.0011059277859050002,0.001820629869264145,0.3880468400130849,0.23072459442702908,0.17753038140202693,0.17983783724344216,2.668380372249802,0.1762504936611362
0.5,0.13999999999999999,0.02,0.11562499999999999,35.344587397639195,20.27175890595074,7.760194324182108,3.754266663581962,2.93149155637132,0.6268759475530655,0.0003511157972538209,25.776196530315037,-0.0910830171677733,-0.0068607469623610945,-0.0022095339103815645,-0.003620590238252785,0.3851843040658523,0.2323323556156884,0.18237529333859526,0.1699473384217329,2.666293399831141,0.17401031220854002
0.5,0.13999999999999999,0.02,0.15,34.8148779962296,20.53529167870521,7.5512591623452545,3.7435776186466256,2.941396469095157,0.04335306743735421,0.0003481245752900261,20.32153227736618,-0.09060396288064156,-0.005077447733047084,-0.002088710813531576,0.000788153008258444,0.38627582061423515,0.23512420954666793,0.18362098171559926,0.17202671619039858,2.721602915169552,0.17627244546875387
0.5,0.13999999999999999,0.1,0.0125,35.776978007804566,21.654954328402553,7.219299283786665,3.551279178714004,2.9912184742734134,0.360226742627939,0.00034337206895689655,19.26709224429606,-0.09224157464142795,-0.000573212097460808,-0.0029310895750991415,-0.00016136412733132267,0.3878003971173558,0.2273235425564107,0.19134921436397423,0.15696825676519013,2.691567881419347,0.18588349343681565
0.5,0.13999999999999999,0.1,0.046875,35.41836172272805,21.7185272089008,7.4733208600319045,3.4323857139788645,2.6641012482646733,0.13002669155181154,0.00034700877094359157,22.17220013104951,-0.09076294420307494,-0.0019000442336680435,-0.003966094624358422,-0.0021108366237082435,0.3754326245611521,0.22287897676199842,0.18329684619792774,0.16379744231452037,2.7133875112740893,0.18642919530880508
0.5,0.13999999999999999,0.1,0.08124999999999999,36.369572326315385,21.64164459240485,7.173009269492309,3.570303989735456,3.0735142007404845,0.9111002739422873,0.0003427093575863242,20.436016211792296,-0.08971302656184131,-0.001409316877284212,-0.000991514802777509,-0.0007327536611335317,0.356722039705541,0.20133499649456676,0.17369298087275556,0.1517091598803374,2.8120712644386785,0.18576924428225938
0.5,0.13999999999999999,0.1,0.11562499999999999,35.6353616411022,21.592084716922646,7.652002510252325,3.838727526892468,2.5409026454718937,0.011644241562865148,0.0003495668682593692,23.686811661646143,-0.09391515727439786,-0.004334879572320527,-0.0009456792793419057,-0.003621973722854879,0.3590964724903633,0.21736833524040078,0.17937662305787058,0.16144532694741,2.726815863297851,0.18534382834052066
0.5,0.13999999999999999,0.1,0.15,36.19632695742637,21.91284935446723,7.600410624042871,3.7391121293761045,2.2598243500921122,0.6841304994480614,0.0003488282525958945,16.134108193593335,-0.09261483872965302,-0.002117543241572363,-0.0020448803534875875,0.0012698888595549969,0.355759269523548,0.22062522035383345,0.18229707060140965,0.16660722332605116,2.790557818005773,0.18809723296532643
0.5,0.13999999999999999,0.18,0.0125,36.76350354106954,22.860502557503505,6.77910713400331,3.6505061655992264,2.828644847100082,0.6447428368634115,0.00033707005442211874,19.639363006433307,-0.09204033979047443,-0.003317224271234711,-0.001281539785441463,-0.0022734463900188516,0.3658597714744367,0.22543306790115678,0.18689805564638381,0.14447283250301926,2.786824438215356,0.1962317727697318
0.5,0.13999999999999999,0.18,0.046875,36.50637167436578,22.089584043939286,6.675186067656474,3.6701321874502613,3.0741281995008234,0.9973411758189342,0.0003355822676205829,17.961826796889476,-0.09073318101539618,-0.00295186640828062,-0.0002910512494544557,-0.0027450856518124946,0.35311944553181834,0.21278795634588862,0.17970459327532154,0.13196680883302067,2.8202456525349926,0.18961430203840446
0.5,0.13999999999999999,0.18,0.08124999999999999,36.10653101706617,21.628125621546666,6.701051202437095,3.390425737719748,3.040610380544844,1.3463180748178147,0.00033595256603551754,16.1242826582002,-0.0878565665949897,8.34366717778934e-05,-0.0016201588805916274,-0.00126524110930882,0.34689188818963573,0.2098992905790569,0.1669340560765423,0.14130180133135478,2.853323606811785,0.185653199081116
0.5,0.13999999999999999,0.18,0.11562499999999999,35.74536822461145,21.167713373456472,6.994068654137918,3.3647556356388417,3.3875185238239256,0.8313120375542823,0.00034014755279407506,18.629321146291833,-0.08896263808743687,-0.0007138694535080446,-0.0038702209225135744,-0.001089651806279606,0.33642416957260396,0.1980472101113402,0.1593247891026176,0.13040887860110278,2.8045084955487045,0.18170107635676314
0.5,0.13999999999999999,0.18,0.15,37.150430442393954,22.179044074421242,7.190517722430346,3.600722366520256,3.223044661319184,0.9571016177029215,0.0003429600174968912,25.531785562701018,-0.09061004386394256,-0.0008145079428894487,-0.00023818936474949656,-0.0011997205481443912,0.3563535275537914,0.20048417768414617,0.18031871171944147,0.13852316666229716,2.816431525389906,0.19038221605645156
0.5,0.13999999999999999,0.26,0.0125,36.40914196175688,22.577109798182732,6.303921262588104,3.393173744152776,3.587353393382677,0.5475837634505921,0.00033026705198363016,17.96209639809958,-0.09009247989648421,0.0003778295097275018,-0.0029775384199945275,-0.00298933511166859,0.3697076540892759,0.21936608859746728,0.16506827260806503,0.1304704650446445,2.7776151656327173,0.19379916380097717
0.5,0.13999999999999999,0.26,0.046875,36.65460469684071,22.626669673664928,6.659783104825963,3.3089718494889935,3.6323676552876583,0.42681241357316935,0.00033536175097646667,20.477535118914886,-0.09028482716159579,0.0014241798965438934,-0.0035178178865232237,-0.0024976511569484044,0.3550601571430407,0.2022654124106006,0.1580335878075848,0.13482985095088804,2.7661677913204,0.19422457974271579
