ft_sigma_c,zi_alpha,zi_delta,p_zi,zi_mu,D,dKS,dV,dACF1,dACF2,dHill,ret_std,ret_kurtosis,acf_r_1,acf_r_5,acf_r_10,acf_r_20,acf_absr_1,acf_absr_5,acf_absr_10,acf_absr_20,hill_tail_index,ks_stat
0.25,0.08,0.12,0.08,0.10416666666666666,26.7393888263922,14.952349206355006,5.320415293644386,4.9863801822625895,1.416039482910871,0.06420466121935103,0.0018226252131258156,25.021400451008557,-0.10186956319716671,-0.011411186814163123,3.846643095907545e-05,-0.004034327825424401,0.43087618129911903,0.3288661572900476,0.31004986824685626,0.3029796480729396,2.731915122484182,0.13693227549729792
0.25,0.08,0.12,0.08,0.15,28.008801895336084,15.202203727478915,5.605107919505888,4.694656720256976,2.0646355057468013,0.44219802234750405,0.0018540833672521925,24.06989221208961,-0.10003053900830883,-0.007222057819321598,0.0031842741125167415,-0.004185234449556802,0.4092896807787212,0.30477186955424146,0.2762293675170646,0.27345024055905454,2.7970208661133675,0.1392204208347706
0.25,0.08,0.12,0.18,0.0125,22.87596983997858,11.160587126987123,3.6761815892733276,4.54813116623942,1.6776996792442391,1.8133702782344687,0.0016409395894277454,36.36998403655552,-0.10119164420260539,-0.004814445103699793,0.002707278717054473,-0.00899976954006649,0.44983256391809184,0.3414169384566296,0.30730530207816575,0.2898307012295334,2.5070333595672634,0.10220765781303898
0.25,0.08,0.12,0.18,0.058333333333333334,24.409533026218803,10.883110498000267,4.834903743489132,4.930339009366668,1.5644776134878668,2.1967021618748674,0.0017689768366401166,31.73451397906741,-0.10526567523351171,-0.009333093642175995,0.003319628112690414,-0.00844746032920737,0.4554418594625937,0.34399239882983407,0.30928410757188973,0.301802592500618,2.4577502334088495,0.0996665516844889
0.25,0.08,0.12,0.18,0.10416666666666666,24.211878003044024,10.90194375336137,4.902282845576932,4.831867774557227,1.5923832277528862,1.9834004017956048,0.0017764221372409338,34.229496312870666,-0.10484112059144506,-0.002817282668126654,0.004349952474836247,-0.00351186354750513,0.4335799981657115,0.3439910523554857,0.2971492879361182,0.28850217813691525,2.4851734089922806,0.09983902495113262
0.25,0.08,0.12,0.18,0.15,23.614333411058112,10.644555930093013,4.808319231209944,4.437621328269861,1.4400208810095898,2.283816040475702,0.0017660392836138569,30.668532962784653,-0.09950618613397161,-0.0012760634227938735,-0.0008519014813790086,-0.0065603223855874625,0.4311554590802105,0.34363791564703444,0.3068665361519976,0.29143155651710045,2.4465504233944517,0.09748189030700238
0.25,0.08,0.12,0.27999999999999997,0.0125,22.839426100357613,9.699126510965865,3.944651445614374,5.286084648688829,2.134702505928395,1.77486098916015,0.0016706051492345931,42.20806016782377,-0.10976686403042639,-0.008734361210702516,-0.0007634461932417846,-0.004101146517720952,0.4656012010924364,0.33861077889602287,0.29130210386263616,0.28079176544114276,2.5119843125996515,0.08882373232149021
0.25,0.08,0.12,0.27999999999999997,0.058333333333333334,22.876011767313006,9.833470399208364,4.802398389509513,5.346830530236993,1.7023970467207437,1.1909154016373908,0.001765385038530387,40.83688382972973,-0.10934522889245517,-0.009532956154523903,0.007264623550014326,-0.00631311168364337,0.4634944506198994,0.3532600270144075,0.3137146520196183,0.2923103678961281,2.587059372326565,0.09005404162354835
0.25,0.08,0.12,0.27999999999999997,0.10416666666666666,22.291065558806334,9.42792763376604,4.975462368414563,5.032958019397654,1.4858754809291281,1.3688420562989512,0.0017845083765713507,30.52995323434235,-0.1078548278651519,-0.0076876973585322216,0.004759238524142772,-0.0071328729689975195,0.4641251116664171,0.3607961935648863,0.3327105595194863,0.3017752209256617,2.564184202942387,0.08634011728182134
0.25,0.08,0.12,0.27999999999999997,0.15,20.98354242302627,9.124084447273644,4.459857847875577,4.646309882012705,1.7458666832960106,1.0074235625683343,0.0017275347671345442,35.703834071219426,-0.10045652331663056,-0.005153152445207836,0.003959209636624169,-0.004760363383041681,0.4431726475562527,0.3371970437021399,0.29963004359324036,0.2875422201667612,2.610650030552018,0.08355754857997011
0.25,0.08,0.12,0.38,0.0125,22.57212126950864,9.03368482154037,3.7313208973391467,5.157421962686979,3.001236175241285,1.6484574127008584,0.0016470324091708186,47.40133906540891,-0.1088137979588692,-0.011094415545121777,0.002111870587531955,-0.005273033645356016,0.45484802836587246,0.3087424827572159,0.2693788485101345,0.2361593025642207,2.528235409029089,0.08272967690008048
0.25,0.08,0.12,0.38,0.058333333333333334,22.42089223237123,8.770019246484994,4.997748543360355,5.535337081882771,1.8637570474390288,1.2540303132040822,0.0017869709690751451,32.48244680596429,-0.115934468948844,-0.011484155345986657,0.0028110847868230613,-0.005447165691904638,0.46851909401950453,0.34886416009103827,0.3052067207107783,0.28707514470043466,2.5789449934241926,0.08031505116706916
0.25,0.08,0.12,0.38,0.10416666666666666,21.907109500863196,8.425998448555593,4.992204290083056,5.448057048002622,1.9304360938601521,1.1104136203617772,0.0017863583365084071,37.0892237138496,-0.11450159914916448,-0.010346293189841408,0.004695075944426668,-0.007812750986313505,0.4540732554301188,0.34496633552206424,0.30065345210765676,0.27400964036968767,2.5974090969696237,0.07716453949637814
0.25,0.08,0.12,0.38,0.15,19.625079692804313,7.780645564848607,4.882048681065624,4.949974116292769,1.5675914020553656,0.4448199285419476,0.0017741862891437483,30.533564021165837,-0.10747063975964906,-0.005430659887008342,0.0025748644110991114,-0.003889094952687674,0.44441225318815053,0.340922617281197,0.31522844598352767,0.28765985778117525,2.682981258545865,0.07125445555938836
0.25,0.08,0.21999999999999997,0.08,0.0125,25.67726181368302,14.486540023757165,4.0405719553893835,4.058426697923639,1.397268008968339,1.6944551276444941,0.0016812042371851564,36.15072516346137,-0.09320465429414222,-0.0031013858352368696,0.0007633325177785021,-0.007371135677848906,0.43095422464374317,0.33917391447997214,0.30565666771735084,0.30004199869422155,2.9580175051537463,0.13266643670231115
0.25,0.08,0.21999999999999997,0.08,0.058333333333333334,27.274902878846603,15.123104054962294,4.562139492935666,4.193026181545571,1.6365363470428136,1.7600968023602572,0.0017388367520203942,26.553776603072947,-0.09190090388476461,-0.003187208332602004,7.337577836777065e-05,-0.0038429169710929908,0.39443725131979973,0.30805419492573755,0.2881285719020588,0.2841108102639416,2.9664567377726048,0.13849603311486713
0.25,0.08,0.21999999999999997,0.08,0.10416666666666666,28.101400853592345,15.028937778156813,4.952557086987355,4.403049276877546,2.327796834541644,1.3890598770289861,0.0017819773736299689,27.301621189890618,-0.09711013430476273,-0.003302553820468401,-0.00027923862627780475,-0.005130956256258745,0.38967269599487225,0.28539308126051804,0.2634198026892906,0.25793532864965163,2.918754314935049,0.1376336667816489
0.25,0.08,0.21999999999999997,0.08,0.15,28.67628707686119,14.954860307069819,4.931402452572011,4.31370334902116,2.381127231500898,2.0951937366973015,0.0017796398148403401,21.30218276741534,-0.09348123634512208,-0.002366730320303984,-0.0007069168720437838,-0.0029627281055439087,0.3693879011081808,0.2730029946089257,0.256142651926722,0.2512635849092176,3.0095385298046042,0.1369552719328504
0.25,0.08,0.21999999999999997,0.18,0.0125,22.402984321907596,11.027498789102017,2.5191354411587454,4.267692058739256,2.7216570956568336,1.8670009372507426,0.0015130875386464005,49.727270617382956,-0.09298846520686971,-0.004382928629091949,0.002751060955744096,-0.003267944580250738,0.42270934749152933,0.2988459932288923,0.26162035989079985,0.2451292956342707,2.5001383251413314,0.10098884672875696
0.25,0.08,0.21999999999999997,0.18,0.058333333333333334,22.010401676502497,10.998621130881677,3.2047987947488465,4.166964636099364,2.137891249501555,1.5021258652710534,0.0015888524215293843,51.554825037474856,-0.09075167412836178,-0.005391669601470202,0.0027939105612777484,-0.0107798223675741,0.4014505663354946,0.3007209020448669,0.28019193634953804,0.2587234779357357,2.5470485482974734,0.10072438771990344
0.25,0.08,0.21999999999999997,0.18,0.10416666666666666,22.752070104189855,10.855488390137321,3.7128585042138984,4.111235586085172,2.156283720565663,1.9162039031877993,0.001644992339440462,38.69461794158616,-0.0953481393961217,-0.0011034156570715488,0.0020262714634004656,-0.006593250288305115,0.41763776396866764,0.3128729290339059,0.2781638000937921,0.2647557978258533,2.4938125377984792,0.09941359089341151
0.25,0.08,0.21999999999999997,0.18,0.15,21.310497592256727,10.677200239385584,3.4626784090016036,3.822547473539475,1.9814019601559192,1.366669510174143,0.001617347773759408,39.70650428796724,-0.0873246257568392,0.0007339219583065246,0.0024643435524426957,-0.006864028531173909,0.39580130000118,0.3069599036846094,0.2764709447345586,0.26550662055051144,2.56446351668936,0.09778084396918474
