ft_sigma_c,zi_alpha,zi_delta,D,dKS,dV,dACF1,dACF2,dHill,ret_std,ret_kurtosis,acf_r_1,acf_r_5,acf_r_10,acf_r_20,acf_absr_1,acf_absr_5,acf_absr_10,acf_absr_20,hill_tail_index,ks_stat
0.5,0.18,0.5,71.60640527077025,28.88175603455468,7.800052163363943,6.675131978595492,7.133356007515543,21.11610908674059,0.0003661321661205015,1.1594501338290693,-0.07660077838507094,1.567778023306837e-05,0.0027977607059003306,0.0003815636309413897,0.24245482001293792,0.18103606450392162,0.1530428380248476,0.1272978121286089,4.379535206564987,0.23122304982716446
0.5,0.26,0.05,53.51451124544864,26.480116167686894,4.8580270287429155,4.526258962849454,5.500184607796073,12.1499244783733,0.00034017923924724796,3.473368081998294,-0.05217153879146794,0.0026727057347243374,0.0013575801567115898,0.003782534858330454,0.27339421442619805,0.1881033024852328,0.1655269682458497,0.14692663969597683,3.7757888223107536,0.21199587770025896
0.5,0.26,0.125,59.31935034788165,26.617087188425504,5.552168483686051,5.011320190068905,7.299792604374758,14.83898188132643,0.0003463025732078715,2.307318425824584,-0.05675769475893655,0.0022712474901195076,0.0013399713498570848,0.0020985561530139515,0.2267272729698139,0.17259704571647383,0.15660371496139705,0.140692544855927,3.9568590048909744,0.21309244735188365
0.5,0.26,0.2,60.878818463165,26.314213521926433,5.824882048818141,5.204435231844271,6.742536588339443,16.79275107223671,0.0003487083022174332,2.0504713100358867,-0.06238940668649958,0.0003176725881321576,0.0012574647627591907,0.0029521280576450294,0.23707257562027198,0.1860363602776999,0.1601543596763409,0.13721017660833723,4.088417871477171,0.21066768575510042
0.5,0.26,0.27499999999999997,63.0543084242536,27.10790669576999,6.408045892944292,5.28121298921892,6.737318566030826,17.519824280289562,0.0003538526527614271,1.4554162476407404,-0.0644882849680511,-0.0005449034451198822,0.00254299065027001,0.0043306950121236795,0.2305419248625622,0.18339161641943402,0.16785941491290535,0.1388816507243057,4.137376022532904,0.217021875440227
0.5,0.26,0.35,64.37615930225272,28.074868207715244,6.781629868986249,5.496496389758553,6.853898328726393,17.16926650706628,0.00035714820503157625,1.3312091588980985,-0.06826681762432499,-0.0009660440815328058,-0.000786965802961068,0.0029751901966079083,0.2305932135332135,0.18883175919252163,0.15891316966366295,0.13728676815790655,4.11377088865486,0.2247632257095793
0.5,0.26,0.425,67.49287127906625,28.279928612593885,6.732206540315138,5.701526482605104,7.124857683188214,19.65435196036391,0.000356712219621479,1.1650923842642475,-0.06783276597180128,0.0009326309825120858,-0.0006542431925303212,0.0019777067707233745,0.2357426524221126,0.17325440480003898,0.15931494501937404,0.13588487992173906,4.281106430195137,0.22640490885925013
0.5,0.26,0.5,67.4618930680424,28.097970872082417,6.017892092989577,5.323931458480938,7.40256691713099,20.61953172735848,0.0003504109306223499,1.1275766396456808,-0.06326672165235556,0.002678063011516418,-0.0006908340505054653,0.0037294635514281086,0.22172281222586646,0.1747780129971135,0.15467070725729815,0.14098392706049737,4.346097707971697,0.22494818220972146
0.5,0.34,0.05,49.22832294341395,25.548920672128183,2.743505678242832,3.7914610246501463,6.540882103268107,10.603553465124685,0.0003215260954193211,8.435818164459704,-0.03888272529617983,0.001426756054873415,-0.005216294828632864,0.002835957674175018,0.26103001504296275,0.17713535365177357,0.14884101827442067,0.14234511665465197,3.6716624911293554,0.20454086484678852
0.5,0.34,0.125,52.51442467105362,26.230228182714665,3.649738246241656,4.096231695977596,6.49903774509999,12.039188801019716,0.0003295203804751025,3.1939235849268206,-0.04418822088585533,0.003975575911108216,-0.0015263096266686113,0.006805738712156582,0.24416426828711235,0.18449388284534882,0.1648860113772699,0.137436894311891,3.768332332429006,0.2099953116013239
0.5,0.34,0.2,57.15517182259749,26.505602011404868,3.7154776214035756,3.7156900101710706,8.163871636836678,15.054530542781299,0.00033010029706935365,1.877730930993108,-0.0441196975513287,0.0007948692103107308,0.0006295734301840685,0.0033550881801284976,0.2157358480153405,0.16854724607900773,0.14892224462489656,0.12637021127868844,3.9713731745928533,0.21219991358037782
0.5,0.34,0.27499999999999997,57.682475995342216,26.36937233722343,4.173600139651487,4.551878180813887,7.306461563171227,15.281163774482184,0.00033414160184107864,2.352082234127315,-0.050560054670133615,0.001916921640004212,0.001619912714836529,0.0017658845388595298,0.22166611169313835,0.1810406597567232,0.15429468578542105,0.13922040324305684,3.9866337341472007,0.21110927903919874
0.5,0.34,0.35,60.783280132144625,26.52700880440622,4.326565180792165,4.306892898172459,8.034502737545605,17.588310511228176,0.0003354909752642257,1.5757026746226162,-0.04999024381165965,0.001770863302575795,0.0010152231685205775,0.003187581709797956,0.2147043830984036,0.16819392139558023,0.1518156362280432,0.13039269229464925,4.1419876066242916,0.21237129318620473
0.5,0.34,0.425,62.71865270621903,26.531460016420098,4.330314793232238,4.8538561945218985,8.087651436379156,18.915370265665647,0.0003355240522819286,1.2198142025816123,-0.05229454255619983,0.005397291672179599,0.0017485638514943159,0.003159185342470182,0.2081335907358266,0.16781410783695414,0.15384910773138896,0.13298024956023732,4.231346410109471,0.212406928928576
0.5,0.34,0.5,62.0623278137575,27.220292359027077,4.749424148436176,4.705960972261232,7.424485555947564,17.96216477808545,0.0003392212043964721,1.1770868072172318,-0.0565241189007179,0.00011758089156392419,0.0015440118773777523,0.003446632608570301,0.21798560788739374,0.17536980938544341,0.16257780202122898,0.13527383444743898,4.167161431580166,0.21792161837081825
0.5,0.42000000000000004,0.05,41.2177269693043,25.029805941845456,0.393266797643853,2.575831700860439,8.241619594434896,4.977202934519662,0.00030079358124563793,4.843131803028057,-0.017775007461789952,0.0030162221287430603,-0.004967208787310748,-0.0006737334173391087,0.22982467977847762,0.15853232071433124,0.14282060580038025,0.12526029387105317,3.2928069424459525,0.20038490940548603
0.5,0.42000000000000004,0.125,44.79567388211627,25.870022567148425,1.542672510242164,2.8722412335874745,8.209131265303057,6.301606305835151,0.00031093300597580985,4.940851670739063,-0.02726623090096202,0.001870373867879277,-0.0035693861775908963,0.0017611679553176586,0.23442831347858648,0.1577445191403846,0.1432163707038958,0.12249150566592071,3.3819868759016667,0.20711155893419209
0.5,0.42000000000000004,0.2,50.020104558850946,25.581030861630204,1.5194291758714278,2.2421961716085796,8.767443056868547,11.910005292872183,0.0003107279660697548,2.359708697460915,-0.026083066341232492,0.0013340225307383452,-0.0012012389012484362,0.0047531647958473046,0.20638780044803226,0.16059427327847617,0.13978751103851353,0.12692875646790772,3.7596336406937763,0.20479793425552884
0.5,0.42000000000000004,0.27499999999999997,51.72622178055486,25.38084489259756,1.6645115907249657,3.1699494425749966,9.486659405695475,12.024256448961864,0.0003120078033012521,1.7890909190875313,-0.03009970529235745,0.005571950120835244,-0.002074203504104323,0.0027869884478993836,0.1956602688889103,0.1518513167244767,0.13869567597016144,0.11669386350091608,3.767326848607613,0.20319527511537977
0.5,0.42000000000000004,0.35,58.47383039341814,26.390779130224782,2.4256117683387024,3.083240552016499,8.205417147217617,18.36878179562054,0.0003187218102688962,1.3223660804670114,-0.036691179291059285,0.0012488067311499512,-0.0003227018038712999,0.005819053105443704,0.20492170513507005,0.16548879750924173,0.14713689117675277,0.14015160694615528,4.194541366840919,0.21128065864502565
0.5,0.42000000000000004,0.425,61.44186995555819,26.38007573372411,2.86408415581744,3.895525941966052,9.02019320111777,19.28199092293282,0.00032258977239956046,1.4030643202731152,-0.040186377940202814,0.002156239586548741,-0.0027363669879295303,0.0011378192340792943,0.19378231115106823,0.15492229692095735,0.14868394043105848,0.12544685708567613,4.256033153232226,0.2111949688421122
0.5,0.42000000000000004,0.5,61.526607742053386,26.920597257008193,3.0200324836958763,3.7762757118013743,8.435985870587105,19.373716418960836,0.00032396546273673923,1.264459114041875,-0.042976042428026995,0.0033324409718453805,-0.0006877766468541489,0.0038168305094564165,0.20232353764068534,0.1626693939643049,0.15167605311734816,0.13118494990380436,4.262209574864139,0.21552230388924165
0.5,0.5,0.05,37.86753801679705,22.43423229043181,2.160676606578706,2.3452173444357998,10.855954570545375,0.07145720480535515,0.00027826409785400324,7.575614295093496,0.006796906909076739,0.0028052566628429068,-0.009169775361346584,0.00028684070674246865,0.2169015587685946,0.11509179170673027,0.10798385931739486,0.10473670728098665,2.952850713839925,0.17960513219897362
0.5,0.5,0.125,42.37792673697206,24.778276124079596,0.6418285334664994,1.4469047447898802,9.64842515435694,5.862492180279147,0.0002916625398010809,6.455239336238895,-0.004219782533252273,0.0015788519039071764,-0.009278623553995195,0.0027831156952031768,0.21394824151264147,0.13810109523552552,0.12465446096408699,0.11950505481417613,3.352418717631538,0.19837119903701989
0.5,0.5,0.2,46.2740422429877,25.53286557737717,0.039947278310450085,1.0464157883811342,9.278676470403134,10.37613712851581,0.0002976767908619507,2.853894201457023,-0.012964019288900301,-0.0018271213319150323,-0.00215633419683551,0.004943384206134741,0.20786841901140027,0.14782557498374896,0.12944386362107121,0.1267671396716634,3.6563492004772957,0.20441233014241833
0.5,0.5,0.27499999999999997,51.27583762292861,25.49858225410498,0.28712729865416803,1.9307864175295952,9.735481504138004,13.823860148501858,0.00029985727698935295,1.850961431330349,-0.014823563214151568,0.002244999761915709,-0.0020937205047409386,0.00033650952212817986,0.19083690564706898,0.14509410250370602,0.13186036169762355,0.12444110695740629,3.8885048383708263,0.20413786294742775
