ft_sigma_c,zi_alpha,zi_delta,p_zi,D,dKS,dV,dACF1,dACF2,dHill,ret_std,ret_kurtosis,acf_r_1,acf_r_5,acf_r_10,acf_r_20,acf_absr_1,acf_absr_5,acf_absr_10,acf_absr_20,hill_tail_index,ks_stat
0.5,0.13999999999999999,0.275,0.15,19.566786826109915,8.975881533731465,1.3549104982742972,3.6876579675759293,2.2402532238111723,3.3080836027170513,0.0020360156046066212,4.295806576929456,-0.06743578166048865,0.013928588162822822,0.0037873052665893642,0.0017530186771904377,0.2861930448770418,0.17470612616431788,0.13628904354964175,0.1303367017268785,3.798729556624614,0.08004708135246968
0.5,0.13999999999999999,0.275,0.3125,25.455737608445467,16.99818554629502,0.7396005099658246,4.579895693584933,3.008015844728213,0.13004001387147632,0.0019390941386254732,18.361940893778005,-0.08282394334183477,0.012364181632281498,0.007325932150813516,0.005555872757545442,0.3323844816523724,0.19443447639593148,0.13505281800226068,0.10207826893948374,3.2028970029727346,0.15159014032831142
0.5,0.13999999999999999,0.275,0.475,35.68389906569259,22.207337142397694,1.7409589392096931,4.820892759792049,4.175594235930497,2.7391159883626637,0.002096824597709521,51.7964336110494,-0.09634042003017233,0.01044425880479649,0.0016725593785669188,0.005165453993077366,0.36819358433577426,0.18565193722878712,0.10460643864325316,0.07141704731680942,2.664975951909437,0.19804545282587194
0.5,0.13999999999999999,0.275,0.6375000000000001,40.76036054830669,25.483660785407395,2.2833439468533383,4.739041846155337,4.531239295937656,3.723074673952964,0.0021822591771343295,42.362775791934695,-0.09989276419929714,0.00019609399306613306,0.005782860936246782,0.001726045149164735,0.3319788081146908,0.14303868653225768,0.08474164586137556,0.049130226504420775,2.48049937066274,0.2272637690662814
0.5,0.13999999999999999,0.275,0.8,45.09962299213059,28.307738202905185,2.1742513852852574,4.924620295851414,4.949484696979015,4.7435284111097245,0.0021650753003962255,58.16312640725287,-0.1055907790894053,-0.002003354055247532,0.004551622411640473,0.0034221889288682823,0.36634023678710576,0.1662297687974035,0.08597999945521449,0.03340210479711982,2.2891805485333747,0.2524489449105241
0.5,0.13999999999999999,0.3875,0.15,19.474071248265652,10.325891823650164,0.9183777591071113,3.3323312954676476,2.721975151820611,2.1754952182201173,0.0019672545023447174,6.206391849327092,-0.0621871654702516,0.010925104089117612,0.0023556479381593733,0.002926717985918762,0.2862703274577056,0.15560246451918766,0.12285394461838432,0.11376290539996319,3.586387274177696,0.09208649866180985
0.5,0.13999999999999999,0.3875,0.3125,28.984580003053495,19.039588482728437,0.23732504792242068,4.433621532685027,3.951104247465265,1.3229406922523435,0.0018599774738018886,22.943861685847875,-0.07759080953584901,0.012506212622708039,0.008545145160720816,0.00612157443347743,0.32524188178883345,0.1439134310008954,0.09268060821057074,0.08289934972592776,2.930486263367006,0.169795410341264
0.5,0.13999999999999999,0.3875,0.475,38.62634387993174,24.862836238810736,0.8566778578391563,4.550185377896208,5.043313065094976,3.313331340290663,0.001957535750828556,46.08340334715691,-0.09365031422867591,0.004095627788355953,0.003993535497144357,0.0030761375762986282,0.33358478738883196,0.11833765249283767,0.06273230569247096,0.04162818692700599,2.5573197194127477,0.22172724401297295
0.5,0.13999999999999999,0.3875,0.6375000000000001,43.95131584683779,27.106661432514876,1.5640835601127978,4.924413551340756,5.463651783566775,4.892505519302584,0.002068963809872857,45.40063191851043,-0.09800002265112563,0.0037221999107585947,0.00734289705328912,0.004439310816565312,0.3553878204470366,0.131023767402213,0.049364516528363524,0.031031849903085013,2.2612497136254532,0.24173771954634243
0.5,0.13999999999999999,0.3875,0.8,48.423377216524,29.36468576084865,2.414615095073844,5.035255641288073,5.755635319457838,5.8531853998556,0.002202936546863913,69.11181752115925,-0.10507779669276772,0.005334787590406857,-0.00010785688085790852,0.008086582192900905,0.3619410261690459,0.1050721628671462,0.05478340265016555,0.026437864816176784,2.0811375375429937,0.261874823231004
