path,t,client_id,kind,cm_id,cm_kind,shortfall,closeout_loss,im_posted,assumed_pos
11,10559,45,MomentumTrader,102,NBCM,0.0,0.0,393387515.5751787,-720
11,10559,44,MomentumTrader,103,NBCM,0.0,0.0,220337252.96921772,-384
11,10619,49,MomentumTrader,30,BCM,0.0,0.0,376461894.58512485,-612
11,10619,77,ZeroIntelligenceTrader,30,BCM,0.0,0.0,52901508.06261558,-86
11,10619,55,MomentumTrader,32,BCM,0.0,0.0,447202283.27350616,-727
11,10619,7,FundamentalTrader,33,BCM,0.0,0.0,2064389082.0713706,-3356
11,10619,50,MomentumTrader,33,BCM,0.0,0.0,426287733.57433254,-693
11,10619,51,MomentumTrader,34,BCM,0.0,0.0,451508219.9762772,-734
11,10619,75,ZeroIntelligenceTrader,34,BCM,0.0,0.0,98421410.34905224,-160
11,10619,88,ZeroIntelligenceTrader,100,NBCM,0.0,0.0,67049585.80029184,-109
11,10739,58,MomentumTrader,31,BCM,0.0,0.0,341233267.87214,-480
11,10739,40,MomentumTrader,33,BCM,0.0,0.0,294497754.6363685,-460
13,1679,24,FundamentalTrader,31,BCM,0.0,0.0,271849419.86071014,472
13,1679,26,FundamentalTrader,32,BCM,0.0,0.0,1049213379.3785478,1834
13,1679,21,FundamentalTrader,32,BCM,0.0,0.0,752287702.7591977,1312
13,1679,20,FundamentalTrader,33,BCM,0.0,0.0,811558855.0978013,1414
13,1679,19,FundamentalTrader,34,BCM,0.0,0.0,1251533178.2266653,2196
13,1679,3,FundamentalTrader,34,BCM,0.0,0.0,799590641.644814,1390
13,1679,23,FundamentalTrader,102,NBCM,0.0,0.0,443963727.6131932,779
13,1679,28,FundamentalTrader,104,NBCM,0.0,0.0,598980587.5756946,1034
13,1679,10,FundamentalTrader,104,NBCM,0.0,0.0,210868522.74310845,366
13,3179,9,FundamentalTrader,101,NBCM,0.0,0.0,442394807.5734706,768
13,3359,2,FundamentalTrader,30,BCM,0.0,0.0,872944639.6972222,1557
14,2759,23,FundamentalTrader,102,NBCM,0.0,0.0,421053983.8334491,884
14,2819,19,FundamentalTrader,34,BCM,0.0,0.0,1125525972.056915,2349
14,2999,20,FundamentalTrader,33,BCM,0.0,0.0,748586837.9182674,1572
14,3959,3,FundamentalTrader,34,BCM,0.0,0.0,525940304.752619,1238
14,5519,9,FundamentalTrader,101,NBCM,0.0,0.0,218351905.27452052,589
14,5639,26,FundamentalTrader,32,BCM,0.0,0.0,454063489.5998422,1273
15,9719,19,FundamentalTrader,34,BCM,0.0,0.0,391725433.8399888,1434
16,16019,19,FundamentalTrader,34,BCM,0.0,0.0,314284375.174731,1032
16,16199,20,FundamentalTrader,33,BCM,0.0,0.0,202328382.37819573,690
17,4559,19,FundamentalTrader,34,BCM,0.0,0.0,590248685.9691437,1487
17,4739,20,FundamentalTrader,33,BCM,0.0,0.0,368353038.10490835,940
18,5099,20,FundamentalTrader,33,BCM,0.0,0.0,474171050.4258878,1206
18,5099,19,FundamentalTrader,34,BCM,0.0,0.0,666434436.5438473,1695
19,9419,20,FundamentalTrader,33,BCM,0.0,0.0,356210961.80968684,964
19,9419,19,FundamentalTrader,34,BCM,0.0,0.0,540967684.7400223,1464
19,9419,23,FundamentalTrader,102,NBCM,0.0,0.0,174779859.89209738,473
19,10199,26,FundamentalTrader,32,BCM,0.0,0.0,382185296.3924028,1026
19,10199,3,FundamentalTrader,34,BCM,0.0,0.0,290922725.61643916,781
19,16139,65,ZeroIntelligenceTrader,30,BCM,0.0,0.0,29536254.364560667,-105
20,16019,20,FundamentalTrader,33,BCM,0.0,0.0,241631514.1155195,554
20,16379,19,FundamentalTrader,34,BCM,0.0,0.0,329019453.6492611,767
21,7079,19,FundamentalTrader,34,BCM,0.0,0.0,692311657.1391543,1582
21,8639,20,FundamentalTrader,33,BCM,0.0,0.0,357322653.1621422,953
22,7979,19,FundamentalTrader,34,BCM,0.0,0.0,565076930.9486774,1483
22,8039,20,FundamentalTrader,33,BCM,0.0,0.0,381078223.364752,1014
22,8039,23,FundamentalTrader,102,NBCM,0.0,0.0,214967202.9237062,572
22,9899,3,FundamentalTrader,34,BCM,0.0,0.0,330746979.9582556,1010
22,11219,21,FundamentalTrader,32,BCM,0.0,0.0,233017941.3098566,806
22,14939,8,FundamentalTrader,33,BCM,0.0,0.0,777283213.3378567,2963
23,12119,20,FundamentalTrader,33,BCM,0.0,0.0,219347058.2970358,740
23,12119,19,FundamentalTrader,34,BCM,0.0,0.0,329315408.7604691,1112
23,12779,23,FundamentalTrader,102,NBCM,0.0,0.0,110881541.446487,344
23,12839,2,FundamentalTrader,30,BCM,0.0,0.0,220201313.6783786,686
23,12839,12,FundamentalTrader,30,BCM,0.0,0.0,203509668.90975517,634
23,12839,17,FundamentalTrader,30,BCM,0.0,0.0,145409905.38820046,453
23,12839,6,FundamentalTrader,31,BCM,0.0,0.0,698160141.7645386,2142
23,12839,14,FundamentalTrader,31,BCM,0.0,0.0,183929085.62348536,573
23,12839,24,FundamentalTrader,31,BCM,0.0,0.0,60988702.039201066,190
23,12839,26,FundamentalTrader,32,BCM,0.0,0.0,235929978.94111994,735
23,12839,21,FundamentalTrader,32,BCM,0.0,0.0,188422989.9842686,587
23,12839,22,FundamentalTrader,32,BCM,0.0,0.0,260646452.92542776,769
23,12839,8,FundamentalTrader,33,BCM,0.0,0.0,992831870.564468,3093
23,12839,29,FundamentalTrader,33,BCM,0.0,0.0,501070336.227331,1497
23,12839,1,FundamentalTrader,33,BCM,0.0,0.0,53926852.32939884,165
23,12839,5,FundamentalTrader,34,BCM,0.0,0.0,286646899.584245,884
23,12839,3,FundamentalTrader,34,BCM,0.0,0.0,193237887.5136792,602
23,12839,18,FundamentalTrader,34,BCM,0.0,0.0,247485733.01170543,764
23,12839,16,FundamentalTrader,34,BCM,0.0,0.0,67729558.58037592,211
23,12839,0,FundamentalTrader,100,NBCM,0.0,0.0,304301523.85875064,931
23,12839,15,FundamentalTrader,101,NBCM,0.0,0.0,502033315.733213,1551
23,12839,9,FundamentalTrader,101,NBCM,0.0,0.0,116520520.21173678,363
23,12839,11,FundamentalTrader,102,NBCM,0.0,0.0,182645112.94897583,569
23,12839,27,FundamentalTrader,103,NBCM,0.0,0.0,105927745.64703345,330
23,12839,28,FundamentalTrader,104,NBCM,0.0,0.0,145730898.55682784,454
23,12839,10,FundamentalTrader,104,NBCM,0.0,0.0,44297057.270577624,138
23,12899,92,ZeroIntelligenceTrader,32,BCM,0.0,0.0,60562474.52780254,188
23,13559,81,ZeroIntelligenceTrader,33,BCM,0.0,0.0,33200056.222418286,116
23,13679,99,ZeroIntelligenceTrader,34,BCM,0.0,0.0,24666923.327504136,-68
25,2339,24,FundamentalTrader,31,BCM,0.0,0.0,279331437.4872287,572
25,2339,20,FundamentalTrader,33,BCM,0.0,0.0,817972303.8306085,1675
25,2339,19,FundamentalTrader,34,BCM,0.0,0.0,1171531675.755003,2399
25,2339,23,FundamentalTrader,102,NBCM,0.0,0.0,459529515.1669269,941
25,2339,10,FundamentalTrader,104,NBCM,0.0,0.0,240264103.572931,492
25,2399,26,FundamentalTrader,32,BCM,0.0,0.0,924436927.0936852,1944
25,2399,21,FundamentalTrader,32,BCM,0.0,0.0,720433099.0467763,1515
25,2399,3,FundamentalTrader,34,BCM,0.0,0.0,735174634.4068093,1546
25,2399,9,FundamentalTrader,101,NBCM,0.0,0.0,466022730.7365286,980
26,2939,19,FundamentalTrader,34,BCM,0.0,0.0,968687537.044316,1932
26,3539,20,FundamentalTrader,33,BCM,0.0,0.0,633511834.6597868,1279
26,3539,23,FundamentalTrader,102,NBCM,0.0,0.0,326909938.1356211,660
27,2759,4,FundamentalTrader,31,BCM,0.0,0.0,917149278.663557,-1542
27,2759,25,FundamentalTrader,32,BCM,0.0,0.0,1208637532.582478,-2217
27,4499,13,FundamentalTrader,30,BCM,0.0,0.0,1340900787.0725117,-2381
27,11819,19,FundamentalTrader,34,BCM,0.0,0.0,1274387090.856997,2329
27,12179,23,FundamentalTrader,102,NBCM,0.0,0.0,400676501.27037686,762
27,12299,20,FundamentalTrader,33,BCM,0.0,0.0,640319678.7341552,1235
28,2639,25,FundamentalTrader,32,BCM,0.0,0.0,1280810168.7217083,-1980
28,4019,4,FundamentalTrader,31,BCM,0.0,0.0,893896983.957169,-1473
28,5159,13,FundamentalTrader,30,BCM,0.0,0.0,1147167726.2683876,-1948
28,10199,19,FundamentalTrader,34,BCM,0.0,0.0,912568713.0945122,1958
28,11759,20,FundamentalTrader,33,BCM,0.0,0.0,413402255.15553564,963
30,9419,19,FundamentalTrader,34,BCM,0.0,0.0,290046470.8608597,1020
30,9839,20,FundamentalTrader,33,BCM,0.0,0.0,155821045.10025755,524
30,11339,23,FundamentalTrader,102,NBCM,0.0,0.0,77807881.91162346,286
31,8639,20,FundamentalTrader,33,BCM,0.0,0.0,560263012.5902699,1291
31,8639,19,FundamentalTrader,34,BCM,0.0,0.0,823686442.9870893,1898
31,8639,23,FundamentalTrader,102,NBCM,0.0,0.0,297707534.18816817,686
32,7619,19,FundamentalTrader,34,BCM,0.0,0.0,396149380.756,1059
32,10499,20,FundamentalTrader,33,BCM,0.0,0.0,213947980.9203184,585
32,10739,95,ZeroIntelligenceTrader,30,BCM,0.0,0.0,88425079.52504247,-194
32,10739,70,ZeroIntelligenceTrader,34,BCM,0.0,0.0,276670223.05000407,-607
32,10739,52,MomentumTrader,34,BCM,0.0,0.0,160441381.40626264,-352
32,10799,48,MomentumTrader,32,BCM,0.0,0.0,236789306.62472424,-502
32,12659,93,ZeroIntelligenceTrader,100,NBCM,0.0,0.0,107298949.7631006,-195
32,12839,92,ZeroIntelligenceTrader,32,BCM,0.0,0.0,163046979.21876505,-310
32,12839,61,ZeroIntelligenceTrader,32,BCM,0.0,0.0,222480232.93399236,-423
32,12839,81,ZeroIntelligenceTrader,33,BCM,0.0,0.0,140430785.3271299,-267
32,12839,64,ZeroIntelligenceTrader,33,BCM,0.0,0.0,177773803.14820188,-338
32,12899,42,MomentumTrader,32,BCM,0.0,0.0,401179602.8136978,-722
32,12899,98,ZeroIntelligenceTrader,32,BCM,0.0,0.0,240596631.60433677,-433
32,12899,74,ZeroIntelligenceTrader,33,BCM,0.0,0.0,118909189.75364451,-214
32,12899,83,ZeroIntelligenceTrader,33,BCM,0.0,0.0,139468255.27179798,-251
32,12899,47,MomentumTrader,100,NBCM,0.0,0.0,445631636.3664621,-720
