ts_event,rtype,publisher_id,instrument_id,open,high,low,close,volume,symbol
2019-06-05T00:00:00.000000000Z,35,1,15686,3.500000000,3.750000000,3.250000000,3.450000000,17071,ESM9-ESU9
2019-06-05T00:00:00.000000000Z,35,1,35269,0.000000000,0.000000000,-0.300000000,-0.300000000,2,ESH0-ESM0
2019-06-05T00:00:00.000000000Z,35,1,7352,4.500000000,4.850000000,3.300000000,3.300000000,604,ESM9-ESZ9
2019-06-06T00:00:00.000000000Z,35,1,16145,2829.750000000,2854.250000000,2828.000000000,2848.000000000,305,ESZ9
2019-06-06T00:00:00.000000000Z,35,1,9625,0.500000000,1.150000000,0.500000000,1.150000000,7,ESU9-ESZ9
2019-06-06T00:00:00.000000000Z,35,1,3175,0.750000000,0.750000000,0.750000000,0.750000000,1,ESZ9-ESH0
2019-06-06T00:00:00.000000000Z,35,1,15686,3.400000000,3.750000000,3.350000000,3.700000000,12742,ESM9-ESU9
2019-06-06T00:00:00.000000000Z,35,1,7352,5.100000000,5.100000000,3.800000000,4.650000000,2557,ESM9-ESZ9
2019-06-06T00:00:00.000000000Z,35,1,736,2822.500000000,2853.000000000,2821.750000000,2844.500000000,1509624,ESM9
2019-06-06T00:00:00.000000000Z,35,1,37699,2826.250000000,2856.750000000,2825.250000000,2848.500000000,17723,ESU9
2019-06-06T00:00:00.000000000Z,35,1,10571,2830.500000000,2850.000000000,2830.500000000,2850.000000000,3,ESH0
2019-06-07T00:00:00.000000000Z,35,1,16145,2855.250000000,2890.000000000,2854.500000000,2880.750000000,150,ESZ9
2019-06-07T00:00:00.000000000Z,35,1,736,2844.750000000,2886.250000000,2842.000000000,2877.500000000,1588923,ESM9
2019-06-07T00:00:00.000000000Z,35,1,9625,0.550000000,0.750000000,0.550000000,0.650000000,118,ESU9-ESZ9
2019-06-07T00:00:00.000000000Z,35,1,3175,1.250000000,1.500000000,1.250000000,1.500000000,2,ESZ9-ESH0
2019-06-07T00:00:00.000000000Z,35,1,10571,2886.250000000,2886.250000000,2886.250000000,2886.250000000,1,ESH0
2019-06-07T00:00:00.000000000Z,35,1,37699,2847.750000000,2889.750000000,2845.750000000,2881.250000000,20764,ESU9
2019-06-07T00:00:00.000000000Z,35,1,7352,4.250000000,4.550000000,4.150000000,4.500000000,416,ESM9-ESZ9
2019-06-07T00:00:00.000000000Z,35,1,2993,6.900000000,6.900000000,6.900000000,6.900000000,1,ESM9-ESH0
2019-06-07T00:00:00.000000000Z,35,1,15686,3.700000000,3.750000000,3.350000000,3.650000000,14492,ESM9-ESU9
2019-06-07T00:00:00.000000000Z,35,1,35249,6.000000000,6.000000000,6.000000000,6.000000000,1,ESM9-ESM0
2019-06-09T00:00:00.000000000Z,35,1,7352,4.700000000,5.000000000,3.300000000,4.750000000,22,ESM9-ESZ9
2019-06-09T00:00:00.000000000Z,35,1,736,2893.250000000,2898.000000000,2887.000000000,2887.500000000,43049,ESM9
2019-06-09T00:00:00.000000000Z,35,1,15686,3.650000000,3.800000000,3.600000000,3.750000000,371,ESM9-ESU9
2019-06-09T00:00:00.000000000Z,35,1,16145,2896.500000000,2899.750000000,2892.000000000,2892.000000000,65,ESZ9
2019-06-09T00:00:00.000000000Z,35,1,9625,0.600000000,0.600000000,0.600000000,0.600000000,5,ESU9-ESZ9
2019-06-09T00:00:00.000000000Z,35,1,37699,2896.750000000,2903.000000000,2891.000000000,2891.000000000,1201,ESU9
